schema_version	trait	path	status	cached_summary	cached_summary_sha256	reused_candidate_windows	unresolved_candidate_windows	windows_with_variants	genome_wide_significant_windows
phase19b_sex_apoe_kda_combo_v2_sources	clinical_ad_bellenguez2022	data/reference/phase19_genetic_support/tier2/gwas_catalog/GCST90027158_buildGRCh38.tsv.gz	reused_validated_full_list_scan	results/minerva_production/19b_genetic_support_regional/archive/phase19b_simple_aggr_v1/regional_summary_clinical_ad_bellenguez2022.tsv	ea9da48e882028b03b9463d7a34f2c65e7d6b472e81c0ad21f48aba014c1438e	182	30	182	15
phase19b_sex_apoe_kda_combo_v2_sources	csf_abeta42_gcst90726396	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_normalized/GCST90726396.h.tsv.gz	reused_validated_full_list_scan	results/minerva_production/19b_genetic_support_regional/archive/phase19b_simple_aggr_v1/regional_summary_csf_abeta42_gcst90726396.tsv	1190d8a65fed6ce718689ae7d8c90ddc52ed9f6b06502d43868d48486d44b558	182	30	182	1
phase19b_sex_apoe_kda_combo_v2_sources	csf_total_tau_gcst90726397	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_normalized/GCST90726397.h.tsv.gz	reused_validated_full_list_scan	results/minerva_production/19b_genetic_support_regional/archive/phase19b_simple_aggr_v1/regional_summary_csf_total_tau_gcst90726397.tsv	459ba7fc9f7b0644bbee36eeb366f6597f86e1be0166c8e35f90f9ac340c53ba	182	30	182	2
phase19b_sex_apoe_kda_combo_v2_sources	csf_ptau181_gcst90726398	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_normalized/GCST90726398.h.tsv.gz	reused_validated_full_list_scan	results/minerva_production/19b_genetic_support_regional/archive/phase19b_simple_aggr_v1/regional_summary_csf_ptau181_gcst90726398.tsv	ab5a98fc4e3f61615c84a2cd9a8a64532b989621ab320e0c17d564001741397d	182	30	182	2
