schema_version	signature_group	broad_network	current_symbol	assessable_repetitions	nominal_p_pass_fraction	aggregate_q_pass_fraction	candidate_retention_fraction	worst_rank	supporting_fine_cell_type_count	evidence_label
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Astrocytes	RPL15	3	1	0.666666666666667	0.666666666666667	1	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Astrocytes	APOE	3	1	1	1	5	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Astrocytes	LAPTM4A	3	1	1	1	5	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Astrocytes	RPL11	3	0.666666666666667	0.666666666666667	0.666666666666667	1	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Astrocytes	RPL15	3	1	0.666666666666667	0.666666666666667	3	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Astrocytes	RPLP1	3	0.666666666666667	0.666666666666667	0.666666666666667	2	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	ATG101	5	1	1	1	9	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	LAMTOR5	12	1	0.916666666666667	0.916666666666667	6	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	PRDX1	12	1	0.833333333333333	0.833333333333333	12	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	PSMB6	12	1	0.916666666666667	0.916666666666667	11	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	RABAC1	12	1	1	1	11	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	RPL11	12	1	1	1	1	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	RPL6	12	1	1	1	6	4	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	RPLP2	12	1	1	1	11	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	RPS13	12	1	1	1	3	3	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	SELENOM	12	1	0.833333333333333	0.833333333333333	13	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	SELENOW	12	1	1	1	4	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	TMEM147	12	1	1	1	5	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e2	Excitatory_neurons	WDR82	12	1	0.916666666666667	0.916666666666667	7	4	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e33	Excitatory_neurons	DYNLT1	13	0.923076923076923	0.923076923076923	0.923076923076923	2	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e33	Excitatory_neurons	MAPKAPK5-AS1	13	0.923076923076923	0.923076923076923	0.923076923076923	4	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e33	Excitatory_neurons	PGAM1	13	0.923076923076923	0.923076923076923	0.923076923076923	6	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e33	Excitatory_neurons	SRSF7	13	0.923076923076923	0.923076923076923	0.923076923076923	3	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e33	Excitatory_neurons	TMEM147	13	1	0.923076923076923	0.923076923076923	1	4	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e33	Excitatory_neurons	WDR82	13	1	1	1	5	12	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Excitatory_neurons	ATG101	11	1	0.909090909090909	0.909090909090909	4	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Excitatory_neurons	GABARAPL2	11	1	0.909090909090909	0.909090909090909	6	3	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Excitatory_neurons	PSMB6	11	1	0.909090909090909	0.909090909090909	3	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Excitatory_neurons	RPL11	11	1	0.909090909090909	0.909090909090909	1	4	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Excitatory_neurons	RPLP2	11	1	0.818181818181818	0.818181818181818	9	3	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Excitatory_neurons	RPS13	11	1	0.909090909090909	0.909090909090909	2	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Excitatory_neurons	SELENOM	11	1	0.909090909090909	0.909090909090909	7	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Excitatory_neurons	SELENOW	11	1	0.909090909090909	0.909090909090909	5	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Excitatory_neurons	SSR2	11	1	0.818181818181818	0.818181818181818	8	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	ATG101	7	1	1	1	17	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	BTF3	13	1	1	1	14	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	GABARAPL2	13	1	1	1	18	8	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	LAGE3	13	1	1	1	13	4	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	LAMTOR5	13	1	1	1	9	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	MAGEF1	13	1	1	1	20	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	PRDX1	13	1	1	1	9	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	PSMB6	13	1	1	1	17	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	RPL11	13	1	1	1	1	9	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	RPL29	13	1	1	1	9	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	RPL36AL	13	1	0.923076923076923	0.923076923076923	20	4	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	RPL6	13	1	1	1	18	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	RPLP2	13	1	1	1	16	8	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	RPS13	13	1	1	1	3	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	RPS15	13	1	0.923076923076923	0.923076923076923	18	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	SELENOM	13	1	0.923076923076923	0.923076923076923	16	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	SELENOW	13	1	1	1	3	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	SSR2	13	1	1	1	7	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	TARBP1	13	1	1	1	18	3	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Excitatory_neurons	TMEM147	13	1	1	1	4	4	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e33	Excitatory_neurons	WDR82	8	1	0.875	0.875	1	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Inhibitory_neurons	LAMTOR5	8	1	1	1	3	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Inhibitory_neurons	RPL38	8	1	0.875	0.875	4	3	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Inhibitory_neurons	RPLP1	8	1	1	1	3	8	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e2	Inhibitory_neurons	RPS15	8	1	1	1	1	8	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Inhibitory_neurons	ATP6V1F	5	1	0.8	0.8	2	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Inhibitory_neurons	RPLP1	5	1	0.8	0.8	3	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	F_e4	Inhibitory_neurons	RPS15	5	1	0.8	0.8	1	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e4	Inhibitory_neurons	RPS15	2	1	0.5	0.5	1	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v1_stability_summary_v1	M_e4	Microglia	RPL11	2	1	0.5	0.5	1	2	recurrent_stable
