schema_version	rds_id	cell_type_high_resolution	donors	groups	design_columns	design_rank	residual_df	dispersion	converged	model_status	message
mito_fraction_diagnostics_v1	inhibitory	Inh ALCAM TRPM3	157	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	143	1726.19000736855	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh CUX2 MSR1	192	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	178	3516.46046947656	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh ENOX2 SPHKAP	171	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	157	1390.51171513016	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh FBN2 EPB41L4A	93	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	79	1065.16850882284	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh GPC5 RIT2	58	11	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	13	45	1400.12586156452	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh L1 PAX6 CA4	60	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	46	642.596866494337	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh L1-2 PAX6 SCGN	0	0		0	NA	NA	NA	not_fit_no_eligible_contrasts	
mito_fraction_diagnostics_v1	inhibitory	Inh L1-6 LAMP5 CA13	209	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	195	3180.68005131267	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh L3-5 SST MAFB	211	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	197	1880.46012443978	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh L5-6 PVALB STON2	59	11	AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	13	46	2389.4526665719	TRUE	fitted	
