schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_family	contrast_name	eligibility_status	terminal_status	message
mito_fraction_contrast_status_v1	vasculature	687	vasculature::End::AD_vs_NCI__Female__e2	End	AD_vs_NCI	AD_vs_NCI__Female__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,NCI__Female__e2
mito_fraction_contrast_status_v1	vasculature	688	vasculature::End::AD_vs_NCI__Female__e33	End	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	vasculature	689	vasculature::End::AD_vs_NCI__Female__e4	End	AD_vs_NCI	AD_vs_NCI__Female__e4	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Female__e4
mito_fraction_contrast_status_v1	vasculature	690	vasculature::End::AD_vs_NCI__Male__e2	End	AD_vs_NCI	AD_vs_NCI__Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	vasculature	691	vasculature::End::AD_vs_NCI__Male__e33	End	AD_vs_NCI	AD_vs_NCI__Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	vasculature	692	vasculature::End::AD_vs_NCI__Male__e4	End	AD_vs_NCI	AD_vs_NCI__Male__e4	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e4
mito_fraction_contrast_status_v1	vasculature	693	vasculature::End::AD_effect_Female_minus_Male__e2	End	sex_interaction	AD_effect_Female_minus_Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,NCI__Female__e2,AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	vasculature	694	vasculature::End::AD_effect_Female_minus_Male__e33	End	sex_interaction	AD_effect_Female_minus_Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	vasculature	695	vasculature::End::AD_effect_Female_minus_Male__e4	End	sex_interaction	AD_effect_Female_minus_Male__e4	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Female__e4,NCI__Male__e4
mito_fraction_contrast_status_v1	vasculature	696	vasculature::End::AD_effect_e2_minus_e33__Female	End	apoe_interaction	AD_effect_e2_minus_e33__Female	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,NCI__Female__e2
mito_fraction_contrast_status_v1	vasculature	697	vasculature::End::AD_effect_e4_minus_e33__Female	End	apoe_interaction	AD_effect_e4_minus_e33__Female	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Female__e4
mito_fraction_contrast_status_v1	vasculature	698	vasculature::End::AD_effect_e2_minus_e33__Male	End	apoe_interaction	AD_effect_e2_minus_e33__Male	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	vasculature	699	vasculature::End::AD_effect_e4_minus_e33__Male	End	apoe_interaction	AD_effect_e4_minus_e33__Male	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e4
mito_fraction_contrast_status_v1	vasculature	700	vasculature::End::AD_effect_heterogeneity_across_sex_APOE	End	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Female__e2,AD__Female__e2,NCI__Male__e2,AD__Male__e2,NCI__Female__e4,NCI__Male__e4
mito_fraction_contrast_status_v1	vasculature	701	vasculature::Fib.FLRT2::AD_vs_NCI__Female__e2	Fib FLRT2	AD_vs_NCI	AD_vs_NCI__Female__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,NCI__Female__e2
mito_fraction_contrast_status_v1	vasculature	702	vasculature::Fib.FLRT2::AD_vs_NCI__Female__e33	Fib FLRT2	AD_vs_NCI	AD_vs_NCI__Female__e33	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e33
mito_fraction_contrast_status_v1	vasculature	703	vasculature::Fib.FLRT2::AD_vs_NCI__Female__e4	Fib FLRT2	AD_vs_NCI	AD_vs_NCI__Female__e4	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e4,NCI__Female__e4
mito_fraction_contrast_status_v1	vasculature	704	vasculature::Fib.FLRT2::AD_vs_NCI__Male__e2	Fib FLRT2	AD_vs_NCI	AD_vs_NCI__Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	vasculature	705	vasculature::Fib.FLRT2::AD_vs_NCI__Male__e33	Fib FLRT2	AD_vs_NCI	AD_vs_NCI__Male__e33	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e33
mito_fraction_contrast_status_v1	vasculature	706	vasculature::Fib.FLRT2::AD_vs_NCI__Male__e4	Fib FLRT2	AD_vs_NCI	AD_vs_NCI__Male__e4	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e4,NCI__Male__e4
