schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_family	contrast_name	eligibility_status	terminal_status	message
mito_fraction_contrast_status_v1	astrocytes	1	astrocytes::Ast.CHI3L1::AD_vs_NCI__Female__e2	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Female__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2
mito_fraction_contrast_status_v1	astrocytes	2	astrocytes::Ast.CHI3L1::AD_vs_NCI__Female__e33	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	astrocytes	3	astrocytes::Ast.CHI3L1::AD_vs_NCI__Female__e4	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Female__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	astrocytes	4	astrocytes::Ast.CHI3L1::AD_vs_NCI__Male__e2	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	astrocytes	5	astrocytes::Ast.CHI3L1::AD_vs_NCI__Male__e33	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	astrocytes	6	astrocytes::Ast.CHI3L1::AD_vs_NCI__Male__e4	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	astrocytes	7	astrocytes::Ast.CHI3L1::AD_effect_Female_minus_Male__e2	Ast CHI3L1	sex_interaction	AD_effect_Female_minus_Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	astrocytes	8	astrocytes::Ast.CHI3L1::AD_effect_Female_minus_Male__e33	Ast CHI3L1	sex_interaction	AD_effect_Female_minus_Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	astrocytes	9	astrocytes::Ast.CHI3L1::AD_effect_Female_minus_Male__e4	Ast CHI3L1	sex_interaction	AD_effect_Female_minus_Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	astrocytes	10	astrocytes::Ast.CHI3L1::AD_effect_e2_minus_e33__Female	Ast CHI3L1	apoe_interaction	AD_effect_e2_minus_e33__Female	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2
mito_fraction_contrast_status_v1	astrocytes	11	astrocytes::Ast.CHI3L1::AD_effect_e4_minus_e33__Female	Ast CHI3L1	apoe_interaction	AD_effect_e4_minus_e33__Female	eligible	validated_complete	
