schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	diagnosis	nuclei	donors	zero_mt_nuclei	zero_mt_fraction	median_percent_mt	q25_percent_mt	q75_percent_mt	median_percent_mitocarta	robust_flagged_nuclei	robust_flagged_fraction	group_has_nuclei
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Female	e2	AD	105	6	0	0	0.259672812256557	0.14667644509634	0.455886296594261	4.90592998332936	1	0.00952380952380952	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Female	e2	NCI	1104	16	21	0.0190217391304348	0.233608477866679	0.110381676497868	0.538755487385624	4.8286175072318	24	0.0217391304347826	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Female	e33	AD	1974	35	10	0.00506585612968592	0.349607942686298	0.161928026542434	0.767522434444501	4.95301877298022	98	0.049645390070922	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Female	e33	NCI	3186	43	158	0.0495919648462021	0.28356423624443	0.0885838485749401	0.67757063905166	4.9699356999119	66	0.0207156308851224	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Female	e4	AD	1193	22	13	0.010896898575021	0.353794445427207	0.16366612111293	0.697461696775669	4.88188976377953	33	0.027661357921207	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Female	e4	NCI	1298	11	10	0.00770416024653313	0.407829660578768	0.192853158378221	0.881409134810543	4.96832188210272	100	0.0770416024653313	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Male	e2	AD	262	6	6	0.0229007633587786	0.253579632607257	0.133035558351412	0.513384878755385	5.0579849710883	2	0.00763358778625954	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Male	e2	NCI	466	5	7	0.0150214592274678	0.274922445975078	0.136381049992427	0.515380285716838	4.69394640447272	7	0.0150214592274678	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Male	e33	AD	466	25	5	0.0107296137339056	0.30773176554146	0.125891020905297	0.646711277326417	4.88751700412528	17	0.036480686695279	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Male	e33	NCI	4424	52	36	0.0081374321880651	0.270136419439119	0.127054043052684	0.566400341043483	4.78465116422248	72	0.0162748643761302	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Male	e4	AD	1655	24	25	0.0151057401812689	0.444921755139613	0.213362125198467	0.85248885268124	4.92957746478873	75	0.0453172205438066	TRUE
mito_group_missingness_v1	astrocytes	Ast CHI3L1	Male	e4	NCI	412	9	25	0.0606796116504854	0.309432442080006	0.10263351393725	0.663582482216838	5.0857150090477	13	0.0315533980582524	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Female	e2	AD	560	8	18	0.0321428571428571	0.281891372852587	0.116669283103189	0.633521106370658	4.86108786629367	59	0.105357142857143	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Female	e2	NCI	936	17	27	0.0288461538461538	0.231522164631126	0.107976790890728	0.548945233192746	4.7470633272864	67	0.0715811965811966	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Female	e33	AD	2867	37	71	0.0247645622602023	0.289855072463768	0.122461844243631	0.663986998339849	4.83579001810189	236	0.0823160097663063	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Female	e33	NCI	4084	45	185	0.0452987267384917	0.252791247788676	0.10023393867405	0.589582531125658	4.80364117685294	301	0.0737022526934378	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Female	e4	AD	1824	26	67	0.0367324561403509	0.235549450289677	0.0964274795889674	0.626767059868629	4.76479323389659	163	0.0893640350877193	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Female	e4	NCI	916	11	15	0.0163755458515284	0.326657090016898	0.140984748031646	0.690998420200458	4.91721952904463	78	0.0851528384279476	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Male	e2	AD	659	7	18	0.0273141122913505	0.180383314543405	0.078853990059568	0.356125536788225	4.78553704360156	13	0.0197268588770865	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Male	e2	NCI	305	6	14	0.0459016393442623	0.249511824690822	0.112233445566779	0.464861908668307	4.74978795589483	10	0.0327868852459016	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Male	e33	AD	1859	27	73	0.0392684238838085	0.177619893428064	0.0797679049919878	0.445957630782533	4.79328939484721	105	0.0564819795589026	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Male	e33	NCI	5177	53	222	0.0428819779795248	0.198591803574652	0.0859352621025494	0.45045045045045	4.77564102564103	269	0.0519605949391539	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Male	e4	AD	1565	27	38	0.0242811501597444	0.299625468164794	0.11536982438149	0.667408231368187	4.85671191553544	147	0.0939297124600639	TRUE
mito_group_missingness_v1	astrocytes	Ast DPP10	Male	e4	NCI	979	10	84	0.0858018386108274	0.158144438587243	0.058455612757108	0.404500738362423	4.72189349112426	36	0.0367722165474974	TRUE
mito_group_missingness_v1	astrocytes	Ast GRM3	Female	e2	AD	957	8	20	0.0208986415882968	0.564102564102564	0.227790432801822	1.14427860696517	5.30718954248366	68	0.071055381400209	TRUE
mito_group_missingness_v1	astrocytes	Ast GRM3	Female	e2	NCI	2720	17	30	0.0110294117647059	0.49776055839176	0.216157842507735	1.0723309125142	5.09817990993258	153	0.05625	TRUE
mito_group_missingness_v1	astrocytes	Ast GRM3	Female	e33	AD	9577	37	103	0.0107549336953117	0.508010941774131	0.223964165733483	1.09098612435123	5.14343485403766	659	0.0688106922835961	TRUE
mito_group_missingness_v1	astrocytes	Ast GRM3	Female	e33	NCI	10462	45	255	0.0243739246797935	0.392979795508198	0.163398129639876	0.871172142726295	5.01891473749528	482	0.0460714968457274	TRUE
mito_group_missingness_v1	astrocytes	Ast GRM3	Female	e4	AD	5204	26	120	0.0230591852421214	0.503973741395292	0.204581261087954	1.22643918730024	5.00070641424131	586	0.11260568793236	TRUE
