schema_version	rds_id	cell_type_high_resolution	donors	nuclei	total_mt_counts	top_mt_donor	top1_mt_count_fraction	top3_mt_count_fraction	top1_nuclei_fraction	top1_warning	top3_warning
mito_donor_concentration_v1	inhibitory	Inh ALCAM TRPM3	265	7483	2086025	50197261	0.01799546985295	0.0470857252429861	0.015501804089269	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh CUX2 MSR1	268	17284	3162030	50197261	0.0202366833964257	0.0508186196841902	0.0172413793103448	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh ENOX2 SPHKAP	266	8343	1657718	60725338	0.015547879675554	0.0446028817929226	0.0177394222701666	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh FBN2 EPB41L4A	268	4692	1296624	11259716	0.0149133441923025	0.0423229864633078	0.0168371696504689	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh GPC5 RIT2	264	3391	1047908	08109170	0.0186924806376132	0.0515818182512205	0.0171040990858154	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh L1 PAX6 CA4	255	3521	651640	83034844	0.0179992020133816	0.0522650543244736	0.0244248792956546	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh L1-2 PAX6 SCGN	237	1131	263512	74753465	0.017517228816904	0.0500166975318012	0.0203359858532272	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh L1-6 LAMP5 CA13	272	10459	3021198	60725338	0.0161637866832958	0.0425529872586967	0.0139592695286356	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh L3-5 SST MAFB	268	15994	2274529	20151388	0.0194493013718445	0.0487164595395354	0.0190696511191697	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh L5-6 PVALB STON2	258	3668	1344675	21002524	0.0192738022198673	0.0522862401695577	0.0207197382769902	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh L5-6 SST TH	261	3129	798782	20963578	0.0183654614150043	0.0452276090347554	0.0185362735698306	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh L6 SST NPY	231	990	317659	50197261	0.0232639402629864	0.0644401701195307	0.0383838383838384	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh LAMP5 NRG1 (Rosehip)	271	17989	3672155	20779834	0.0138823116126634	0.0400516862714128	0.0155094780143421	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh LAMP5 RELN	252	6220	844104	82317494	0.0283590647597926	0.080116905025921	0.0342443729903537	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh PTPRK FAM19A1	263	7314	1009613	50301125	0.0197372656651608	0.0490296777081912	0.0173639595296691	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh PVALB CA8 (Chandelier)	270	10028	2268774	20779834	0.0158874352403545	0.043646480433926	0.0124650977263662	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh PVALB HTR4	271	28802	13737148	11331231	0.018874805745705	0.0446156654933033	0.015866953683772	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh PVALB SULF1	270	14591	5451673	11471260	0.014457213409535	0.040957702342015	0.0143238982934686	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh RYR3 TSHZ2	273	16440	1999116	10202345	0.0171675880739287	0.0446197219170874	0.0161800486618005	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh SGCD PDE3A	260	2745	1113032	10383017	0.0167102113865549	0.0467982951074183	0.0182149362477231	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh SORCS1 TTN	261	6569	861020	11259716	0.0222875194536712	0.0616919467608186	0.0293804231998782	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh VIP ABI3BP	273	9813	1686671	20151388	0.0131217054185434	0.0373831055374759	0.014572505859574	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh VIP CLSTN2	272	12165	2475271	10202345	0.0158277618895062	0.043015896037242	0.0143855322646938	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh VIP THSD7B	266	5656	1304359	21101658	0.0145213089341201	0.0401706892044291	0.013967468175389	FALSE	FALSE
mito_donor_concentration_v1	inhibitory	Inh VIP TSHZ2	271	8554	1251406	50301125	0.0165733582865992	0.0400413614766111	0.0155482815057283	FALSE	FALSE
