schema_version	role	path	bytes	sha256
phase20_simple_returned_only_acat_v1_artifacts_v1	script	/Users/rzhuang/Documents/VscodeProjects/alzheimer/scripts/20_sex_apoe_kda_simple_aggr.py	34408	f16bf0fafba7e65e5335a0dbcb3e134b9fdc3b63f7224f9135cbf8b0a944bc55
phase20_simple_returned_only_acat_v1_artifacts_v1	input_config	/Users/rzhuang/Documents/VscodeProjects/alzheimer/config/phase20_sex_apoe_kda.yml	4911	695d9612176ccaaff8300f234ce5a8ef8936a559650707b2256a7c0ff9aaced3
phase20_simple_returned_only_acat_v1_artifacts_v1	input_run_manifest	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/minerva_production/20_sex_apoe_kda/00_inputs/phase20_source_run_manifest.tsv	164377	6cda9bc9502f4232061c99c808f6f3138680f46845b7bef3fbd5b322a8acc98e
phase20_simple_returned_only_acat_v1_artifacts_v1	input_stock_results	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/minerva_production/12_kda/kda_results.tsv.gz	336074	079c5ec46435740d6a676c5676f637d49e4787c17f8490fbc398996a9b58ade1
phase20_simple_returned_only_acat_v1_artifacts_v1	input_annotation	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/minerva_production/09_annotate_genes/gene_annotation_master.tsv.gz	14959057	b1a7e9b627c983d083df74cbe1173b8cb3e9007e1afc641747e8c30ec17f9203
phase20_simple_returned_only_acat_v1_artifacts_v1	output_global_aggregates	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/minerva_production/20_sex_apoe_kda_simple_aggr/simple_global_gene_aggregates.tsv	391986	e1e4d4a4eaacb0d20bca63b14eabf043c3d6afedabc1bb01e0da00c6f5422509
phase20_simple_returned_only_acat_v1_artifacts_v1	output_category_aggregates	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/minerva_production/20_sex_apoe_kda_simple_aggr/simple_category_gene_aggregates.tsv	715370	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_returned_only_acat_v1_artifacts_v1	output_returned_rows	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/minerva_production/20_sex_apoe_kda_simple_aggr/simple_returned_call_rows.tsv.gz	133123	b76a06c1e7e4df23cc5417386a0034e8f816968a272bac9d14f7e832a7cacc9d
phase20_simple_returned_only_acat_v1_artifacts_v1	output_category_summary	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/minerva_production/20_sex_apoe_kda_simple_aggr/simple_category_summary.tsv	5370	19df754f39e4cd5afc9bc0e1618879beb91138460ce9e84f2becef64f8da92bc
phase20_simple_returned_only_acat_v1_artifacts_v1	output_checks	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/minerva_production/20_sex_apoe_kda_simple_aggr/simple_checks.tsv	2653	3748828e897ded66b5200d0a659c8d9eb1c41d6263ad3bbd9ea8fa535288a98d
phase20_simple_returned_only_acat_v1_artifacts_v1	output_status	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/minerva_production/20_sex_apoe_kda_simple_aggr/simple_status.tsv	736	faefd830de54370de4b6890d0670bd62361d0669c015aeec8c53329c1ce8f4af
phase20_simple_returned_only_acat_v1_artifacts_v1	output_methods	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/minerva_production/20_sex_apoe_kda_simple_aggr/README.md	1771	f988fd3c2a59e4cf2d029e83b6594583f45639aa2512c211747edb59ad1a6b67
