schema_version	rank_set_id	comparison_order	comparison_id	yu_analogue	analysis_universe	tail	requested_k	selected_k	eligible_genes	size_shortfall	selection_order	deterministic_rank	similarity_feature_id	feature_id_original	symbol_hgnc_current	hgnc_id	ensembl_id_stable	mito_tier	score_scope	similarity_score	score_sign	directional_fdr_bh	paired_tests	nominal_dimensions	nominal_coverage_fraction	coverage_fraction
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	1	1	MT-ATP8	MT-ATP8	MT-ATP8	HGNC:7415	ENSG00000228253	core_mito_protein	coverage_adjusted_cross_celltype	0.0102040816326531	positive	0.536146385361464	98	162	0.604938271604938	0.616352201257862
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	2	2	GBF1	GBF1	GBF1	HGNC:4181	ENSG00000107862	core_mito_protein	coverage_adjusted_cross_celltype	0.00628930817610063	positive	1	159	162	0.981481481481481	1
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	3	3	ANGEL2	ANGEL2	ANGEL2	HGNC:30534	ENSG00000174606	core_mito_protein	coverage_adjusted_cross_celltype	0.00347222222222222	positive	1	144	162	0.888888888888889	0.905660377358491
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	4	4	TBL1XR1	TBL1XR1	TBL1XR1	HGNC:29529	ENSG00000177565	mito_extended	coverage_adjusted_cross_celltype	0	zero	1	159	162	0.981481481481481	1
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	5	5	CARS2	CARS2	CARS2	HGNC:25695	ENSG00000134905	core_mito_protein	coverage_adjusted_cross_celltype	0	zero	1	153	162	0.944444444444444	0.962264150943396
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	6	6	NDUFAF5	NDUFAF5	NDUFAF5	HGNC:15899	ENSG00000101247	core_mito_protein	coverage_adjusted_cross_celltype	0	zero	1	133	162	0.820987654320988	0.836477987421384
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	7	7	NADK2	NADK2	NADK2	HGNC:26404	ENSG00000152620	core_mito_protein	coverage_adjusted_cross_celltype	0	zero	1	129	162	0.796296296296296	0.811320754716981
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	8	8	PCCB	PCCB	PCCB	HGNC:8654	ENSG00000114054	core_mito_protein	coverage_adjusted_cross_celltype	0	zero	1	129	162	0.796296296296296	0.811320754716981
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	9	9	CCDC90B	CCDC90B	CCDC90B	HGNC:28108	ENSG00000137500	core_mito_protein	coverage_adjusted_cross_celltype	0	zero	1	123	162	0.759259259259259	0.773584905660377
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	10	10	METTL4	METTL4	METTL4	HGNC:24726	ENSG00000101574	core_mito_protein	coverage_adjusted_cross_celltype	0	zero	1	113	162	0.697530864197531	0.710691823899371
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	11	11	SLC25A24	SLC25A24	SLC25A24	HGNC:20662	ENSG00000085491	core_mito_protein	coverage_adjusted_cross_celltype	0	zero	1	109	162	0.67283950617284	0.685534591194969
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	12	12	RTN4IP1	RTN4IP1	RTN4IP1	HGNC:18647	ENSG00000130347	core_mito_protein	coverage_adjusted_cross_celltype	0	zero	1	105	162	0.648148148148148	0.660377358490566
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	13	13	TARS2	TARS2	TARS2	HGNC:30740	ENSG00000143374	core_mito_protein	coverage_adjusted_cross_celltype	0	zero	1	101	162	0.623456790123457	0.635220125786164
mitochondrial_similarity_rank_sets_v1	female_vs_male_all_apoe::all_mito_related::high_score::25	1	female_vs_male_all_apoe	Figure_3	all_mito_related	high_score	25	25	766	0	14	14	MCEE	MCEE	MCEE	HGNC:16732	ENSG00000124370	core_mito_protein	coverage_adjusted_cross_celltype	0	zero	1	97	162	0.598765432098765	0.610062893081761
