schema_version	comparison_order	comparison_id	yu_analogue	dimension_order	dimension_id	rds_id	cell_type_high_resolution	sex	apoe_group	first_state_label	second_state_label	first_contrast_id	second_contrast_id	first_terminal_status	second_terminal_status	first_analysis_population	second_analysis_population	planned_dimension	structurally_estimable	structural_status	nominal_dimensions
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	1	female_vs_male_all_apoe::astrocytes::Ast CHI3L1::e2	astrocytes	Ast CHI3L1	NA	e2	Female	Male	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	2	female_vs_male_all_apoe::astrocytes::Ast CHI3L1::e33	astrocytes	Ast CHI3L1	NA	e33	Female	Male	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	3	female_vs_male_all_apoe::astrocytes::Ast CHI3L1::e4	astrocytes	Ast CHI3L1	NA	e4	Female	Male	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	4	female_vs_male_all_apoe::astrocytes::Ast DPP10::e2	astrocytes	Ast DPP10	NA	e2	Female	Male	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	5	female_vs_male_all_apoe::astrocytes::Ast DPP10::e33	astrocytes	Ast DPP10	NA	e33	Female	Male	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	6	female_vs_male_all_apoe::astrocytes::Ast DPP10::e4	astrocytes	Ast DPP10	NA	e4	Female	Male	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	7	female_vs_male_all_apoe::astrocytes::Ast GRM3::e2	astrocytes	Ast GRM3	NA	e2	Female	Male	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	8	female_vs_male_all_apoe::astrocytes::Ast GRM3::e33	astrocytes	Ast GRM3	NA	e33	Female	Male	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	9	female_vs_male_all_apoe::astrocytes::Ast GRM3::e4	astrocytes	Ast GRM3	NA	e4	Female	Male	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	10	female_vs_male_all_apoe::excitatory_set1::Exc L2-3 CBLN2 LINC02306::e2	excitatory_set1	Exc L2-3 CBLN2 LINC02306	NA	e2	Female	Male	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	11	female_vs_male_all_apoe::excitatory_set1::Exc L2-3 CBLN2 LINC02306::e33	excitatory_set1	Exc L2-3 CBLN2 LINC02306	NA	e33	Female	Male	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e33	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	12	female_vs_male_all_apoe::excitatory_set1::Exc L2-3 CBLN2 LINC02306::e4	excitatory_set1	Exc L2-3 CBLN2 LINC02306	NA	e4	Female	Male	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e4	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	13	female_vs_male_all_apoe::excitatory_set2::Exc L3-4 RORB CUX2::e2	excitatory_set2	Exc L3-4 RORB CUX2	NA	e2	Female	Male	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e2	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
similarity_dimension_manifest_v1	1	female_vs_male_all_apoe	Figure_3	14	female_vs_male_all_apoe::excitatory_set2::Exc L3-4 RORB CUX2::e33	excitatory_set2	Exc L3-4 RORB CUX2	NA	e33	Female	Male	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e33	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e33	validated_complete	validated_complete	yu_all_cohort_included_nuclei	yu_all_cohort_included_nuclei	TRUE	TRUE	validated_complete	162
