schema_version	similarity_feature_id	feature_id_original	reference_only_id	reference_only	reference_source	representative_rds_id	source_rds_count	symbol_original	symbol_hgnc_current	hgnc_id	ensembl_id_stable	mapping_status	mapping_consistent	mito_tier	genome_origin	sub_mito_localization	extended_reference_member	measured	test_eligible	test_exclusion_reason	in_core_mito	in_all_mito_related	scoreable_source_feature
mitochondrial_similarity_feature_manifest_v1	AADAT	AADAT	NA	FALSE	assay_feature	astrocytes	9	AADAT	AADAT	HGNC:17929	ENSG00000109576	mapped_ensembl	TRUE	core_mito_protein	nuclear	Matrix	FALSE	TRUE	TRUE		TRUE	TRUE	TRUE
mitochondrial_similarity_feature_manifest_v1	AARS2	AARS2	NA	FALSE	assay_feature	astrocytes	9	AARS2	AARS2	HGNC:21022	ENSG00000124608	mapped_ensembl	TRUE	core_mito_protein	nuclear	Matrix	FALSE	TRUE	TRUE		TRUE	TRUE	TRUE
mitochondrial_similarity_feature_manifest_v1	AASS	AASS	NA	FALSE	assay_feature	astrocytes	9	AASS	AASS	HGNC:17366	ENSG00000008311	mapped_ensembl	TRUE	core_mito_protein	nuclear	Matrix	FALSE	TRUE	TRUE		TRUE	TRUE	TRUE
mitochondrial_similarity_feature_manifest_v1	ABAT	ABAT	NA	FALSE	assay_feature	astrocytes	9	ABAT	ABAT	HGNC:23	ENSG00000183044	mapped_ensembl	TRUE	core_mito_protein	nuclear	Matrix	FALSE	TRUE	TRUE		TRUE	TRUE	TRUE
mitochondrial_similarity_feature_manifest_v1	ABCA9	ABCA9	NA	FALSE	assay_feature	astrocytes	9	ABCA9	ABCA9	HGNC:39	ENSG00000154258	mapped_ensembl	TRUE	core_mito_protein	nuclear	Membrane	FALSE	TRUE	TRUE		TRUE	TRUE	TRUE
mitochondrial_similarity_feature_manifest_v1	ABCB10	ABCB10	NA	FALSE	assay_feature	astrocytes	9	ABCB10	ABCB10	HGNC:41	ENSG00000135776	mapped_ensembl	TRUE	core_mito_protein	nuclear	MIM	FALSE	TRUE	TRUE		TRUE	TRUE	TRUE
mitochondrial_similarity_feature_manifest_v1	ABCB6	ABCB6	NA	FALSE	assay_feature	astrocytes	9	ABCB6	ABCB6	HGNC:47	ENSG00000115657	mapped_ensembl	TRUE	core_mito_protein	nuclear	MOM	FALSE	TRUE	TRUE		TRUE	TRUE	TRUE
mitochondrial_similarity_feature_manifest_v1	ABCB7	ABCB7	NA	FALSE	assay_feature	astrocytes	9	ABCB7	ABCB7	HGNC:48	ENSG00000131269	mapped_ensembl	TRUE	core_mito_protein	nuclear	MIM	FALSE	TRUE	TRUE		TRUE	TRUE	TRUE
mitochondrial_similarity_feature_manifest_v1	ABCB8	ABCB8	NA	FALSE	assay_feature	astrocytes	9	ABCB8	ABCB8	HGNC:49	ENSG00000197150	mapped_ensembl	TRUE	core_mito_protein	nuclear	MIM	FALSE	TRUE	TRUE		TRUE	TRUE	TRUE
mitochondrial_similarity_feature_manifest_v1	ABCD1	ABCD1	NA	FALSE	assay_feature	astrocytes	9	ABCD1	ABCD1	HGNC:61	ENSG00000101986	mapped_ensembl	TRUE	core_mito_protein	nuclear	Membrane	FALSE	TRUE	TRUE		TRUE	TRUE	TRUE
