schema_version	route_id	candidate_id	gene	broad_network	case_id	qtl_type	status	evidence_status	qtl_finemapping_rows	qtl_cs95_rows	qtl_max_pip	context_match	reason
human_genetic_support_tier2_coloc_v1	T2R001	GS001	ANKRD11	OPCs	non_mt_driver	eQTL	not_assessable	unassessed	2	0	0.0497864723958845	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R002	GS001	ANKRD11	OPCs	non_mt_driver	sQTL	not_assessable	unassessed	1256	59	0.999987685978353	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R003	GS002	APOE	Astrocytes	non_mt_driver	eQTL	not_assessable	unassessed	8	0	0.216250350586013	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R004	GS002	APOE	Astrocytes	non_mt_driver	sQTL	not_assessable	unassessed	245	9	0.999999999999537	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R005	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	eQTL	not_assessable	unassessed	2	0	0.0556613541018715	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R006	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	sQTL	not_assessable	unassessed	83	0	0.862031909066902	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R007	GS004	COX4I1	Astrocytes	mt_driver	eQTL	not_assessable	unassessed	14	0	0.43225219963612	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R008	GS004	COX4I1	Astrocytes	mt_driver	sQTL	not_assessable	unassessed	106	9	0.987754233399463	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R009	GS005	COX4I1	Excitatory_neurons	mt_driver	eQTL	not_assessable	unassessed	8	0	0.373813705711782	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R010	GS005	COX4I1	Excitatory_neurons	mt_driver	sQTL	not_assessable	unassessed	106	9	0.987754233399463	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R011	GS006	COX6B1	Excitatory_neurons	mt_driver	eQTL	not_assessable	unassessed	29	15	0.970074810930778	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R012	GS006	COX6B1	Excitatory_neurons	mt_driver	sQTL	not_assessable	unassessed	72	6	0.576757766214059	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
