schema_version	route_id	candidate_id	gene	broad_network	case_id	qtl_type	source_result_available	classical_h0_h4_available	full_regional_gwas_available	full_regional_qtl_available	ancestry_matched_ld_available	qtl_finemapping_rows	qtl_cs95_rows	model_match	shared_variants	lead_or_proxy_retained	convergence	terminal_status	reason
human_genetic_support_tier2_coloc_v1	T2R001	GS001	ANKRD11	OPCs	non_mt_driver	eQTL	FALSE	FALSE	TRUE	FALSE	FALSE	2	0	not_assessable	NA	NA	not_run	not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R002	GS001	ANKRD11	OPCs	non_mt_driver	sQTL	FALSE	FALSE	TRUE	FALSE	FALSE	1256	59	not_assessable	NA	NA	not_run	not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R003	GS002	APOE	Astrocytes	non_mt_driver	eQTL	FALSE	FALSE	TRUE	FALSE	FALSE	8	0	not_assessable	NA	NA	not_run	not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R004	GS002	APOE	Astrocytes	non_mt_driver	sQTL	FALSE	FALSE	TRUE	FALSE	FALSE	245	9	not_assessable	NA	NA	not_run	not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R005	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	eQTL	FALSE	FALSE	TRUE	FALSE	FALSE	2	0	not_assessable	NA	NA	not_run	not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R006	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	sQTL	FALSE	FALSE	TRUE	FALSE	FALSE	83	0	not_assessable	NA	NA	not_run	not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R007	GS004	COX4I1	Astrocytes	mt_driver	eQTL	FALSE	FALSE	TRUE	FALSE	FALSE	14	0	not_assessable	NA	NA	not_run	not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R008	GS004	COX4I1	Astrocytes	mt_driver	sQTL	FALSE	FALSE	TRUE	FALSE	FALSE	106	9	not_assessable	NA	NA	not_run	not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R009	GS005	COX4I1	Excitatory_neurons	mt_driver	eQTL	FALSE	FALSE	TRUE	FALSE	FALSE	8	0	not_assessable	NA	NA	not_run	not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R010	GS005	COX4I1	Excitatory_neurons	mt_driver	sQTL	FALSE	FALSE	TRUE	FALSE	FALSE	106	9	not_assessable	NA	NA	not_run	not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
