schema_version	comparison_id	candidate_id	gene	qtl_type	raw_gwas_variants	raw_qtl_variants	shared_variants	lead_or_proxy_retained_gwas	lead_or_proxy_retained_qtl	terminal_status
human_genetic_support_tier2_coloc_v1	T2R001	GS001	ANKRD11	eQTL	19764	2	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R002	GS001	ANKRD11	sQTL	19764	1256	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R003	GS002	APOE	eQTL	15788	8	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R004	GS002	APOE	sQTL	15788	245	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R005	GS003	ATP6V1F	eQTL	14139	2	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R006	GS003	ATP6V1F	sQTL	14139	83	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R007	GS004	COX4I1	eQTL	23085	14	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R008	GS004	COX4I1	sQTL	23085	106	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R009	GS005	COX4I1	eQTL	23085	8	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R010	GS005	COX4I1	sQTL	23085	106	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R011	GS006	COX6B1	eQTL	14910	29	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R012	GS006	COX6B1	sQTL	14910	72	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R013	GS007	COX7C	eQTL	15704	2	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R014	GS007	COX7C	sQTL	15704	117	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R015	GS008	COX7C	eQTL	15704	2	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R016	GS008	COX7C	sQTL	15704	117	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R017	GS009	DYNLT1	eQTL	16978	12	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R018	GS009	DYNLT1	sQTL	16978	80	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R019	GS010	FTL	eQTL	16549	2	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R020	GS010	FTL	sQTL	16549	24	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R021	GS011	LAMTOR5	eQTL	14712	14	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
