test_id	context_order	context_id	context_label	contrast_order	contrast_id	contrast_label	modifier	module_order	module_id	module_label	module_role	estimate	robust_se	ci_low	ci_high	p_value_score	q_value_score	p_value_camera	q_value_camera	minimum_group_donors	coverage_fraction	scientific_status	display_estimate	display_clipped	schema_version	panel_id	display_limit
astrocytes::sex_F_minus_M__e2::mtdna_oxphos_13	1	astrocytes	Astrocytes	1	sex_F_minus_M__e2	F−M | ε2	sex	1	mtdna_oxphos_13	mtDNA OXPHOS	direct_respiratory	0.626425955190596	0.912495744292746	-1.17049487962434	2.42334679000553	0.493018413747409	0.957817869647846	0.482453167437743	0.944631415335757	6	1	inconclusive	0.626425955190596	FALSE	phase13_modifier_landscape_plot_v1	module_1	1.5
astrocytes::sex_F_minus_M__e33::mtdna_oxphos_13	1	astrocytes	Astrocytes	2	sex_F_minus_M__e33	F−M | ε3/3	sex	1	mtdna_oxphos_13	mtDNA OXPHOS	direct_respiratory	0.0841151879388021	0.346979891432875	-0.599170624709906	0.76740100058751	0.808647364114753	0.957817869647846	0.655724976829787	0.944631415335757	28	1	inconclusive	0.0841151879388021	FALSE	phase13_modifier_landscape_plot_v1	module_1	1.5
astrocytes::sex_F_minus_M__e4::mtdna_oxphos_13	1	astrocytes	Astrocytes	3	sex_F_minus_M__e4	F−M | ε4	sex	1	mtdna_oxphos_13	mtDNA OXPHOS	direct_respiratory	-0.374359408321094	0.538168462861564	-1.43414092467853	0.685422108036338	0.487296921630284	0.957817869647846	0.316805152473221	0.944631415335757	10	1	inconclusive	-0.374359408321094	FALSE	phase13_modifier_landscape_plot_v1	module_1	1.5
astrocytes::apoe_e2_minus_e33__Female::mtdna_oxphos_13	1	astrocytes	Astrocytes	4	apoe_e2_minus_e33__Female	ε2−ε3/3 | F	apoe	1	mtdna_oxphos_13	mtDNA OXPHOS	direct_respiratory	-0.462414060455081	0.575604354635141	-1.59591573859799	0.671087617687825	0.422512524383104	0.957817869647846	0.258817189570696	0.928715301675688	7	1	inconclusive	-0.462414060455081	FALSE	phase13_modifier_landscape_plot_v1	module_1	1.5
astrocytes::apoe_e2_minus_e33__Male::mtdna_oxphos_13	1	astrocytes	Astrocytes	5	apoe_e2_minus_e33__Male	ε2−ε3/3 | M	apoe	1	mtdna_oxphos_13	mtDNA OXPHOS	direct_respiratory	-1.00472482770688	0.791544795526414	-2.56346451900611	0.554014863592359	0.205474685647946	0.957817869647846	0.20639068535227	0.928715301675688	6	1	inconclusive	-1.00472482770688	FALSE	phase13_modifier_landscape_plot_v1	module_1	1.5
astrocytes::apoe_e4_minus_e33__Female::mtdna_oxphos_13	1	astrocytes	Astrocytes	6	apoe_e4_minus_e33__Female	ε4−ε3/3 | F	apoe	1	mtdna_oxphos_13	mtDNA OXPHOS	direct_respiratory	-0.42606480904586	0.399383800001306	-1.21254636339672	0.360416745305004	0.287060822184986	0.957817869647846	0.220612484328388	0.928715301675688	11	1	inconclusive	-0.42606480904586	FALSE	phase13_modifier_landscape_plot_v1	module_1	1.5
astrocytes::apoe_e4_minus_e33__Male::mtdna_oxphos_13	1	astrocytes	Astrocytes	7	apoe_e4_minus_e33__Male	ε4−ε3/3 | M	apoe	1	mtdna_oxphos_13	mtDNA OXPHOS	direct_respiratory	0.0324097872140365	0.49808914953428	-0.94844604251601	1.01326561694408	0.948170247648625	0.963841583731187	0.745886647854029	0.944631415335757	10	1	inconclusive	0.0324097872140365	FALSE	phase13_modifier_landscape_plot_v1	module_1	1.5
excitatory_neurons::sex_F_minus_M__e2::mtdna_oxphos_13	2	excitatory_neurons	Excitatory neurons	1	sex_F_minus_M__e2	F−M | ε2	sex	1	mtdna_oxphos_13	mtDNA OXPHOS	direct_respiratory	0.715711532311683	0.792983666260395	-0.84577639709621	2.27719946171958	0.367597394839206	0.957817869647846	0.3407586876243	0.944631415335757	6	1	inconclusive	0.715711532311683	FALSE	phase13_modifier_landscape_plot_v1	module_1	1.5
excitatory_neurons::sex_F_minus_M__e33::mtdna_oxphos_13	2	excitatory_neurons	Excitatory neurons	2	sex_F_minus_M__e33	F−M | ε3/3	sex	1	mtdna_oxphos_13	mtDNA OXPHOS	direct_respiratory	0.299660756154623	0.32347521421956	-0.337303993508472	0.936625505817717	0.355107961033229	0.957817869647846	0.392105938360907	0.944631415335757	28	1	inconclusive	0.299660756154623	FALSE	phase13_modifier_landscape_plot_v1	module_1	1.5
excitatory_neurons::sex_F_minus_M__e4::mtdna_oxphos_13	2	excitatory_neurons	Excitatory neurons	3	sex_F_minus_M__e4	F−M | ε4	sex	1	mtdna_oxphos_13	mtDNA OXPHOS	direct_respiratory	-0.336493086121122	0.51947300935988	-1.35940297478746	0.686416802545217	0.517712695438018	0.957817869647846	0.286052151141212	0.928715301675688	10	1	inconclusive	-0.336493086121122	FALSE	phase13_modifier_landscape_plot_v1	module_1	1.5
