rds_id	canonical_symbol	human_gene_id	description	synonyms	sub_mito_localization	mito_pathways	duplicate_canonical_symbol	mapped_feature	match_type	tested	measured
astrocytes	AADAT	51166	aminoadipate aminotransferase	KAT2|KATII|KYAT2	Matrix	Metabolism > Amino acid metabolism > Lysine metabolism	FALSE	AADAT	canonical	TRUE	TRUE
astrocytes	AARS2	57505	alanyl-tRNA synthetase 2, mitochondrial	AARSL|COXPD8|LKENP|MT-ALARS|MTALARS	Matrix	Mitochondrial central dogma > Translation > mt-tRNA synthetases	FALSE	AARS2	canonical	TRUE	TRUE
astrocytes	AASS	10157	aminoadipate-semialdehyde synthase	LKR/SDH|LKRSDH|LORSDH	Matrix	Metabolism > Amino acid metabolism > Lysine metabolism	FALSE	AASS	canonical	TRUE	TRUE
astrocytes	ABAT	18	4-aminobutyrate aminotransferase	GABA-AT|GABAT|NPD009	Matrix	Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins	FALSE	ABAT	canonical	TRUE	TRUE
astrocytes	ABCA9	10350	ATP binding cassette subfamily A member 9	EST640918	Membrane	Small molecule transport > ABC transporters	FALSE	ABCA9	canonical	TRUE	TRUE
astrocytes	ABCB10	23456	ATP binding cassette subfamily B member 10	EST20237|M-ABC2|MTABC2	MIM	Metabolism > Metals and cofactors > Heme synthesis and processing | Small molecule transport > ABC transporters	FALSE	ABCB10	canonical	TRUE	TRUE
astrocytes	ABCB6	10058	ATP binding cassette subfamily B member 6 (Langereis blood group)	ABC|LAN|MTABC3|PRP|umat	MOM	Metabolism > Metals and cofactors > Heme synthesis and processing | Small molecule transport > ABC transporters	FALSE	ABCB6	canonical	TRUE	TRUE
astrocytes	ABCB7	22	ATP binding cassette subfamily B member 7	ABC7|ASAT|Atm1p|EST140535	MIM	Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Small molecule transport > ABC transporters	FALSE	ABCB7	canonical	TRUE	TRUE
astrocytes	ABCB8	11194	ATP binding cassette subfamily B member 8	EST328128|M-ABC1|MABC1|MITOSUR	MIM	Small molecule transport > ABC transporters	FALSE	ABCB8	canonical	TRUE	TRUE
astrocytes	ABCD1	215	ATP binding cassette subfamily D member 1	ABC42|ALD|ALDP|AMN	Membrane	Small molecule transport > ABC transporters	FALSE	ABCD1;AMN	canonical;unique_synonym	TRUE	TRUE
astrocytes	ABCD2	225	ATP binding cassette subfamily D member 2	ABC39|ALDL1|ALDR|ALDRP|hALDR	Membrane	Small molecule transport > ABC transporters	FALSE	ABCD2	canonical	TRUE	TRUE
