schema_version	artifact	path	bytes	sha256	records	source_version	source_url	validation_status
annotation_manifest_v1	gencode.v44.basic.annotation.gtf.gz	data/reference/gencode/gencode.v44.basic.annotation.gtf.gz	29570410	3e52f82c63f8fd860bf632ccde10441c05751f4c342ad08c0a98e9e2700171a5	62700	GENCODE_44	https://www.gencodegenes.org/human/release_44.html	validated_complete
annotation_manifest_v1	Human.MitoCarta3.0.xls	data/reference/Human.MitoCarta3.0.xls	10179584	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	1136	MitoCarta_3.0	https://personal.broadinstitute.org/scalvo/MitoCarta3.0/Human.MitoCarta3.0.xls	validated_complete
annotation_manifest_v1	mtDNA_protein_genes.tsv	results/minerva_production/03_annotations/mtDNA_protein_genes.tsv	7605	4f8dd63d012cbd045f4f5ec21c1f6fa3e21fa0b538fd421bbbd91ff0c6a6b1c9	117	0.1.0		validated_complete
annotation_manifest_v1	mitocarta_measured_genes.tsv	results/minerva_production/03_annotations/mitocarta_measured_genes.tsv	2051616	2efe562b5ee3475edbec260e89365982289e0c1999bdbf0f7644ee3388158160	10224	0.1.0		validated_complete
annotation_manifest_v1	mitocarta_pathways.gmt	results/minerva_production/03_annotations/mitocarta_pathways.gmt	39658	341e5ee049dbc087c534827dcb4fcf2cde0c86864993e5bf3168c022a2cf1e5e	154	0.1.0		validated_complete
annotation_manifest_v1	mitocarta_pathways.tsv	results/minerva_production/03_annotations/mitocarta_pathways.tsv	40006	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	154	0.1.0		validated_complete
annotation_manifest_v1	gene_alias_mapping.tsv	results/minerva_production/03_annotations/gene_alias_mapping.tsv	153272	6dc101bc9090887cce82ca87a0ae9e3a41e65cadb6223154b2e5067eca844161	4608	0.1.0		validated_complete
annotation_manifest_v1	tested_gene_universe.tsv	results/minerva_production/03_annotations/tested_gene_universe.tsv	53990599	8a0ef566b8abd253e8cbff57e71f00508ebbd3720934d9542817d8b7deb98a2b	301842	0.1.0		validated_complete
annotation_manifest_v1	gencode_gene_annotation.tsv	results/minerva_production/03_annotations/gencode_gene_annotation.tsv	3207319	74bf70ba6b53542bc9fa09d035c16f6a57a338a46719707aeea56e506530ab61	62700	0.1.0		validated_complete
annotation_manifest_v1	annotation_checks.tsv	results/minerva_production/03_annotations/annotation_checks.tsv	1004	78cb283ab8216256105b2b49d3e0244fabfd693d91a07a9b54035425377f5115	11	0.1.0		validated_complete
