alias	canonical_symbol	alias_type	canonical_targets	duplicate_alias	feature_present_rds	selected_mapping_rds
ACOT13	ACOT13	canonical	1	FALSE	9	0
ACOT15	THEM5	synonym	1	FALSE	0	0
ACOT2	ACOT2	canonical	1	FALSE	9	0
ACOT7	ACOT7	canonical	1	FALSE	9	0
ACOT9	ACOT9	canonical	1	FALSE	9	0
ACP	NDUFAB1	synonym	1	FALSE	0	0
ACP1	NDUFAB1	synonym	1	FALSE	9	9
ACP6	ACP6	canonical	1	FALSE	9	0
ACPL1	ACP6	synonym	1	FALSE	0	0
ACR1	PRDX5	synonym	1	FALSE	0	0
ACS	ACCS	synonym	1	FALSE	0	0
ACS1	ACSL1	synonym	1	FALSE	0	0
ACS2	ACSL6	synonym	1	FALSE	0	0
ACSF2	ACSF2	canonical	1	FALSE	9	0
ACSF3	ACSF3	canonical	1	FALSE	9	0
ACSL1	ACSL1	canonical	1	FALSE	9	0
ACSL6	ACSL6	canonical	1	FALSE	9	0
ACSM1	ACSM1	canonical	1	FALSE	9	0
ACSM2	ACSM2A	synonym	2	TRUE	0	0
ACSM2	ACSM2B	synonym	2	TRUE	0	0
ACSM2A	ACSM2A	canonical	1	FALSE	9	0
ACSM2B	ACSM2B	canonical	1	FALSE	9	0
ACSM3	ACSM3	canonical	1	FALSE	9	0
ACSM4	ACSM4	canonical	1	FALSE	9	0
ACSM5	ACSM5	canonical	1	FALSE	9	0
ACSMW	ACSF2	synonym	1	FALSE	0	0
ACSS1	ACSS1	canonical	1	FALSE	9	0
ACSS3	ACSS3	canonical	1	FALSE	9	0
ACT	ACOT7	synonym	1	FALSE	0	0
AD025	PLGRKT	synonym	1	FALSE	0	0
ADCK1	ADCK1	canonical	1	FALSE	9	0
ADCK2	ADCK2	canonical	1	FALSE	9	0
ADCK3	COQ8A	synonym	1	FALSE	0	0
ADCK4	COQ8B	synonym	1	FALSE	0	0
ADCK5	ADCK5	canonical	1	FALSE	9	0
ADCL3	ALDH18A1	synonym	1	FALSE	0	0
ADCY10	ADCY10	canonical	1	FALSE	9	0
ADE2	PAICS	synonym	1	FALSE	0	0
ADE2H1	PAICS	synonym	1	FALSE	0	0
ADH8	ADHFE1	synonym	1	FALSE	0	0
ADHFE1	ADHFE1	canonical	1	FALSE	9	0
ADK2	AK2	synonym	1	FALSE	0	0
ADR	FDXR	synonym	1	FALSE	0	0
ADX	FDX1	synonym	1	FALSE	0	0
ADXR	FDXR	synonym	1	FALSE	0	0
AFAR	AKR7A2	synonym	1	FALSE	0	0
AFAR1	AKR7A2	synonym	1	FALSE	0	0
AFB1-AR1	AKR7A2	synonym	1	FALSE	0	0
AFDC1	ATAD1	synonym	1	FALSE	0	0
AFG1	AFG1L	synonym	1	FALSE	0	0
AFG1L	AFG1L	canonical	1	FALSE	9	0
AFG3L2	AFG3L2	canonical	1	FALSE	9	0
AGAS	NAGS	synonym	1	FALSE	0	0
AGAT	GATM	synonym	1	FALSE	0	0
AGC1	SLC25A12	synonym	1	FALSE	0	0
AGGG	NDUFB2	synonym	1	FALSE	0	0
AGK	AGK	canonical	1	FALSE	9	0
AGMAT	AGMAT	canonical	1	FALSE	9	0
AGPAT4	AGPAT4	canonical	1	FALSE	9	0
AGPAT5	AGPAT5	canonical	1	FALSE	9	0
AGT	AGXT	synonym	1	FALSE	9	9
AGT1	AGXT	synonym	1	FALSE	0	0
AGT2	AGXT2	synonym	1	FALSE	0	0
AGTBP	NLN	synonym	1	FALSE	0	0
AGXT	AGXT	canonical	1	FALSE	9	0
AGXT1	AGXT	synonym	1	FALSE	0	0
AGXT2	AGXT2	canonical	1	FALSE	9	0
AHCYL1	AHCYL1	canonical	1	FALSE	9	0
AIBP	NAXE	synonym	1	FALSE	0	0
AIF	AIFM1	synonym	1	FALSE	0	0
AIFL	AIFM3	synonym	1	FALSE	0	0
AIFM1	AIFM1	canonical	1	FALSE	9	0
AIFM2	AIFM2	canonical	1	FALSE	9	0
AIFM3	AIFM3	canonical	1	FALSE	9	0
AIP	AURKAIP1	synonym	1	FALSE	9	9
AIRC	PAICS	synonym	1	FALSE	0	0
