shortlist_rank	priority_tier	rationale	gene	hgnc_id	hgnc_name	ensembl_id_stable	mito_tier	genome_origin	sub_mito_localization	role_class	control_programs	secondary_programs	name_control_hint	mitocarta_pathway_count	mitocarta_pathways	assay_eligible_contexts	modeled_contexts	deg_contexts	deg_up_contexts	deg_down_contexts	deg_cell_types	deg_lineages	deg_strata	median_abs_logFC_sig	max_abs_logFC_sig	min_deg_fdr	top_context_cell_type	top_context_stratum	top_context_logFC	top_context_fdr	low_tail_comparisons	low_tail_comparison_names	low_tail_families	low_tail_family_names	mean_low_tail_rank	low_tail_rank_signal	mean_low_tail_similarity_score	panel_tail_comparisons	mean_similarity_coverage	min_similarity_directional_fdr	similarity_fdr_significant_comparisons	focused_ora_query_support	focused_ora_pathway_hits	focused_ora_min_fdr	primary_ora_query_support	primary_ora_pathway_hits	primary_ora_min_fdr	disease_signal_score	differential_context_score	pathway_support_score	data_quality_score	balanced_score	balanced_global_rank	balanced_control_rank	deg_heavy_score	deg_heavy_global_rank	deg_heavy_control_rank	context_heavy_score	context_heavy_global_rank	context_heavy_control_rank	median_control_rank	top20_control_schemes
1	A	control annotation; AD-vs-NCI DEG in 34 contexts across 20 cell types, 8 broad lineages, and 5/6 strata; bottom-200 divergent tail in 6/6 comparisons spanning 3/3 comparison families.	ATP5IF1	HGNC:871	ATP synthase inhibitory factor subunit 1	ENSG00000130770	core_mito_protein	nuclear	Matrix	regulatory_control			True	4	CV subunits; Complex V; OXPHOS; OXPHOS subunits	324	301	34	8	26	20	8	5	0.637929	1.45219	4.22487e-95	Exc L2-3 CBLN2 LINC02306	F_e4x	-1.45219	4.22487e-95	6	female_vs_male_all_apoe,e2_vs_e33_all_sexes,e4_vs_e33_all_sexes,female_vs_male_e2,female_vs_male_e33,female_vs_male_e4	3	apoe_contrast,sex_global,sex_within_apoe	45	0.78	-0.102334	0	0.908717	1	0	6	21	1.18252e-16	6	6	2.62457e-14	91.8279	84.5	100	87.1862	90.4334	25	1	90.349	24	1	88.9256	24	1	1	3
2	A	genome_expression; AD-vs-NCI DEG in 19 contexts across 16 cell types, 7 broad lineages, and 6/6 strata; bottom-200 divergent tail in 6/6 comparisons spanning 3/3 comparison families.	TUFM	HGNC:12420	Tu translation elongation factor, mitochondrial	ENSG00000178952	core_mito_protein	nuclear	Matrix	regulatory_control	genome_expression		True	3	Mitochondrial central dogma; Translation; Translation factors	324	288	19	3	16	16	7	6	0.65934	1.28443	1.57238e-28	Exc L2-3 CBLN2 LINC02306	M_e2x	-0.779781	1.57238e-28	6	female_vs_male_all_apoe,e2_vs_e33_all_sexes,e4_vs_e33_all_sexes,female_vs_male_e2,female_vs_male_e33,female_vs_male_e4	3	apoe_contrast,sex_global,sex_within_apoe	114.833	0.430833	-0.0647558	0	0.871073	1	0	0	0	NA	5	15	0.00160015	92.1357	75.7708	37.5	81.7865	74.4459	54	2	81.546	50	3	74.723	53	2	2	3
3	A	proteostasis_import; AD-vs-NCI DEG in 37 contexts across 26 cell types, 9 broad lineages, and 6/6 strata; bottom-200 divergent tail in 4/6 comparisons spanning 3/3 comparison families.	HSPD1	HGNC:5261	heat shock protein family D (Hsp60) member 1	ENSG00000144381	core_mito_protein	nuclear	Matrix	regulatory_control	proteostasis_import		False	3	Chaperones; Protein homeostasis; Protein import, sorting and homeostasis	324	318	37	5	32	26	9	6	0.7136	2.57357	3.99194e-290	Exc L2-3 CBLN2 LINC02306	F_e4x	-2.38939	3.99194e-290	4	female_vs_male_all_apoe,e4_vs_e33_all_sexes,female_vs_male_e33,female_vs_male_e4	3	apoe_contrast,sex_global,sex_within_apoe	12.75	0.6275	-0.142109	2	0.982515	1	0	0	0	NA	4	8	2.45338e-08	96.7399	70.6875	30	95.9222	74.1918	58	3	83.4711	47	2	73.621	58	3	3	3
4	A	dynamics_surveillance,proteostasis_import; AD-vs-NCI DEG in 25 contexts across 19 cell types, 7 broad lineages, and 6/6 strata; bottom-200 divergent tail in 6/6 comparisons spanning 3/3 comparison families.	TOMM7	HGNC:21648	translocase of outer mitochondrial membrane 7	ENSG00000196683	core_mito_protein	nuclear	MOM	regulatory_control	dynamics_surveillance,proteostasis_import	dynamics_effector	True	6	Autophagy; Mitochondrial dynamics and surveillance; Mitophagy; Protein import and sorting; Protein import, sorting and homeostasis; TOM	324	272	25	7	18	19	7	6	0.762368	3.34677	5.0736e-72	Exc L2-3 CBLN2 LINC02306	F_e4x	-1.74828	5.0736e-72	6	female_vs_male_all_apoe,e2_vs_e33_all_sexes,e4_vs_e33_all_sexes,female_vs_male_e2,female_vs_male_e33,female_vs_male_e4	3	apoe_contrast,sex_global,sex_within_apoe	71	0.65	-0.0875453	0	0.79432	1	0	0	0	NA	0	0	NA	95.9129	81.25	0	74.8919	69.4962	77	6	80.5538	54	4	72.0924	63	4	4	3
5	A	dynamics_surveillance; AD-vs-NCI DEG in 28 contexts across 17 cell types, 6 broad lineages, and 6/6 strata; bottom-200 divergent tail in 6/6 comparisons spanning 3/3 comparison families.	FKBP8	HGNC:3724	FKBP prolyl isomerase 8	ENSG00000105701	core_mito_protein	nuclear	MOM	regulatory_control	dynamics_surveillance	dynamics_effector	False	4	Autophagy; Mitochondrial dynamics and surveillance; Mitophagy; Organelle contact sites	324	312	28	13	15	17	6	6	0.523437	1.05741	1.40917e-50	Exc NRGN	M_e33	-0.866926	1.40917e-50	6	female_vs_male_all_apoe,e2_vs_e33_all_sexes,e4_vs_e33_all_sexes,female_vs_male_e2,female_vs_male_e33,female_vs_male_e4	3	apoe_contrast,sex_global,sex_within_apoe	74	0.635	-0.0841453	0	0.958216	1	0	0	0	NA	0	0	NA	87.2194	80.875	0	92.2994	68.063	85	8	77.4194	69	5	71.4723	66	5	5	3
6	A	oxphos_assembly; AD-vs-NCI DEG in 12 contexts across 10 cell types, 6 broad lineages, and 4/6 strata; bottom-200 divergent tail in 5/6 comparisons spanning 3/3 comparison families.	UQCC2	HGNC:21237	ubiquinol-cytochrome c reductase complex assembly factor 2	ENSG00000137288	core_mito_protein	nuclear	MIM	regulatory_control	oxphos_assembly		True	4	CIII assembly factors; Complex III; OXPHOS; OXPHOS assembly factors	324	256	12	10	2	10	6	4	0.53281	1.13713	6.29082e-24	Exc L2-3 CBLN2 LINC02306	M_e2x	0.414483	6.29082e-24	5	female_vs_male_all_apoe,e2_vs_e33_all_sexes,e4_vs_e33_all_sexes,female_vs_male_e2,female_vs_male_e4	3	apoe_contrast,sex_global,sex_within_apoe	151.6	0.205833	-0.0525601	0	0.768797	1	0	5	5	3.92957e-11	5	10	4.13952e-07	76.2898	63.4792	83.3333	69.8888	72.5747	61	4	73.1514	96	9	70.3009	74	6	6	3
7	A	oxphos_assembly; AD-vs-NCI DEG in 12 contexts across 10 cell types, 4 broad lineages, and 5/6 strata; bottom-200 divergent tail in 5/6 comparisons spanning 3/3 comparison families.	DMAC1	HGNC:30536	distal membrane arm assembly component 1	ENSG00000137038	core_mito_protein	nuclear	MIM	regulatory_control	oxphos_assembly		False	4	CI assembly factors; Complex I; OXPHOS; OXPHOS assembly factors	324	194	12	5	7	10	4	5	0.557359	1.34694	1.08615e-16	Exc L2-3 CBLN2 LINC02306	M_e2x	-0.464003	1.08615e-16	5	female_vs_male_all_apoe,e2_vs_e33_all_sexes,e4_vs_e33_all_sexes,female_vs_male_e2,female_vs_male_e4	3	apoe_contrast,sex_global,sex_within_apoe	122.4	0.3275	-0.0631892	0	0.570206	1	0	5	10	3.92957e-11	5	19	4.13952e-07	76.8258	66.5208	83.3333	51.3328	71.9713	64	5	72.351	102	11	70.1001	75	7	7	3
8	A	oxphos_assembly; AD-vs-NCI DEG in 11 contexts across 9 cell types, 4 broad lineages, and 5/6 strata; bottom-200 divergent tail in 5/6 comparisons spanning 3/3 comparison families.	TMEM126B	HGNC:30883	transmembrane protein 126B	ENSG00000171204	core_mito_protein	nuclear	MIM	regulatory_control	oxphos_assembly		False	4	CI assembly factors; Complex I; OXPHOS; OXPHOS assembly factors	324	225	11	4	7	9	4	5	0.461199	0.920405	2.37792e-23	Exc L2-3 CBLN2 LINC02306	M_e2x	-0.525061	2.37792e-23	5	female_vs_male_all_apoe,e4_vs_e33_all_sexes,female_vs_male_e2,female_vs_male_e33,female_vs_male_e4	3	apoe_contrast,sex_global,sex_within_apoe	139.2	0.2575	-0.0487331	0	0.650173	1	0	5	9	3.92957e-11	5	17	2.67898e-06	69.2755	64.7708	83.3333	58.7858	69.4615	78	7	68.5062	127	15	68.0829	90	9	9	3
9	B	dynamics_surveillance; AD-vs-NCI DEG in 21 contexts across 16 cell types, 8 broad lineages, and 4/6 strata; bottom-200 divergent tail in 4/6 comparisons spanning 3/3 comparison families.	APOO	HGNC:28727	apolipoprotein O	ENSG00000184831	core_mito_protein	nuclear	MIM	regulatory_control	dynamics_surveillance	dynamics_effector	False	3	Cristae formation; MICOS complex; Mitochondrial dynamics and surveillance	324	321	21	0	21	16	8	4	0.684694	1.26872	1.4562e-34	Oli	M_e2x	-0.727614	1.4562e-34	4	female_vs_male_all_apoe,e2_vs_e33_all_sexes,e4_vs_e33_all_sexes,female_vs_male_e2	3	apoe_contrast,sex_global,sex_within_apoe	104.25	0.3225	-0.0698599	0	1	1	0	0	0	NA	3	4	0.00180315	88.4736	59.7292	22.5	99.0787	66.2788	93	9	75.7507	81	6	65.2659	101	11	9	3
10	B	genome_expression; AD-vs-NCI DEG in 13 contexts across 12 cell types, 5 broad lineages, and 5/6 strata; bottom-200 divergent tail in 6/6 comparisons spanning 3/3 comparison families.	MRPS7	HGNC:14499	mitochondrial ribosomal protein S7	ENSG00000125445	core_mito_protein	nuclear	Matrix	regulatory_control	genome_expression		False	5	Mitochondrial central dogma; Mitochondrial ribosome; Translation; mtRNA granules; mtRNA metabolism	324	189	13	3	10	12	5	5	0.601498	0.842959	1.23126e-29	Exc L2-3 CBLN2 LINC02306	M_e2x	-0.463909	1.23126e-29	6	female_vs_male_all_apoe,e2_vs_e33_all_sexes,e4_vs_e33_all_sexes,female_vs_male_e2,female_vs_male_e33,female_vs_male_e4	3	apoe_contrast,sex_global,sex_within_apoe	127.333	0.368333	-0.051551	0	0.533468	1	0	0	0	NA	4	8	0.00160015	82.9376	74.2083	30	48.7839	65.8795	97	10	72.0462	105	12	67.217	95	10	10	3
