shortlist_rank	priority_tier	gene	context_effect_rank	contrast_id	rds_id	cell_type	sex	apoe_group	yu_stratum	logFC	fdr	cells_ad	cells_nci	donors_ad	donors_nci
12	B	FIS1	1	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e2	excitatory_set3	Exc RELN CHD7	Male	e2	M_e2x	-1.88929	0.00644211	202	673	7	6
12	B	FIS1	2	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e4	F_e4x	-1.51903	3.73615e-58	15950	14571	26	11
12	B	FIS1	3	inhibitory::Inh PVALB HTR4::AD_vs_NCI__Female__e4	inhibitory	Inh PVALB HTR4	Female	e4	F_e4x	-1.20255	1.28674e-05	2139	1553	25	11
12	B	FIS1	4	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e4	excitatory_set3	Exc RELN CHD7	Female	e4	F_e4x	-0.929361	0.00607399	884	736	24	11
12	B	FIS1	5	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L3-4 RORB CUX2	Male	e2	M_e2x	-0.802436	4.66329e-08	2069	3140	7	6
12	B	FIS1	6	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Male	e2	M_e2x	-0.798693	0.000108192	1249	1339	7	6
12	B	FIS1	7	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Female	e4	F_e4x	-0.773338	5.60261e-07	4249	2234	25	11
12	B	FIS1	8	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e4	excitatory_set3	Exc RELN CHD7	Male	e4	M_e4x	0.756706	0.0070306	5746	397	26	10
12	B	FIS1	9	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e33	excitatory_set3	Exc NRGN	Male	e33	M_e33	-0.753066	1.61077e-06	4383	6868	28	52
12	B	FIS1	10	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e4	excitatory_set3	Exc L6 CT	Female	e4	F_e4x	-0.74194	0.00975333	1402	835	25	11
12	B	FIS1	11	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e2	excitatory_set3	Exc L5/6 NP	Male	e2	M_e2x	-0.697534	0.0147095	295	285	7	6
