schema_version	source_id	role	source_version	path	url	bytes	sha256	validation_state
phase19_endophenotype_gwas_qtl_extension_v1	1000G_Phase3_EUR_FUMA	MAGMA_LD_reference_bed	MAGMA_official_2018_dbSNP151	external_tools/magma_reference/official/g1000_eur.bed	https://cncr.nl/research/magma/	2855798067	fadce7321e622ed20e3cb7798b3e54699c7f342752c642a14ddb982d93d8e08c	validated
phase19_endophenotype_gwas_qtl_extension_v1	1000G_Phase3_EUR_FUMA	MAGMA_LD_reference_bim	MAGMA_official_2018_dbSNP151	external_tools/magma_reference/official/g1000_eur.bim	https://cncr.nl/research/magma/	658724714	b7dfeb30cef0573059ae43dd85a6924e46e418d6fe03df6b0ff1166c79cfa131	validated
phase19_endophenotype_gwas_qtl_extension_v1	1000G_Phase3_EUR_FUMA	MAGMA_LD_reference_fam	MAGMA_official_2018_dbSNP151	external_tools/magma_reference/official/g1000_eur.fam	https://cncr.nl/research/magma/	12575	79dee21226fd04b5a889cbbeacd08079e1740e7d63b0a4dea115527e8fea4dae	validated
phase19_endophenotype_gwas_qtl_extension_v1	1000G_Phase3_EUR_FUMA	MAGMA_LD_reference_synonyms	MAGMA_official_2018_dbSNP151	external_tools/magma_reference/official/g1000_eur.synonyms	https://cncr.nl/research/magma/	86161259	33cf56ff20d1ca6129dc5dbddf35ebebcfedf1f4ffd13afacbc21bf805505b3a	validated
phase19_endophenotype_gwas_qtl_extension_v1	FUMA_Ensembl_v110	MAGMA_gene_locations_GRCh37	frozen_local	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/inventory/MAGMAgenev110.txt	https://fuma.ctglab.nl/downloadPage	924707	dad55384ccfcd4c669bdb22c2cd13f3b2d51e96be1e5b8d7049dbb396b265a4d	validated
phase19_endophenotype_gwas_qtl_extension_v1	GCST90726396	gwas_catalog_metadata	2026-05-06	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/inventory/GCST90726396.tsv-meta.yaml	https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90726396	3119	abcd052388b10ac1012efa94a0cd11f83fb25e7e59a0a29c75f0a890f511d3c2	validated
phase19_endophenotype_gwas_qtl_extension_v1	GCST90726396	harmonized_complete_gwas	2026-05-06	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_normalized/GCST90726396.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726396/harmonised/GCST90726396.h.tsv.gz	142432693	c9d7b4546461a6c8ddad09618c1696e8828522aeb77b036267ee2f6edab77d3a	validated
phase19_endophenotype_gwas_qtl_extension_v1	GCST90726396	harmonized_tabix_index	2026-05-06	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_normalized/GCST90726396.h.tsv.gz.tbi	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726396/harmonised/GCST90726396.h.tsv.gz.tbi	1482426	6432cfbc04c8b59d82ddc6ac21b4dcdb9f8be813f5e9204144374930e5c93355	validated
phase19_endophenotype_gwas_qtl_extension_v1	GCST90726396	raw_complete_gwas	2026-05-06	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_raw/GCST90726396.tsv	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726396/GCST90726396.tsv	294154315	8539bb367409e4e5fed73ecc44a28f049b29e0d5ec303c0db083c3a74092a92c	validated
phase19_endophenotype_gwas_qtl_extension_v1	GCST90726397	gwas_catalog_metadata	2026-05-06	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/inventory/GCST90726397.tsv-meta.yaml	https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90726397	3109	cb69cfde9e3c0d8ecd52a5e1308cdadcb255992672658aaf9ba1042c6946a4cf	validated
phase19_endophenotype_gwas_qtl_extension_v1	GCST90726397	harmonized_complete_gwas	2026-05-06	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_normalized/GCST90726397.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726397/harmonised/GCST90726397.h.tsv.gz	142376906	1fd2c514fbbab8c9a5f2970e02b9fda8a345d2e24a3f7f374bf3712ef6f3a41c	validated
phase19_endophenotype_gwas_qtl_extension_v1	GCST90726397	harmonized_tabix_index	2026-05-06	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_normalized/GCST90726397.h.tsv.gz.tbi	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726397/harmonised/GCST90726397.h.tsv.gz.tbi	1482128	01ff48b5513f3841300aa1d9801bb8907eaa92e657b9b49ba7f1b37af4cc96f1	validated
phase19_endophenotype_gwas_qtl_extension_v1	GCST90726397	raw_complete_gwas	2026-05-06	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_raw/GCST90726397.tsv	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726397/GCST90726397.tsv	294181214	9fedf0b3b5c0609a593cc6e4f32172349ca25a568f1fee970e2ac2e1defb12b3	validated
