schema_version	candidate_id	gene	broad_network	case_id	case_label	aggregate_acat_p	aggregate_acat_q	evidence_tier	is_mtdna_gene	requested_xqtl_context
phase19_endophenotype_gwas_qtl_extension_v1	GS001	ANKRD11	OPCs	non_mt_driver	non-MT driver	5.259996911384487e-07	0.0007117827820485487	tier_not_assessable	False	OPC
phase19_endophenotype_gwas_qtl_extension_v1	GS002	APOE	Astrocytes	non_mt_driver	non-MT driver	2.0726873539087566e-05	0.012710318724587031	tier1_recurrent_stable	False	Ast
phase19_endophenotype_gwas_qtl_extension_v1	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	non-MT driver	5.484953508515869e-05	0.026291210484152734	tier1_recurrent_stable	False	Inh
phase19_endophenotype_gwas_qtl_extension_v1	GS004	COX4I1	Astrocytes	mt_driver	MT driver	3.7721949708478125e-06	0.0031287662858203425	tier2_localized_or_unstable	False	Ast
phase19_endophenotype_gwas_qtl_extension_v1	GS005	COX4I1	Excitatory_neurons	mt_driver	MT driver	7.179509480568631e-12	1.5236713995136778e-08	tier1_recurrent_stable	False	Exc
phase19_endophenotype_gwas_qtl_extension_v1	GS006	COX6B1	Excitatory_neurons	mt_driver	MT driver	3.5096060985169647e-10	5.958609234062103e-07	tier1_recurrent_stable	False	Exc
phase19_endophenotype_gwas_qtl_extension_v1	GS007	COX7C	Astrocytes	mt_driver	MT driver	4.4258502523388936e-07	0.0005139297313015923	tier2_localized_or_unstable	False	Ast
phase19_endophenotype_gwas_qtl_extension_v1	GS008	COX7C	Inhibitory_neurons	mt_driver	MT driver	4.338803513629411e-09	6.239199452599093e-06	tier1_recurrent_stable	False	Inh
phase19_endophenotype_gwas_qtl_extension_v1	GS009	DYNLT1	Excitatory_neurons	non_mt_driver	non-MT driver	4.267541173552992e-06	0.0025876540730208103	tier1_recurrent_stable	False	Exc
phase19_endophenotype_gwas_qtl_extension_v1	GS010	FTL	OPCs	non_mt_driver	non-MT driver	9.709306937536999e-08	0.00021897723579791776	tier_not_assessable	False	OPC
phase19_endophenotype_gwas_qtl_extension_v1	GS011	LAMTOR5	Excitatory_neurons	non_mt_driver	non-MT driver	4.082987826979987e-06	0.0025876540730208103	tier1_recurrent_stable	False	Exc
phase19_endophenotype_gwas_qtl_extension_v1	GS012	LAMTOR5	Inhibitory_neurons	non_mt_driver	non-MT driver	5.181466066139895e-06	0.004139415668393983	tier1_recurrent_stable	False	Inh
phase19_endophenotype_gwas_qtl_extension_v1	GS013	LAPTM4A	Astrocytes	non_mt_driver	non-MT driver	2.1891696046481277e-05	0.012710318724587031	tier1_recurrent_stable	False	Ast
phase19_endophenotype_gwas_qtl_extension_v1	GS014	MT-ATP6	Astrocytes	mt_driver	MT driver	5.338816564270003e-08	7.749292243037909e-05	tier1_recurrent_stable	True	Ast
phase19_endophenotype_gwas_qtl_extension_v1	GS015	MT-ATP6	Vasculature_cells	mt_driver	MT driver	3.254775739587875e-07	0.0003999034458706969	tier_not_assessable	True	Brain
phase19_endophenotype_gwas_qtl_extension_v1	GS016	MT-CO2	Astrocytes	mt_driver	MT driver	5.315610601318248e-16	3.0862435151253747e-12	tier1_recurrent_stable	True	Ast
phase19_endophenotype_gwas_qtl_extension_v1	GS017	MT-CO2	Excitatory_neurons	mt_driver	MT driver	9.822658950496607e-25	8.33845518307657e-21	tier1_recurrent_stable	True	Exc
phase19_endophenotype_gwas_qtl_extension_v1	GS018	MT-CO2	Inhibitory_neurons	mt_driver	MT driver	1.0382062140880728e-21	7.464702679293243e-18	tier1_recurrent_stable	True	Inh
phase19_endophenotype_gwas_qtl_extension_v1	GS019	MT-CO2	Microglia	mt_driver	MT driver	2.3498670073090155e-18	9.279624811863303e-15	tier1_recurrent_stable	True	Mic
phase19_endophenotype_gwas_qtl_extension_v1	GS020	MT-CO2	OPCs	mt_driver	MT driver	5.199093143103802e-07	0.0007117827820485487	tier_not_assessable	True	OPC
phase19_endophenotype_gwas_qtl_extension_v1	GS021	MT-CO2	Oligodendrocytes	mt_driver	MT driver	2.0116573437307146e-17	9.317996816160671e-14	tier_not_assessable	True	Oli
phase19_endophenotype_gwas_qtl_extension_v1	GS022	MT-CO2	Vasculature_cells	mt_driver	MT driver	4.980487313806649e-10	9.179038119345654e-07	tier_not_assessable	True	Brain
