schema_version	check_id	source_id	role	path	expected	observed	status	detail
phase19_endophenotype_gwas_qtl_extension_v1	baseline_tier1_001	tier1	immutable_baseline_artifact	results/minerva_production/19_genetic_support_tier1/genetic_support_analysis_manifest.tsv	ab424a5c2bacb65ae0341d911bdf31b97d1df25f4efade7b1bfc721e2f7f81f7	ab424a5c2bacb65ae0341d911bdf31b97d1df25f4efade7b1bfc721e2f7f81f7	pass	upstream_artifact_hash_reproduced
phase19_endophenotype_gwas_qtl_extension_v1	baseline_tier1_002	tier1	immutable_baseline_artifact	results/minerva_production/19_genetic_support_tier1/genetic_support_candidate_manifest.tsv	c79b0a10065357469d12246dd46c9d63124b446388e4c5cd7031998033703a04	c79b0a10065357469d12246dd46c9d63124b446388e4c5cd7031998033703a04	pass	upstream_artifact_hash_reproduced
phase19_endophenotype_gwas_qtl_extension_v1	baseline_tier1_003	tier1	immutable_baseline_artifact	results/minerva_production/19_genetic_support_tier1/genetic_support_candidate_loci.tsv	f4eaddd30b73fa3a911c4bd2a294856341a2dce1bd95de3e827e0bbd6086c267	f4eaddd30b73fa3a911c4bd2a294856341a2dce1bd95de3e827e0bbd6086c267	pass	upstream_artifact_hash_reproduced
phase19_endophenotype_gwas_qtl_extension_v1	baseline_tier1_004	tier1	immutable_baseline_artifact	results/minerva_production/19_genetic_support_tier1/genetic_support_dataset_registry.tsv	c1df18b659a8b6a2cf8768b53ea8819bd77e2dee4186f91c106d3b9f24cf3833	c1df18b659a8b6a2cf8768b53ea8819bd77e2dee4186f91c106d3b9f24cf3833	pass	upstream_artifact_hash_reproduced
phase19_endophenotype_gwas_qtl_extension_v1	baseline_tier1_005	tier1	immutable_baseline_artifact	results/minerva_production/19_genetic_support_tier1/genetic_support_input_inventory.tsv	15053b2979550e329cbb2d53d45b83ab3a1fd603c7d7422a53780bcbef627427	15053b2979550e329cbb2d53d45b83ab3a1fd603c7d7422a53780bcbef627427	pass	upstream_artifact_hash_reproduced
phase19_endophenotype_gwas_qtl_extension_v1	baseline_tier1_006	tier1	immutable_baseline_artifact	results/minerva_production/19_genetic_support_tier1/genetic_support_source_checks.tsv	19dfb7f241e465cdab160e9611489d75fcccc7578a305d9fb5fd023e5fadd666	19dfb7f241e465cdab160e9611489d75fcccc7578a305d9fb5fd023e5fadd666	pass	upstream_artifact_hash_reproduced
phase19_endophenotype_gwas_qtl_extension_v1	baseline_tier1_007	tier1	immutable_baseline_artifact	results/minerva_production/19_genetic_support_tier1/genetic_support_search_log.tsv	b30d994c4741825fdb49ddcc49f2c726caef13315f52d3613bfb8601fcabb0f9	b30d994c4741825fdb49ddcc49f2c726caef13315f52d3613bfb8601fcabb0f9	pass	upstream_artifact_hash_reproduced
phase19_endophenotype_gwas_qtl_extension_v1	baseline_tier1_008	tier1	immutable_baseline_artifact	results/minerva_production/19_genetic_support_tier1/genetic_support_common_variant_evidence.tsv.gz	5d0bf3d2e180cfbce72a14cb42a1b9d97656e67daed98bac18b4d847af97f374	5d0bf3d2e180cfbce72a14cb42a1b9d97656e67daed98bac18b4d847af97f374	pass	upstream_artifact_hash_reproduced
phase19_endophenotype_gwas_qtl_extension_v1	baseline_tier1_009	tier1	immutable_baseline_artifact	results/minerva_production/19_genetic_support_tier1/genetic_support_colocalization.tsv.gz	82ffb1a644c215387665c3d0e6c4eb3ab7c3bc48683ebd8e228a9ba6054e0308	82ffb1a644c215387665c3d0e6c4eb3ab7c3bc48683ebd8e228a9ba6054e0308	pass	upstream_artifact_hash_reproduced
phase19_endophenotype_gwas_qtl_extension_v1	baseline_tier1_010	tier1	immutable_baseline_artifact	results/minerva_production/19_genetic_support_tier1/genetic_support_colocalization_qc.tsv	570a97dfb02e584a113a768a18b79dc5c30d143cac55ffb1ae11f35b844fc8ad	570a97dfb02e584a113a768a18b79dc5c30d143cac55ffb1ae11f35b844fc8ad	pass	upstream_artifact_hash_reproduced
