schema_version	unit_type	unit_id	gene	trait_id	route_id	terminal_status	reason
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	RPS13__csf_ptau181	RPS13	csf_ptau181	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	RPS15__csf_ptau181	RPS15	csf_ptau181	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	SELENOW__csf_ptau181	SELENOW	csf_ptau181	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	UQCR10__csf_ptau181	UQCR10	csf_ptau181	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	ANKRD11__csf_total_tau	ANKRD11	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	APOE__csf_total_tau	APOE	csf_total_tau	NA	regional_and_gene_based_signal	regional_qtl_colocalization_and_report_magma
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	ATP6V1F__csf_total_tau	ATP6V1F	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	COX4I1__csf_total_tau	COX4I1	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	COX6B1__csf_total_tau	COX6B1	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	COX7C__csf_total_tau	COX7C	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	DYNLT1__csf_total_tau	DYNLT1	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	FTL__csf_total_tau	FTL	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	LAMTOR5__csf_total_tau	LAMTOR5	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	LAPTM4A__csf_total_tau	LAPTM4A	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	NCOA1__csf_total_tau	NCOA1	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	RPL11__csf_total_tau	RPL11	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	RPL15__csf_total_tau	RPL15	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	RPL38__csf_total_tau	RPL38	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	RPLP1__csf_total_tau	RPLP1	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	RPS13__csf_total_tau	RPS13	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	RPS15__csf_total_tau	RPS15	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	SELENOW__csf_total_tau	SELENOW	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	gene_biomarker_screen	UQCR10__csf_total_tau	UQCR10	csf_total_tau	NA	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition
phase19_endophenotype_gwas_qtl_extension_v1	qtl_route	APOE__csf_abeta42__EQTL_Catalogue_r7__eQTL__Astrocytes	APOE	csf_abeta42	APOE__csf_abeta42__EQTL_Catalogue_r7__eQTL__Astrocytes	model_or_ld_incompatible	single_signal_sensitivity_completed_but_primary_multisignal_route_lacks_released_QTL_model_or_QTL_ancestry_matched_LD
phase19_endophenotype_gwas_qtl_extension_v1	qtl_route	APOE__csf_abeta42__EQTL_Catalogue_r7__sQTL__Astrocytes	APOE	csf_abeta42	APOE__csf_abeta42__EQTL_Catalogue_r7__sQTL__Astrocytes	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_release_and_measurement_status_unresolved
phase19_endophenotype_gwas_qtl_extension_v1	qtl_route	APOE__csf_abeta42__NG00130.v2__pQTL__CSF	APOE	csf_abeta42	APOE__csf_abeta42__NG00130.v2__pQTL__CSF	model_or_ld_incompatible	single_signal_sensitivity_completed_but_primary_multisignal_route_lacks_released_QTL_model_or_QTL_ancestry_matched_LD
phase19_endophenotype_gwas_qtl_extension_v1	qtl_route	APOE__csf_abeta42__NG00184.v1__eQTL__Astrocytes	APOE	csf_abeta42	APOE__csf_abeta42__NG00184.v1__eQTL__Astrocytes	no_regional_qtl_signal	NG00184_APOE_measured_in_Knight-ADRC,MSBB,ROSMAP_with_finemap_rows=44_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	qtl_route	APOE__csf_abeta42__NG00184.v1__pQTL__brain_regions	APOE	csf_abeta42	APOE__csf_abeta42__NG00184.v1__pQTL__brain_regions	no_regional_qtl_signal	NG00184_APOE_measured_in_MSBB,ROSMAP_with_finemap_rows=22_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	qtl_route	APOE__csf_abeta42__NG00184.v1__sQTL__Astrocytes	APOE	csf_abeta42	APOE__csf_abeta42__NG00184.v1__sQTL__Astrocytes	model_or_ld_incompatible	NG00184_APOE_signal_present_hmt_rows=189_finemap_rows=245;released_finemapping_contains_PIP_and_credible_set_membership_but_not_a_complete_multisignal_model_or_ancestry_matched_LD_required_for_primary_colocalization
phase19_endophenotype_gwas_qtl_extension_v1	qtl_route	APOE__csf_abeta42__NG00184.v1__snuc-eQTL__Astrocytes	APOE	csf_abeta42	APOE__csf_abeta42__NG00184.v1__snuc-eQTL__Astrocytes	no_regional_qtl_signal	NG00184_APOE_measured_in_ROSMAP_CUIMC1_2_MIT,ROSMAP_MIT_with_finemap_rows=8_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
