schema_version	screen_id	gene	ensembl_gene_id	trait_id	source_accession	regional_coverage_pass	regional_min_p	regional_signal	magma_test_status	magma_p	magma_signal	gate_state	next_action	decision_frozen_before_qtl_result
phase19_endophenotype_gwas_qtl_extension_v1	ANKRD11__csf_abeta42	ANKRD11	ENSG00000167522	csf_abeta42	GCST90726396	TRUE	2.134e-05	FALSE	tested_magma_v1.10	0.24883	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42	APOE	ENSG00000130203	csf_abeta42	GCST90726396	TRUE	0.0	TRUE	tested_magma_v1.10	5e-10	TRUE	regional_and_gene_based_signal	regional_qtl_colocalization_and_report_magma	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	ATP6V1F__csf_abeta42	ATP6V1F	ENSG00000128524	csf_abeta42	GCST90726396	TRUE	0.001467	FALSE	tested_magma_v1.10	0.020108	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX4I1__csf_abeta42	COX4I1	ENSG00000131143	csf_abeta42	GCST90726396	TRUE	0.0002011	FALSE	tested_magma_v1.10	0.7479	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX6B1__csf_abeta42	COX6B1	ENSG00000126267	csf_abeta42	GCST90726396	TRUE	0.0001417	FALSE	tested_magma_v1.10	0.12764	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX7C__csf_abeta42	COX7C	ENSG00000127184	csf_abeta42	GCST90726396	TRUE	0.001934	FALSE	tested_magma_v1.10	0.28738	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	DYNLT1__csf_abeta42	DYNLT1	ENSG00000146425	csf_abeta42	GCST90726396	TRUE	0.0002492	FALSE	tested_magma_v1.10	0.29503	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	FTL__csf_abeta42	FTL	ENSG00000087086	csf_abeta42	GCST90726396	TRUE	8.787e-05	FALSE	tested_magma_v1.10	0.6594	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	LAMTOR5__csf_abeta42	LAMTOR5	ENSG00000134248	csf_abeta42	GCST90726396	TRUE	0.0002177	FALSE	tested_magma_v1.10	0.53463	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	LAPTM4A__csf_abeta42	LAPTM4A	ENSG00000068697	csf_abeta42	GCST90726396	TRUE	0.0003847	FALSE	tested_magma_v1.10	0.71721	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	NCOA1__csf_abeta42	NCOA1	ENSG00000084676	csf_abeta42	GCST90726396	TRUE	0.0002237	FALSE	tested_magma_v1.10	0.21037	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	RPL11__csf_abeta42	RPL11	ENSG00000142676	csf_abeta42	GCST90726396	TRUE	0.000102	FALSE	tested_magma_v1.10	0.18133	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	RPL15__csf_abeta42	RPL15	ENSG00000174748	csf_abeta42	GCST90726396	TRUE	0.0003943	FALSE	tested_magma_v1.10	0.62115	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	RPL38__csf_abeta42	RPL38	ENSG00000172809	csf_abeta42	GCST90726396	TRUE	0.0005451	FALSE	tested_magma_v1.10	0.22922	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	RPLP1__csf_abeta42	RPLP1	ENSG00000137818	csf_abeta42	GCST90726396	TRUE	0.0005375	FALSE	tested_magma_v1.10	0.54274	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	RPS13__csf_abeta42	RPS13	ENSG00000110700	csf_abeta42	GCST90726396	TRUE	0.003246	FALSE	tested_magma_v1.10	0.85305	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	RPS15__csf_abeta42	RPS15	ENSG00000115268	csf_abeta42	GCST90726396	TRUE	0.0001749	FALSE	tested_magma_v1.10	0.91	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	SELENOW__csf_abeta42	SELENOW	ENSG00000178980	csf_abeta42	GCST90726396	TRUE	8.787e-05	FALSE	tested_magma_v1.10	0.79085	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	UQCR10__csf_abeta42	UQCR10	ENSG00000184076	csf_abeta42	GCST90726396	TRUE	0.0005278	FALSE	tested_magma_v1.10	0.88572	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	ANKRD11__csf_ptau181	ANKRD11	ENSG00000167522	csf_ptau181	GCST90726398	TRUE	6.089e-05	FALSE	tested_magma_v1.10	0.6213	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181	APOE	ENSG00000130203	csf_ptau181	GCST90726398	TRUE	3.27e-174	TRUE	tested_magma_v1.10	5e-10	TRUE	regional_and_gene_based_signal	regional_qtl_colocalization_and_report_magma	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	ATP6V1F__csf_ptau181	ATP6V1F	ENSG00000128524	csf_ptau181	GCST90726398	TRUE	0.0004326	FALSE	tested_magma_v1.10	0.68752	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX4I1__csf_ptau181	COX4I1	ENSG00000131143	csf_ptau181	GCST90726398	TRUE	5.035e-05	FALSE	tested_magma_v1.10	0.45085	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX6B1__csf_ptau181	COX6B1	ENSG00000126267	csf_ptau181	GCST90726398	TRUE	0.0005441	FALSE	tested_magma_v1.10	0.3189	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX7C__csf_ptau181	COX7C	ENSG00000127184	csf_ptau181	GCST90726398	TRUE	0.0004447	FALSE	tested_magma_v1.10	0.12097	FALSE	no_qualifying_gwas_signal	terminal_no_signal_no_qtl_ld_acquisition	TRUE
