source_id	resource	release_or_commit	url	access	expected_local_path	sha256	status
rimbanet_public_wrapper	mw201608/BayesianNetwork	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	https://github.com/mw201608/BayesianNetwork	public	/sc/arion/scratch/zhuane01/alzheimer/external_tools/BayesianNetwork	TO_BE_COMPUTED	pinned_not_downloaded
wang_proteomics_workflow	wange230/proteomics_networks	c0f51fa7e1195be4469fbad122dd5e96db31a397	https://github.com/wange230/proteomics_networks	public	/sc/arion/scratch/zhuane01/alzheimer/external_tools/proteomics_networks	TO_BE_COMPUTED	reference_only
seaad_snp_array	SEA-AD_GDA-8_VCF	syn49430589	https://www.synapse.org/Synapse:syn49430589	controlled_shared	/sc/arion/projects/adineto/sea_ad/Data/SNP_Genomic_Variants/SEA_AD_SNPs_vcf.tar.gz	f9d60b00db44e6a4f7c96329b1b8bbc1998dc96b3f4b1c4d3d4d274812dc9459	present_checksum_verified
seaad_snp_array_metadata	SEA-AD_GDA-8_Synapse_manifest	syn49430589	https://www.synapse.org/Synapse:syn49430589	controlled_shared	/sc/arion/projects/adineto/sea_ad/Data/SNP_Genomic_Variants/SYNAPSE_METADATA_MANIFEST.tsv	c70b8452d0a913013584dd321b9bf97ce85f936108fa6dde4e450717e5b05c5a	present_checksum_verified
seaad_snp_array_project	GDA-8v1-0_d1_GenomeStudio_project	2022-04-26	shared_project_file	controlled_shared	/sc/arion/projects/adineto/sea_ad/Data/SNP_Genomic_Variants/hodge_grc_genotyping_1_220420.bsc	dc4d3f4d29938cdd79008eceb6fd19cd6db0bdbed0862829dee89938789d68dd	present_checksum_verified
gda8_d1_manifest	Illumina_GDA-8_v1.0_D1_CSV	GRCh37_2021-04-19	https://webdata.illumina.com/downloads/productfiles/global-diversity-array/infinium-global-diversity-array-8-v1-0-D1-manifest-file-csv.zip	public	/sc/arion/scratch/zhuane01/alzheimer/data/seaad_genotypes/syn49430589/source/infinium-global-diversity-array-8-v1-0-D1-manifest-file-csv.zip	63286a4c03298188bf9502d66aef2ff8627ee06d4108c5504af09386ca663466	present_checksum_verified
gda8_d2_manifest	Illumina_GDA-8_v1.0_D2_CSV	GRCh38_2021-04-19	https://webdata.illumina.com/downloads/productfiles/global-diversity-array/infinium-global-diversity-array-8-v1-0-D2-manifest-file-csv.zip	public	/sc/arion/scratch/zhuane01/alzheimer/data/seaad_genotypes/syn49430589/source/infinium-global-diversity-array-8-v1-0-D2-manifest-file-csv.zip	bba55d6b646491fc2794e6b56b524200d82db8e4ed0d5ca55b02a57c36073d7a	present_checksum_verified
gencode_grch38_primary_fasta	GENCODE_GRCh38_primary_assembly	release_44	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_44/GRCh38.primary_assembly.genome.fa.gz	public	/sc/arion/scratch/zhuane01/alzheimer/data/reference/gencode/v44/GRCh38.primary_assembly.genome.fa.gz	e9a2d5a5cd225293646ae298998ad4ea8c11e8f22729bc2d6f5c3dcfefbf8ef8	present_checksum_verified
seaad_gda8_final_allele_audit	SEA-AD_GDA-8_GRCh38_remap_summary	2026-09-04	local_deterministic_audit	controlled_derived	/sc/arion/scratch/zhuane01/alzheimer/data/seaad_genotypes/syn49430589/derived/final_allele_audit/summary.tsv	a790274b1cfc151ebb45a37e6a95ce7d7dcbcf1c548eb1a71551ea2d83182e02	present_checksum_verified
seaad_gda8_crosswalk	SEA-AD_GDA-8_expression_crosswalk	2026-09-04	local_deterministic_identity_gate	controlled_derived	data/seaad_genotypes/syn49430589/sample_crosswalk.tsv	410e1ebd0ba6412d65d7c531db1654206fc3927401bdf7b219c6b665f0515956	present_protected_git_ignored
encode_tf_targets_source	ENCODE_Gerstein_filtered_proximal_TIP	ENCODE_2012	http://encodenets.gersteinlab.org/enets2.Proximal_filtered.txt	public	/sc/arion/scratch/zhuane01/alzheimer/data/reference/rimbanet/source/enets2.Proximal_filtered.txt	ee34cb261c989746d6eecd89e477ab1c8b9f8982d0a5aaea17f221aece2f94d0	frozen_not_staged
encode_tf_targets	ENCODE_Gerstein_filtered_proximal_TIP_HGNC_GENCODE_normalized	ENCODE_2012_HGNC_2026-06-05_GENCODE_v44	local_deterministic_transform	public_derived	/sc/arion/scratch/zhuane01/alzheimer/data/reference/rimbanet/encode_tf_targets.tsv.gz	3604241c4f1765046f151f0394e9d74b49467c233ee0963ff9553dab968410fe	deterministic_transform_frozen_not_staged
gencode_annotation	GENCODE_v44_basic	v44	https://www.gencodegenes.org/human/release_44.html	public	data/reference/gencode/gencode.v44.basic.annotation.gtf.gz	3e52f82c63f8fd860bf632ccde10441c05751f4c342ad08c0a98e9e2700171a5	present
hgnc_complete_set	HGNC_complete_set	2026-06-05	https://www.genenames.org/download/archive/	public	data/reference/hgnc/hgnc_complete_set_2026-06-05.txt	f3051e4aa6fac82166e1c26638d0077a95b0f66ab62a03e18bb35eb613e40a90	present
