schema_version	comparison_id	route_id	gene	qtl_type	requested_context	selected_dataset_id	context_match_level	gwas_signal_present	qtl_model_requested	ld_requested	requested_ld_chromosome	planned_action	selection_rule
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R001	T2R001	ANKRD11	eQTL	OPCs	QTD000579	bulk_brain_fallback	TRUE	TRUE	TRUE	16	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R002	T2R002	ANKRD11	sQTL	OPCs	QTD000583	bulk_brain_fallback	TRUE	TRUE	TRUE	16	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R003	T2R003	APOE	eQTL	Astrocytes	QTD000579	bulk_brain_fallback	TRUE	TRUE	TRUE	19	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R004	T2R004	APOE	sQTL	Astrocytes	QTD000583	bulk_brain_fallback	TRUE	TRUE	TRUE	19	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R005	T2R005	ATP6V1F	eQTL	Inhibitory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R006	T2R006	ATP6V1F	sQTL	Inhibitory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R007	T2R007	COX4I1	eQTL	Astrocytes	QTD000579	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R008	T2R008	COX4I1	sQTL	Astrocytes	QTD000583	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R009	T2R009	COX4I1	eQTL	Excitatory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R010	T2R010	COX4I1	sQTL	Excitatory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R011	T2R011	COX6B1	eQTL	Excitatory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R012	T2R012	COX6B1	sQTL	Excitatory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R013	T2R013	COX7C	eQTL	Astrocytes	QTD000579	bulk_brain_fallback	TRUE	TRUE	TRUE	5	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R014	T2R014	COX7C	sQTL	Astrocytes	QTD000583	bulk_brain_fallback	TRUE	TRUE	TRUE	5	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R015	T2R015	COX7C	eQTL	Inhibitory_neurons	QTD000569	lineage	TRUE	TRUE	TRUE	5	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R016	T2R016	COX7C	sQTL	Inhibitory_neurons	QTD000573	lineage	TRUE	TRUE	TRUE	5	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R017	T2R017	DYNLT1	eQTL	Excitatory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
