schema_version	comparison_id	route_id	candidate_id	gene	broad_network	case_id	qtl_type	dataset_id	context_match_level	gwas_min_p	terminal_state	reason	decision_rule
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R001	T2R001	GS001	ANKRD11	OPCs	non_mt_driver	eQTL	QTD000579	bulk_brain_fallback	1.283e-11	no_regional_qtl_signal	complete_indexed_dense_eqtl_region_fails_frozen_per_gene_bonferroni_signal_gate	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R002	T2R002	GS001	ANKRD11	OPCs	non_mt_driver	sQTL	QTD000583	bulk_brain_fallback	1.283e-11	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R003	T2R003	GS002	APOE	Astrocytes	non_mt_driver	eQTL	QTD000579	bulk_brain_fallback	0	model_or_ld_incompatible	dense_regional_eqtl_signal_present_but_released_susie_model_absent_and_qtl_ancestry_matched_ld_unavailable	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R004	T2R004	GS002	APOE	Astrocytes	non_mt_driver	sQTL	QTD000583	bulk_brain_fallback	0	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R005	T2R005	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	eQTL	QTD000569	lineage	4e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R006	T2R006	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	sQTL	QTD000573	lineage	4e-05	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R007	T2R007	GS004	COX4I1	Astrocytes	mt_driver	eQTL	QTD000579	bulk_brain_fallback	2.929e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R008	T2R008	GS004	COX4I1	Astrocytes	mt_driver	sQTL	QTD000583	bulk_brain_fallback	2.929e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R009	T2R009	GS005	COX4I1	Excitatory_neurons	mt_driver	eQTL	QTD000569	lineage	2.929e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R010	T2R010	GS005	COX4I1	Excitatory_neurons	mt_driver	sQTL	QTD000573	lineage	2.929e-06	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8	frozen_gwas_gate_then_complete_qtl_model_then_ld_model_then_h0_h4
