schema_version	comparison_id	route_id	candidate_id	gene	broad_network	qtl_type	dataset_id	context_match_level	terminal_state	assessable	best_pp_h3	best_pp_h4	best_conditional_h4	reason
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R001	T2R001	GS001	ANKRD11	OPCs	eQTL	QTD000579	bulk_brain_fallback	no_regional_qtl_signal	FALSE	NA	NA	NA	complete_indexed_dense_eqtl_region_fails_frozen_per_gene_bonferroni_signal_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R002	T2R002	GS001	ANKRD11	OPCs	sQTL	QTD000583	bulk_brain_fallback	not_assessable	FALSE	NA	NA	NA	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R003	T2R003	GS002	APOE	Astrocytes	eQTL	QTD000579	bulk_brain_fallback	model_or_ld_incompatible	FALSE	NA	NA	NA	dense_regional_eqtl_signal_present_but_released_susie_model_absent_and_qtl_ancestry_matched_ld_unavailable
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R004	T2R004	GS002	APOE	Astrocytes	sQTL	QTD000583	bulk_brain_fallback	not_assessable	FALSE	NA	NA	NA	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R005	T2R005	GS003	ATP6V1F	Inhibitory_neurons	eQTL	QTD000569	lineage	no_regional_gwas_signal	FALSE	NA	NA	NA	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R006	T2R006	GS003	ATP6V1F	Inhibitory_neurons	sQTL	QTD000573	lineage	no_regional_gwas_signal	FALSE	NA	NA	NA	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R007	T2R007	GS004	COX4I1	Astrocytes	eQTL	QTD000579	bulk_brain_fallback	no_regional_gwas_signal	FALSE	NA	NA	NA	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R008	T2R008	GS004	COX4I1	Astrocytes	sQTL	QTD000583	bulk_brain_fallback	no_regional_gwas_signal	FALSE	NA	NA	NA	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R009	T2R009	GS005	COX4I1	Excitatory_neurons	eQTL	QTD000569	lineage	no_regional_gwas_signal	FALSE	NA	NA	NA	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R010	T2R010	GS005	COX4I1	Excitatory_neurons	sQTL	QTD000573	lineage	no_regional_gwas_signal	FALSE	NA	NA	NA	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R011	T2R011	GS006	COX6B1	Excitatory_neurons	eQTL	QTD000569	lineage	no_regional_gwas_signal	FALSE	NA	NA	NA	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R012	T2R012	GS006	COX6B1	Excitatory_neurons	sQTL	QTD000573	lineage	no_regional_gwas_signal	FALSE	NA	NA	NA	complete_dense_bellenguez_region_has_no_variant_below_5e-8
