schema_version	library	network	pathway	pathway_url	background_definition	background_gene_count	displayed_mapped_gene_count	pathway_background_gene_count	overlap_gene_count	overlap_genes	fold_enrichment	raw_hypergeometric_p	bh_fdr	selected_nonredundant_representative	pathway_code	pathway_display_label	pathway_color	selection_rule
phase18_lamtor5_excitatory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Excitatory_neurons	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	all excitatory-neuron Bayesian-network genes represented in MSigDB C2:CP	6952	15	85	5	ATP5IF1;ATP5MC2;NDUFA6;NDUFB6;UQCR10	27.262745098039215	6.61999681229819e-07	0.0008226870788197319	True	O	ETC / oxidative phosphorylation	#0072B2	nonredundant representative; FDR-significant unless explicitly labeled contextual
phase18_lamtor5_excitatory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Excitatory_neurons	KEGG_OXIDATIVE_PHOSPHORYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_OXIDATIVE_PHOSPHORYLATION	all excitatory-neuron Bayesian-network genes represented in MSigDB C2:CP	6952	15	98	5	ATP5MC2;NDUFA6;NDUFB6;UQCR10;UQCRHL	23.64625850340136	1.3491946261185365e-06	0.0008226870788197319	False				
phase18_lamtor5_excitatory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Excitatory_neurons	KEGG_PARKINSONS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PARKINSONS_DISEASE	all excitatory-neuron Bayesian-network genes represented in MSigDB C2:CP	6952	15	99	5	ATP5MC2;NDUFA6;NDUFB6;UQCR10;UQCRHL	23.40740740740741	1.4192416540880942e-06	0.0008226870788197319	False				
phase18_lamtor5_excitatory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Excitatory_neurons	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	all excitatory-neuron Bayesian-network genes represented in MSigDB C2:CP	6952	15	197	6	ATP5MC2;NDUFA6;NDUFB6;TMEM126A;UQCR10;UQCRHL	14.11573604060914	1.9409591114192e-06	0.0008438319736894973	False				
phase18_lamtor5_excitatory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Excitatory_neurons	KEGG_ALZHEIMERS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ALZHEIMERS_DISEASE	all excitatory-neuron Bayesian-network genes represented in MSigDB C2:CP	6952	15	115	5	ATP5MC2;NDUFA6;NDUFB6;UQCR10;UQCRHL	20.150724637681158	2.9869971691803517e-06	0.0010388776154409264	False				
phase18_lamtor5_excitatory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Excitatory_neurons	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	all excitatory-neuron Bayesian-network genes represented in MSigDB C2:CP	6952	15	121	5	NDUFA6;NDUFB6;TMEM126A;UQCR10;UQCRHL	19.151515151515152	3.840918739436887e-06	0.0011132262813134577	False				
phase18_lamtor5_excitatory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Excitatory_neurons	KEGG_HUNTINGTONS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_HUNTINGTONS_DISEASE	all excitatory-neuron Bayesian-network genes represented in MSigDB C2:CP	6952	15	134	5	ATP5MC2;NDUFA6;NDUFB6;UQCR10;UQCRHL	17.293532338308456	6.349630470149546e-06	0.00157742962679858	False				
phase18_lamtor5_excitatory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Excitatory_neurons	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	all excitatory-neuron Bayesian-network genes represented in MSigDB C2:CP	6952	15	110	4	NDUFA6;NDUFB6;UQCR10;UQCRHL	16.85333333333333	7.081880675052858e-05	0.01539423811739615	False				
phase18_lamtor5_excitatory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Excitatory_neurons	WP_OXIDATIVE_PHOSPHORYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_OXIDATIVE_PHOSPHORYLATION	all excitatory-neuron Bayesian-network genes represented in MSigDB C2:CP	6952	15	49	3	ATP5MC2;NDUFA6;NDUFB6	28.375510204081635	0.00014109048730771593	0.02726181749201311	False				
phase18_lamtor5_excitatory_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Excitatory_neurons	REACTOME_COMPLEX_I_BIOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_COMPLEX_I_BIOGENESIS	all excitatory-neuron Bayesian-network genes represented in MSigDB C2:CP	6952	15	60	3	NDUFA6;NDUFB6;TMEM126A	23.173333333333336	0.00025834133037218944	0.044925557351723745	True	I	Mitochondrial complex I biogenesis	#009E73	nonredundant representative; FDR-significant unless explicitly labeled contextual
