schema_version	kda_run_id	final_layer	effective_query_size	effective_background_size	reconstructed_neighborhood_size_including_driver	driver_self_excluded	reconstructed_query_hit_count	reconstructed_query_hits
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	3	161	9111	24	False	6	ATP5IF1;ATP5MC2;CHCHD10;MRPL4;NDUFB6;TMEM11
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito	2	85	9688	20	False	3	ATP5MC2;CHCHD10;NDUFA6
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	3	206	9722	27	False	8	ATP5IF1;ATP5MC2;CHCHD10;MRPL4;NDUFA6;NDUFB6;TMEM11;TMEM126A
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L3_5_RORB_PLCH1_F_e4_AD_down_mito	2	40	9580	20	False	3	ATP5IF1;ATP5MC2;CHCHD10
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	3	194	9445	27	False	6	ATP5IF1;ATP5MC2;CHCHD10;MRPL4;NDUFB6;TMEM11
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	3	184	9109	26	False	7	ATP5IF1;ATP5MC2;CHCHD10;MRPL4;NDUFA6;NDUFB6;TMEM11
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_up_mito	2	99	9695	20	False	4	ATP5IF1;ATP5MC2;CHCHD10;TMEM126A
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L4_5_RORB_IL1RAPL2_F_e4_AD_down_mito	2	99	9715	20	False	4	ATP5IF1;ATP5MC2;CHCHD10;NDUFA6
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito	3	112	9653	27	False	6	ATP5IF1;ATP5MC2;CHCHD10;NDUFA6;NDUFB6;TMEM11
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L5_6_IT_Car3_F_e2_AD_up_mito	3	101	9731	27	False	4	ATP5IF1;CHCHD10;MRPL4;NDUFA6
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_up_mito	2	59	9669	20	False	3	ATP5IF1;ATP5MC2;CHCHD10
phase18_lamtor5_excitatory_consensus_v1	primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito	2	101	9785	20	False	5	ATP5IF1;ATP5MC2;CHCHD10;NDUFA6;TMEM126A
