schema_version	network	gene	included_reason	directed_depth_from_lamtor5	upstream_depth_to_lamtor5	is_direct_incoming_neighbor	is_direct_outgoing_neighbor	supporting_neighborhood_occurrence_count	supporting_neighborhood_occurrence_fraction	query_hit_occurrence_count	query_hit_occurrence_fraction	query_hit_display_threshold_count	query_hit_display_threshold_fraction	is_query_hit_meeting_display_threshold	is_core_mitocarta	hgnc_name	phase08_deg_class	phase08_up_count	phase08_down_count	in_degree_full	out_degree_full	in_degree_display	out_degree_display
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	ATP5IF1	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	12	1.0	11	0.9166666666666666	3	0.25	True	True	ATP synthase inhibitory factor subunit 1	mixed	7	16	1	3	1	0
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	ATP5MC2	query_hit_meeting_display_threshold	2.0		False	False	12	1.0	11	0.9166666666666666	3	0.25	True	True	ATP synthase membrane subunit c locus 2	mixed	7	11	1	1	1	0
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	ATP5MPL	all_direct_outgoing	1.0		False	True	0	0.0	0	0.0	3	0.25	False	False		mixed	6	14	1	5	1	0
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	CHCHD10	query_hit_meeting_display_threshold	2.0		False	False	12	1.0	12	1.0	3	0.25	True	True	coiled-coil-helix-coiled-coil-helix domain containing 10	mixed	10	15	3	1	1	1
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	ELOC	all_direct_outgoing	1.0		False	True	12	1.0	0	0.0	3	0.25	False	False	elongin C	mixed	2	10	1	2	1	1
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	LAMTOR5	driver	0.0		False	False	12	1.0	0	0.0	3	0.25	False	False	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	mixed	10	10	1	9	1	9
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	MAGEH1	all_direct_outgoing	1.0		False	True	12	1.0	0	0.0	3	0.25	False	False	MAGE family member H1	mixed	4	9	2	2	1	1
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	MRPL4	query_hit_meeting_display_threshold	3.0		False	False	6	0.5	5	0.4166666666666667	3	0.25	True	True	mitochondrial ribosomal protein L4	mixed	3	5	2	3	1	0
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	MRPS36	all_direct_outgoing	1.0		False	True	0	0.0	0	0.0	3	0.25	False	False		mixed	3	4	1	0	1	0
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	NDUFA6	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	11	0.9166666666666666	7	0.5833333333333334	3	0.25	True	True	NADH:ubiquinone oxidoreductase subunit A6	mixed	3	5	1	0	1	0
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	NDUFB6	query_hit_meeting_display_threshold	3.0		False	False	6	0.5	5	0.4166666666666667	3	0.25	True	True	NADH:ubiquinone oxidoreductase subunit B6	down_only	0	6	2	0	1	0
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	POMP	shortest_path_connector	2.0		False	False	12	1.0	0	0.0	3	0.25	False	False	proteasome maturation protein	mixed	7	9	2	4	1	1
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	POP7	all_direct_outgoing	1.0		False	True	12	1.0	0	0.0	3	0.25	False	False	POP7 ribonuclease P/MRP subunit	mixed	7	8	2	2	1	1
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	TMEM11	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	12	1.0	5	0.4166666666666667	3	0.25	True	True	transmembrane protein 11	mixed	2	6	2	3	1	1
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	TMEM126A	query_hit_meeting_display_threshold	2.0		False	False	11	0.9166666666666666	3	0.25	3	0.25	True	True	transmembrane protein 126A	mixed	4	3	2	1	1	0
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	UQCR10	upstream_context|all_direct_incoming		1.0	True	False	0	0.0	0	0.0	3	0.25	False	True	ubiquinol-cytochrome c reductase, complex III subunit X	mixed	6	12	0	7	0	1
phase18_lamtor5_excitatory_consensus_v1	Excitatory_neurons	UQCRHL	all_direct_outgoing	1.0		False	True	11	0.9166666666666666	0	0.0	3	0.25	False	False	ubiquinol-cytochrome c reductase hinge protein like	mixed	6	7	1	0	1	0
