schema_version	figure_family	check_id	blocking	passed	observed	expected	detail
phase15_figure_package_v1	score_reference_reliability	plotted_data_nonempty	TRUE	TRUE	2804	>0	
phase15_figure_package_v1	score_reference_reliability	vector_and_raster_outputs_present	TRUE	TRUE	.pdf|.png|.svg	.pdf|.png|.svg	
phase15_figure_package_v1	score_reference_reliability	outputs_nonempty	TRUE	TRUE	3	3	
phase15_figure_package_v1	score_reference_reliability	colorblind_safe_palette_configured	TRUE	TRUE	PuOr_r, viridis-derived sequential maps, Okabe-Ito categories	colorblind-safe palettes	
phase15_figure_package_v1	score_reference_reliability	grayscale_redundant_encoding_configured	TRUE	TRUE	status symbols, borders, hatching, and labels supplement color	color is not the sole status encoding	
phase15_figure_package_v1	score_reference_reliability	minimum_text_size_configured	TRUE	TRUE	7 pt	>=7 pt	
phase15_figure_package_v1	score_reference_reliability	no_significance_stars	TRUE	TRUE	none	none	Exact q values and statuses are used.
phase15_figure_package_v1	score_reference_reliability	reliability_pair_count	TRUE	TRUE	14	14	
phase15_figure_package_v1	score_reference_reliability	all_pc1_reliable	TRUE	TRUE	14	14	
phase15_figure_package_v1	score_reference_reliability	assignment_zero_predictions	TRUE	TRUE	944	>0	Held-out NCI only.
phase15_figure_package_v1	score_reference_reliability	donor_residual_count	TRUE	TRUE	1825	1825	
phase15_figure_package_v1	score_reference_reliability	production_status_hash_recorded	TRUE	TRUE	1b032bde2e11ee20fb7e64e3afc416284ba4771451bb4a84c93d560c3619fc01	1b032bde2e11ee20fb7e64e3afc416284ba4771451bb4a84c93d560c3619fc01	
