schema_version	source_id	path	bytes	sha256	provenance
phase19b_sex_apoe_kda_combo_v2_magma_sources	clinical_ad_bellenguez2022	data/reference/phase19_genetic_support/tier2/gwas_catalog/GCST90027158_buildGRCh38.tsv.gz	755201909	013134d22a2a0c2dd0cb683192d0c109da1aec83ba54d94a837a8b71bcbc4a1f	fresh_phase19b_magma_run
phase19b_sex_apoe_kda_combo_v2_magma_sources	three_csf_full_genome_magma_results	results/minerva_production/19_genetic_support_endophenotype_gwas_qtl_extension (deprecated)/endophenotype_magma_results.tsv	12225648	9f21a94f2eee60873133583270b708df403cc7340c8a6e93d44794bad54fd02e	checksum_validated_historical_result_reuse
phase19b_sex_apoe_kda_combo_v2_magma_sources	magma_v1.10_mac	external_tools/magma_v1.10_mac/magma	2987064	fc433cb76b416b64aed5dc841e682d430dd5ffeae2afb2c26b75046a1b2f94ea	official_magma_distribution
phase19b_sex_apoe_kda_combo_v2_magma_sources	g1000_eur	external_tools/magma_reference/official/g1000_eur.bed/.bim/.fam	3514535356	see_individual_files_in_working_input_inventory	official_magma_distribution
