schema_version	broad_network	current_symbol	case_order	case_id	is_core_mito	mitocarta_canonical_symbol	mito_tier	genome_origin	is_mtdna_gene	extended_reference_member	mapping_status	phase03_mitocarta_match_type	eligible_run_count	usable_run_count	explicit_run_count	implicit_run_count	missing_run_count	coverage_numerator	coverage_denominator	coverage_fraction	coverage_pass	conservative_support_count	conservative_support_pass	recurrence_fraction	supporting_fine_cell_type_count	supporting_fine_cell_types	supporting_group_count	supporting_groups	supporting_direction_count	supporting_directions	median_support_fold_enrichment	maximum_support_fold_enrichment	aggregate_acat_p	aggregate_acat_q	aggregate_q_pass	missing_as_one_acat_p	missing_as_one_acat_q	mean_log_p_score	terminal_candidate_status	within_case_rank	top5_display	stability_assessable_repetitions	stability_nominal_fraction	stability_q_fraction	stability_candidate_fraction	stability_worst_rank	evidence_tier
mitochondrial_key_driver_selection_v1_candidates_v1	Astrocytes	MT-CO2	1	case1_core_mito_in_query	TRUE	MT-CO2	core_mito_protein	mtDNA	TRUE	FALSE	mapped_ensembl	canonical	4	4	4	0	0	4	4	1.0	TRUE	4	TRUE	1.0	3	Ast CHI3L1|Ast DPP10|Ast GRM3	3	M_e2|M_e33|M_e4	2	AD_down_mito|AD_up_mito	82.965	297.96	1.0124977983537836e-16	6.278498847591812e-13	TRUE	1.0124977983537836e-16	6.278498847591812e-13	9.975181157754687	driver_candidate	1	TRUE	3	1.0	1.0	1.0	1	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_candidates_v1	Astrocytes	MT-CO3	1	case1_core_mito_in_query	TRUE	MT-CO3	core_mito_protein	mtDNA	TRUE	FALSE	mapped_ensembl	canonical	4	4	4	0	0	4	4	1.0	TRUE	4	TRUE	1.0	3	Ast CHI3L1|Ast DPP10|Ast GRM3	3	F_e4|M_e2|M_e4	2	AD_down_mito|AD_up_mito	94.69999999999999	149.45	1.0443914055559916e-12	3.238135552926352e-09	TRUE	1.0443914055559916e-12	3.238135552926352e-09	8.096519041366214	driver_candidate	2	TRUE	3	1.0	1.0	1.0	2	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_candidates_v1	Astrocytes	MT-ATP6	1	case1_core_mito_in_query	TRUE	MT-ATP6	core_mito_protein	mtDNA	TRUE	TRUE	mapped_ensembl	canonical	4	4	4	0	0	4	4	1.0	TRUE	2	TRUE	0.5	2	Ast DPP10|Ast GRM3	2	M_e2|M_e4	2	AD_down_mito|AD_up_mito	106.00999999999999	159.41	1.0169177434884658e-08	1.5764767318429943e-05	TRUE	1.0169177434884658e-08	1.5764767318429943e-05	5.195279396851439	driver_candidate	3	TRUE	3	1.0	1.0	1.0	5	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_candidates_v1	Astrocytes	COX7C	1	case1_core_mito_in_query	TRUE	COX7C	core_mito_protein	nuclear	FALSE	FALSE	mapped_ensembl	canonical	3	3	3	0	0	3	3	1.0	TRUE	2	TRUE	0.6666666666666666	1	Ast GRM3	2	F_e2|M_e2	2	AD_down_mito|AD_up_mito	16.285	16.63	6.322648291703118e-08	6.534457009475172e-05	TRUE	6.322648291703118e-08	6.534457009475172e-05	5.00307286074698	driver_candidate	4	TRUE	3	1.0	0.6666666666666666	0.6666666666666666	4	tier2_localized_or_unstable
mitochondrial_key_driver_selection_v1_candidates_v1	Astrocytes	COX4I1	1	case1_core_mito_in_query	TRUE	COX4I1	core_mito_protein	nuclear	FALSE	FALSE	mapped_ensembl	canonical	4	4	4	0	0	4	4	1.0	TRUE	2	TRUE	0.5	1	Ast GRM3	2	F_e2|M_e2	2	AD_down_mito|AD_up_mito	47.09	64.95	7.185238476233081e-07	0.0006365094827303048	TRUE	7.185238476233081e-07	0.0006365094827303048	2.9893167258623254	driver_candidate	5	TRUE	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	5	tier2_localized_or_unstable
mitochondrial_key_driver_selection_v1_candidates_v1	Astrocytes	RPL13	1	case1_core_mito_in_query	TRUE	MRPL13	core_mito_protein	nuclear	FALSE	FALSE	mapped_ensembl	unique_synonym	7	7	7	0	0	7	7	1.0	TRUE	2	TRUE	0.2857142857142857	1	Ast GRM3	2	F_e2|M_e2	2	AD_down_mito|AD_up_mito	14.975	17.22	2.4092809812294668e-05	0.01244995947050327	TRUE	2.4092809812294668e-05	0.01244995947050327	1.8166013489931034	driver_candidate	6	FALSE	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	6	tier2_localized_or_unstable
mitochondrial_key_driver_selection_v1_candidates_v1	Astrocytes	MT-CO2	2	case2_core_mito_not_in_query	TRUE	MT-CO2	core_mito_protein	mtDNA	TRUE	FALSE	mapped_ensembl	canonical	17	17	4	13	0	17	17	1.0	TRUE	2	TRUE	0.11764705882352941	2	Ast CHI3L1|Ast DPP10	2	F_e4|M_e2	1	AD_down_mito	61.785	74.49	8.054004259178892e-10	1.664762680372277e-06	TRUE	8.054004259178892e-10	1.664762680372277e-06	1.1316148612570813	driver_candidate	1	TRUE	3	1.0	1.0	1.0	2	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_candidates_v1	Astrocytes	RPL13	2	case2_core_mito_not_in_query	TRUE	MRPL13	core_mito_protein	nuclear	FALSE	FALSE	mapped_ensembl	unique_synonym	14	14	5	9	0	14	14	1.0	TRUE	1	TRUE	0.07142857142857142	1	Ast DPP10	1	F_e4	1	AD_down_mito	40.66	40.66	3.091812175732162e-05	0.014747944078242415	TRUE	3.091812175732162e-05	0.014747944078242415	0.5683481111612948	driver_candidate	2	TRUE	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	2	tier2_localized_or_unstable
mitochondrial_key_driver_selection_v1_candidates_v1	Astrocytes	RPL11	3	case3_not_core_mito	FALSE	NA	non_mito	nuclear	FALSE	FALSE	mapped_ensembl	unmatched	21	20	13	7	1	20	21	0.9523809523809523	TRUE	3	TRUE	0.15	2	Ast CHI3L1|Ast GRM3	3	F_e2|M_e2|M_e4	2	AD_down_mito|AD_up_mito	30.72	33.52	1.7776559635829543e-08	2.20464892603558e-05	TRUE	1.8665387654938577e-08	2.314881376965482e-05	1.3746049487425158	driver_candidate	1	TRUE	3	1.0	0.6666666666666666	0.6666666666666666	1	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_candidates_v1	Astrocytes	RPLP1	3	case3_not_core_mito	FALSE	NA	non_mito	nuclear	FALSE	FALSE	mapped_ensembl	unmatched	21	21	12	9	0	21	21	1.0	TRUE	3	TRUE	0.14285714285714285	2	Ast CHI3L1|Ast GRM3	3	F_e2|M_e2|M_e4	2	AD_down_mito|AD_up_mito	22.97	27.48	2.4594995685497456e-06	0.0019064196030721217	TRUE	2.4594995685497456e-06	0.0019064196030721217	0.923683435638276	driver_candidate	2	TRUE	3	1.0	0.6666666666666666	0.6666666666666666	2	tier1_recurrent_stable
