schema_version	broad_network	current_symbol	case_id	out_degree	undirected_degree	requested_draws	available_match_pool	completed_draws	observed_aggregate_acat_p	degree_matched_empirical_tail_p	random_seed	blocking_gate
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	MT-ATP6	case1_core_mito_in_query	1	2	100	773	100	5.282192676935891e-06	0.019801980198019802	101488598757528	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	ATP5PF	case1_core_mito_in_query	4	6	100	773	100	6.9430910571458105e-06	0.019801980198019802	71495104930613	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	APEX1	case1_core_mito_in_query	2	3	100	773	100	7.621790256421682e-06	0.019801980198019802	278644289958316	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	BPHL	case1_core_mito_in_query	7	8	100	773	100	1.9461782041340827e-05	0.019801980198019802	187437366450626	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	ATP5F1B	case1_core_mito_in_query	5	6	100	773	100	0.00012712517420375926	0.0594059405940594	76117546709350	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	UQCRH	case1_core_mito_in_query	6	7	100	773	100	0.0001330040657021758	0.019801980198019802	118442583091228	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	TIMM8B	case1_core_mito_in_query	8	9	100	773	100	0.00016640503534665288	0.0297029702970297	163334616071668	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	ATP5F1D	case1_core_mito_in_query	5	6	100	773	100	0.0001861071039931483	0.039603960396039604	178824432609225	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	NDUFV1	case1_core_mito_in_query	8	9	100	773	100	0.00024937565441322617	0.07920792079207921	28933700294646	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	MT-CO2	case2_core_mito_not_in_query	3	3	100	715	100	2.2944062779896115e-11	0.009900990099009901	8976351652251	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	MT-CYB	case2_core_mito_not_in_query	1	2	100	715	100	5.979508051105632e-07	0.009900990099009901	276833864770710	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	COX4I1	case2_core_mito_not_in_query	10	10	100	715	100	3.4539362373240593e-06	0.019801980198019802	212114789672892	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	MT-ND4L	case2_core_mito_not_in_query	4	5	100	715	100	3.803704624230536e-06	0.009900990099009901	108889439036158	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	UQCR10	case2_core_mito_not_in_query	7	7	100	715	100	7.070776839242077e-06	0.009900990099009901	238383135583685	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	COX6B1	case2_core_mito_not_in_query	6	6	100	715	100	2.1176481772286153e-05	0.019801980198019802	41610053184728	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	NDUFB10	case2_core_mito_not_in_query	8	9	100	715	100	2.5957405557093058e-05	0.0297029702970297	29139506055766	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	COX7B	case2_core_mito_not_in_query	4	4	100	715	100	4.926464484781625e-05	0.019801980198019802	33572484173632	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	MT-ATP6	case2_core_mito_not_in_query	1	2	100	715	100	9.525436168949546e-05	0.009900990099009901	31982832440392	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	RPL11	case3_not_core_mito	9	9	100	7764	100	6.503322187746793e-13	0.009900990099009901	215606547414097	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	RPS13	case3_not_core_mito	5	6	100	7764	100	3.810746310662914e-09	0.009900990099009901	149269675189054	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	SELENOW	case3_not_core_mito	7	8	100	7764	100	4.7430512286758335e-09	0.009900990099009901	129269281185462	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	LAMTOR5	case3_not_core_mito	9	10	100	7764	100	4.082987826979987e-06	0.019801980198019802	168129988640638	FALSE
