cell_type	release_id	method	mode	exploratory	donors	searches	nodes	edges	rimbanet_source_commit	config_path	config_sha256	path	bytes	sha256
Astrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6641	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Astrocytes/edge_support.tsv.gz	115269	9ccea15b817570924d0097dbb3ac7adb7cd6f91da673950a6e1af1e8dc6ef2e5
Astrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6641	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Astrocytes/gene_manifest.tsv	1614164	96f7a9bc54a10f451f80fdec4acf690c1aaf7a2ab588673215c6934e76959b34
Astrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6641	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Astrocytes/network_manifest.yml	1148	3ae28484cdc3ce8fce66ec278b79c4aa7d5f6f3fc04c92ab59ed4cb452b66c40
Astrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6641	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Astrocytes/network_qc.tsv	375	3795bd8031e281dcdae42591280e26084e7cf064d42cfc71b9da4e276e18e40c
Astrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6641	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Astrocytes/nodes.tsv	118705	d57f9a08009be7258173bdbf1156a4fa74ca624278a9de418106cf99b5de4fb7
Astrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6641	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Astrocytes/prior_summary.tsv	259	e208f92577c119d5d051c82b12935b9d784309cf13df3912c7bcacbce6ee9f30
Astrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6641	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Astrocytes/result.links3.links.txt	91444	68ed3d2f21d37752f6ab99a479e9ab81a8b66476fd3f9a71b9f64443f0d4eef1
Astrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6641	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Astrocytes/sample_manifest.tsv	10447	29cfa28a2bcf4da2d66a13604e1aab9104c89da2047da0b1d5c5b8d6a81edbc2
Excitatory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8478	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Excitatory_neurons/edge_support.tsv.gz	145082	a8c71ba3089f8f895905a5789a56151660943aebcc5ad23adad4f44e5711ffa8
Excitatory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8478	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Excitatory_neurons/gene_manifest.tsv	1621950	000982a7c54052da82c854a3017d0ea23d0812382ef47a0cf19c0316d409191c
