schema_version	network	gene	included_reason	directed_depth_from_cox7c	upstream_depth_to_cox7c	is_direct_incoming_neighbor	is_direct_outgoing_neighbor	supporting_neighborhood_occurrence_count	supporting_neighborhood_occurrence_fraction	query_hit_occurrence_count	query_hit_occurrence_fraction	query_hit_display_threshold_count	query_hit_display_threshold_fraction	is_query_hit_meeting_display_threshold	is_core_mitocarta	hgnc_name	phase08_deg_class	phase08_up_count	phase08_down_count	in_degree_full	out_degree_full	in_degree_display	out_degree_display
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	AC004540.1	all_direct_outgoing	1.0		False	True	6	1.0	0	0.0	1	0.16666666666666666	False	False		mixed	2	4	1	0	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	AC092329.3	all_direct_outgoing	1.0		False	True	2	0.3333333333333333	0	0.0	1	0.16666666666666666	False	False		not_deg	0	0	1	0	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	ATP5F1E	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	6	1.0	5	0.8333333333333334	1	0.16666666666666666	True	True	ATP synthase F1 subunit epsilon	mixed	1	9	2	0	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	ATP5IF1	query_hit_meeting_display_threshold	3.0		False	False	4	0.6666666666666666	1	0.16666666666666666	1	0.16666666666666666	True	True	ATP synthase inhibitory factor subunit 1	mixed	1	5	1	0	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	ATP5MD	all_direct_outgoing	1.0		False	True	0	0.0	0	0.0	1	0.16666666666666666	False	False		down_only	0	2	1	2	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	ATP5PF	query_hit_meeting_display_threshold	2.0		False	False	6	1.0	4	0.6666666666666666	1	0.16666666666666666	True	True	ATP synthase peripheral stalk subunit F6	down_only	0	7	2	8	1	5
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	COX6B1	query_hit_meeting_display_threshold	2.0		False	False	6	1.0	6	1.0	1	0.16666666666666666	True	True	cytochrome c oxidase subunit 6B1	mixed	1	8	2	4	1	1
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	COX7C	driver	0.0		False	False	6	1.0	0	0.0	1	0.16666666666666666	False	True	cytochrome c oxidase subunit 7C	mixed	1	10	1	15	1	15
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	DMAC2	query_hit_meeting_display_threshold	2.0		False	False	5	0.8333333333333334	1	0.16666666666666666	1	0.16666666666666666	True	True	distal membrane arm assembly component 2	down_only	0	1	1	0	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	ELOF1	all_direct_outgoing	1.0		False	True	6	1.0	0	0.0	1	0.16666666666666666	False	False	elongation factor 1	down_only	0	1	2	4	1	1
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	all_direct_outgoing	1.0		False	True	6	1.0	0	0.0	1	0.16666666666666666	False	False	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	mixed	1	3	1	9	1	2
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	MRPL50	query_hit_meeting_display_threshold	3.0		False	False	3	0.5	1	0.16666666666666666	1	0.16666666666666666	True	True	mitochondrial ribosomal protein L50	mixed	1	2	1	1	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	MRPS14	query_hit_meeting_display_threshold	3.0		False	False	3	0.5	1	0.16666666666666666	1	0.16666666666666666	True	True	mitochondrial ribosomal protein S14	down_only	0	3	1	1	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	NAA38	all_direct_outgoing	1.0		False	True	6	1.0	0	0.0	1	0.16666666666666666	False	False	N-alpha-acetyltransferase 38, NatC auxiliary subunit	down_only	0	3	1	0	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	NDUFA1	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	6	1.0	6	1.0	1	0.16666666666666666	True	True	NADH:ubiquinone oxidoreductase subunit A1	mixed	1	5	1	5	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	NDUFB2	query_hit_meeting_display_threshold	3.0		False	False	4	0.6666666666666666	2	0.3333333333333333	1	0.16666666666666666	True	True	NADH:ubiquinone oxidoreductase subunit B2	down_only	0	4	1	4	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	NDUFS3	query_hit_meeting_display_threshold	3.0		False	False	4	0.6666666666666666	1	0.16666666666666666	1	0.16666666666666666	True	True	NADH:ubiquinone oxidoreductase core subunit S3	down_only	0	4	2	2	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	PAICS	query_hit_meeting_display_threshold	2.0		False	False	6	1.0	1	0.16666666666666666	1	0.16666666666666666	True	True	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	down_only	0	1	1	0	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	PHF11	shortest_path_connector	2.0		False	False	6	1.0	0	0.0	1	0.16666666666666666	False	False	PHD finger protein 11	mixed	1	3	1	2	1	1
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	POLR2K	shortest_path_connector	2.0		False	False	5	0.8333333333333334	0	0.0	1	0.16666666666666666	False	False	RNA polymerase II, I and III subunit K	mixed	1	4	1	3	1	2
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	RAB11A	all_direct_outgoing	1.0		False	True	6	1.0	0	0.0	1	0.16666666666666666	False	False	RAB11A, member RAS oncogene family	down_only	0	6	3	6	2	2
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	RPLP1	upstream_context		2.0	False	False	0	0.0	0	0.0	1	0.16666666666666666	False	False	ribosomal protein lateral stalk subunit P1	mixed	2	10	1	6	0	1
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	RPS15	upstream_context|all_direct_incoming		1.0	True	False	0	0.0	0	0.0	1	0.16666666666666666	False	False	ribosomal protein S15	mixed	1	9	1	17	1	1
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	SEC62	all_direct_outgoing	1.0		False	True	6	1.0	0	0.0	1	0.16666666666666666	False	False	SEC62 preprotein translocation factor	mixed	2	4	1	2	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	SLC8B1	query_hit_meeting_display_threshold	3.0		False	False	3	0.5	1	0.16666666666666666	1	0.16666666666666666	True	True	solute carrier family 8 member B1	mixed	2	2	1	0	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	SOD1	query_hit_meeting_display_threshold	3.0		False	False	4	0.6666666666666666	3	0.5	1	0.16666666666666666	True	True	superoxide dismutase 1	mixed	1	5	2	6	1	0
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	SRP14	shortest_path_connector	2.0		False	False	6	1.0	0	0.0	1	0.16666666666666666	False	False	signal recognition particle 14	mixed	3	4	2	15	2	1
