schema_version	network	gene	pathway	pathway_code	pathway_display_label	pathway_color	pathway_url	pathway_background_gene_count	display_overlap_gene_count	raw_hypergeometric_p	bh_fdr	fdr_significant_0_05
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	ATP5F1E	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	81	9	3.5823914027358045e-11	6.111559733067283e-08	True
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	ATP5IF1	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	81	9	3.5823914027358045e-11	6.111559733067283e-08	True
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	ATP5PF	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	81	9	3.5823914027358045e-11	6.111559733067283e-08	True
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	COX6B1	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	81	9	3.5823914027358045e-11	6.111559733067283e-08	True
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	COX7C	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	81	9	3.5823914027358045e-11	6.111559733067283e-08	True
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	NDUFA1	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	81	9	3.5823914027358045e-11	6.111559733067283e-08	True
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	NDUFB2	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	81	9	3.5823914027358045e-11	6.111559733067283e-08	True
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	NDUFS3	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	81	9	3.5823914027358045e-11	6.111559733067283e-08	True
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	UQCR10	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	81	9	3.5823914027358045e-11	6.111559733067283e-08	True
phase18_cox7c_inhibitory_consensus_v1	Inhibitory_neurons	DMAC2	REACTOME_COMPLEX_I_BIOGENESIS	I	Mitochondrial complex I biogenesis	#009E73	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_COMPLEX_I_BIOGENESIS	57	4	0.00010491011942708409	0.014914721978550455	True
