schema_version	dataset_id	phenotype	context	genome_build	ancestry	access	eligibility	source_id	version	role
human_genetic_support_tier2_coloc_v1	NG00184_eqtl_finemapping_manifest	molecular QTL/reference	brain bulk or single nucleus	GRCh38	source_reported	public	verified_local_source	NG00184.v1	open_alternative_2026_08_v1	immutable eQTL fine-mapping child manifest
human_genetic_support_tier2_coloc_v1	NG00184_eqtl_finemapping_all	molecular QTL/reference	brain bulk or single nucleus	GRCh38	source_reported	public	verified_local_source	NG00184.v1	open_alternative_2026_08_v1	released bulk-brain eQTL fine-mapping rows
human_genetic_support_tier2_coloc_v1	NG00184_sqtl_finemapping_manifest	molecular QTL/reference	brain bulk or single nucleus	GRCh38	source_reported	public	verified_local_source	NG00184.v1	open_alternative_2026_08_v1	immutable sQTL fine-mapping child manifest
human_genetic_support_tier2_coloc_v1	NG00184_sqtl_finemapping_all	molecular QTL/reference	brain bulk or single nucleus	GRCh38	source_reported	public	verified_local_source	NG00184.v1	open_alternative_2026_08_v1	released bulk-brain sQTL fine-mapping rows
human_genetic_support_tier2_coloc_v1	NG00184_snuc_eqtl_finemapping_manifest	molecular QTL/reference	brain bulk or single nucleus	GRCh38	source_reported	public	verified_local_source	NG00184.v1	open_alternative_2026_08_v1	immutable single-nucleus eQTL fine-mapping child manifest
human_genetic_support_tier2_coloc_v1	NG00184_snuc_eqtl_finemapping_all	molecular QTL/reference	brain bulk or single nucleus	GRCh38	source_reported	public	verified_local_source	NG00184.v1	open_alternative_2026_08_v1	released single-nucleus eQTL fine-mapping rows
human_genetic_support_tier2_coloc_v1	NG00184_metadata_json	reference	brain bulk or single nucleus	GRCh38	source_reported	public	verified_local_source	NG00184.v1	open_alternative_2026_08_v1	QTL context and model metadata
human_genetic_support_tier2_coloc_v1	NG00184_metadata_tsv	reference	brain bulk or single nucleus	GRCh38	source_reported	public	verified_local_source	NG00184.v1	open_alternative_2026_08_v1	QTL context and model metadata
human_genetic_support_tier2_coloc_v1	NG00184_combined_manifest	reference	brain bulk or single nucleus	GRCh38	source_reported	public	verified_local_source	NG00184.v1	open_alternative_2026_08_v1	immutable NG00184 release manifest
human_genetic_support_tier2_coloc_v1	Bellenguez2022_checksum	reference	source_reported	GRCh38	source_reported	public	verified_local_source	GCST90027158	open_alternative_2026_08_v1	official GWAS Catalog source checksum
human_genetic_support_tier2_coloc_v1	Bellenguez2022_AD_GWAS	late-onset Alzheimer disease	source_reported	GRCh38	European-dominant meta-analysis	public	verified_local_source	GCST90027158	open_alternative_2026_08_v1	full primary AD GWAS summary statistics
human_genetic_support_tier2_coloc_v1	ADSP_R5_NHW_LD	reference	source_reported	GRCh38	non-Hispanic White	public	registered_deferred_by_gate	NG00067.v20	open_alternative_2026_08_v1	primary ancestry-matched LD
human_genetic_support_tier2_coloc_v1	EQTL_Catalogue	molecular QTL/reference	source_reported	GRCh38	source_reported	public	registered_public_source	current_at_2026-08-21	open_alternative_2026_08_v1	dense regional QTL and matching SuSiE/LBF fallback
human_genetic_support_tier2_coloc_v1	Thousand_Genomes_30x_EUR	reference	source_reported	GRCh38	source_reported	public	registered_deferred_by_gate	20220422_3202_phased	open_alternative_2026_08_v1	public GRCh38 European LD fallback
human_genetic_support_tier2_coloc_v1	AD_GWAS_finemapping	AD/xQTL exact-source sensitivity	source_reported	GRCh38	source_reported	Synapse READ ACL required	optional_exact_source_sensitivity_unavailable	syn69670625	f6f63fc319a417213cf1e86ec0eb14fcb53d2427	AD GWAS fine-mapping models/results
human_genetic_support_tier2_coloc_v1	AD_GWAS_coloc_results	AD/xQTL exact-source sensitivity	source_reported	GRCh38	source_reported	Synapse READ ACL required	optional_exact_source_sensitivity_unavailable	syn69696846	f6f63fc319a417213cf1e86ec0eb14fcb53d2427	AD GWAS colocalization results
human_genetic_support_tier2_coloc_v1	AD_GWAS_coloc_models	AD/xQTL exact-source sensitivity	source_reported	GRCh38	source_reported	Synapse READ ACL required	optional_exact_source_sensitivity_unavailable	syn69865824	f6f63fc319a417213cf1e86ec0eb14fcb53d2427	AD GWAS colocalization models
human_genetic_support_tier2_coloc_v1	AD_xQTL_coloc_results	AD/xQTL exact-source sensitivity	source_reported	GRCh38	source_reported	Synapse READ ACL required	optional_exact_source_sensitivity_unavailable	syn69865816	f6f63fc319a417213cf1e86ec0eb14fcb53d2427	AD-xQTL colocalization results
human_genetic_support_tier2_coloc_v1	AD_xQTL_coloc_models	AD/xQTL exact-source sensitivity	source_reported	GRCh38	source_reported	Synapse READ ACL required	optional_exact_source_sensitivity_unavailable	syn69670630	f6f63fc319a417213cf1e86ec0eb14fcb53d2427	AD-xQTL colocalization models
human_genetic_support_tier2_coloc_v1	xQTL_finemapping_models	AD/xQTL exact-source sensitivity	source_reported	GRCh38	source_reported	Synapse READ ACL required	optional_exact_source_sensitivity_unavailable	syn69670592	f6f63fc319a417213cf1e86ec0eb14fcb53d2427	molecular-QTL fine-mapping models
human_genetic_support_tier2_coloc_v1	raw_xQTL_statistics	AD/xQTL exact-source sensitivity	source_reported	GRCh38	source_reported	Synapse READ ACL required	optional_exact_source_sensitivity_unavailable	syn69670632	f6f63fc319a417213cf1e86ec0eb14fcb53d2427	full molecular-QTL summary statistics
human_genetic_support_tier2_coloc_v1	ADSP_EUR_LD	AD/xQTL exact-source sensitivity	source_reported	GRCh38	source_reported	Synapse READ ACL required	optional_exact_source_sensitivity_unavailable	syn69670652	f6f63fc319a417213cf1e86ec0eb14fcb53d2427	European-ancestry LD matrices
