schema_version	comparison_id	route_id	candidate_id	gene	broad_network	case_id	qtl_type	phenotype_tier	requested_context	selected_context_match	qtl_finemapping_rows	qtl_cs95_rows	qtl_max_pip	action	reason	decision_frozen_before_result
human_genetic_support_tier2_coloc_v1	T2R019	T2R019	GS010	FTL	OPCs	non_mt_driver	eQTL	primary_AD	OPCs	exact	2	0	0.0463359929629653	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R020	T2R020	GS010	FTL	OPCs	non_mt_driver	sQTL	primary_AD	OPCs	bulk_brain_fallback	24	0	0.866333716555631	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R021	T2R021	GS011	LAMTOR5	Excitatory_neurons	non_mt_driver	eQTL	primary_AD	Excitatory_neurons	exact	14	0	0.712729330627408	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R022	T2R022	GS011	LAMTOR5	Excitatory_neurons	non_mt_driver	sQTL	primary_AD	Excitatory_neurons	not_measured_or_no_released_finemapping	0	0	NA	terminal_not_assessable	no_released_candidate_QTL_finemapping_and_full_regional_QTL_unavailable	TRUE
human_genetic_support_tier2_coloc_v1	T2R023	T2R023	GS012	LAMTOR5	Inhibitory_neurons	non_mt_driver	eQTL	primary_AD	Inhibitory_neurons	exact	14	0	0.345572786493606	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R024	T2R024	GS012	LAMTOR5	Inhibitory_neurons	non_mt_driver	sQTL	primary_AD	Inhibitory_neurons	not_measured_or_no_released_finemapping	0	0	NA	terminal_not_assessable	no_released_candidate_QTL_finemapping_and_full_regional_QTL_unavailable	TRUE
human_genetic_support_tier2_coloc_v1	T2R025	T2R025	GS013	LAPTM4A	Astrocytes	non_mt_driver	eQTL	primary_AD	Astrocytes	exact	5	0	0.0584112650756959	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R026	T2R026	GS013	LAPTM4A	Astrocytes	non_mt_driver	sQTL	primary_AD	Astrocytes	bulk_brain_fallback	154	85	0.923007862056035	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R027	T2R027	GS034	NCOA1	OPCs	non_mt_driver	eQTL	primary_AD	OPCs	exact	18	6	0.698594445951619	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R028	T2R028	GS034	NCOA1	OPCs	non_mt_driver	sQTL	primary_AD	OPCs	bulk_brain_fallback	2079	305	0.999989000865101	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R029	T2R029	GS035	RPL11	Astrocytes	non_mt_driver	eQTL	primary_AD	Astrocytes	bulk_brain_fallback	208	104	0.93890535166986	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R030	T2R030	GS035	RPL11	Astrocytes	non_mt_driver	sQTL	primary_AD	Astrocytes	bulk_brain_fallback	24	0	0.3875816278342	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R031	T2R031	GS036	RPL11	Excitatory_neurons	non_mt_driver	eQTL	primary_AD	Excitatory_neurons	exact	13	0	0.146557138499193	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R032	T2R032	GS036	RPL11	Excitatory_neurons	non_mt_driver	sQTL	primary_AD	Excitatory_neurons	bulk_brain_fallback	24	0	0.3875816278342	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R033	T2R033	GS037	RPL11	Microglia	non_mt_driver	eQTL	primary_AD	Microglia	exact	115	68	0.93890535166986	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R034	T2R034	GS037	RPL11	Microglia	non_mt_driver	sQTL	primary_AD	Microglia	bulk_brain_fallback	24	0	0.3875816278342	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R035	T2R035	GS038	RPL11	Oligodendrocytes	non_mt_driver	eQTL	primary_AD	Oligodendrocytes	exact	4	0	0.791777046473639	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R036	T2R036	GS038	RPL11	Oligodendrocytes	non_mt_driver	sQTL	primary_AD	Oligodendrocytes	bulk_brain_fallback	24	0	0.3875816278342	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R037	T2R037	GS039	RPL15	Astrocytes	non_mt_driver	eQTL	primary_AD	Astrocytes	exact	5	0	0.0358809267250715	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R038	T2R038	GS039	RPL15	Astrocytes	non_mt_driver	sQTL	primary_AD	Astrocytes	bulk_brain_fallback	45	7	0.586925553332968	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R039	T2R039	GS040	RPL38	Inhibitory_neurons	non_mt_driver	eQTL	primary_AD	Inhibitory_neurons	exact	6	0	0.0817021058485907	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R040	T2R040	GS040	RPL38	Inhibitory_neurons	non_mt_driver	sQTL	primary_AD	Inhibitory_neurons	bulk_brain_fallback	84	2	0.498305618935441	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R041	T2R041	GS041	RPLP1	Astrocytes	non_mt_driver	eQTL	primary_AD	Astrocytes	bulk_brain_fallback	229	0	0.486557581941617	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R042	T2R042	GS041	RPLP1	Astrocytes	non_mt_driver	sQTL	primary_AD	Astrocytes	bulk_brain_fallback	47	5	0.999999999990953	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R043	T2R043	GS042	RPLP1	Inhibitory_neurons	non_mt_driver	eQTL	primary_AD	Inhibitory_neurons	exact	12	0	0.267718404476816	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R044	T2R044	GS042	RPLP1	Inhibitory_neurons	non_mt_driver	sQTL	primary_AD	Inhibitory_neurons	bulk_brain_fallback	47	5	0.999999999990953	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R045	T2R045	GS043	RPS13	Excitatory_neurons	non_mt_driver	eQTL	primary_AD	Excitatory_neurons	exact	3	0	0.0835649378487138	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R046	T2R046	GS043	RPS13	Excitatory_neurons	non_mt_driver	sQTL	primary_AD	Excitatory_neurons	bulk_brain_fallback	5	0	0.0787115722173299	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R047	T2R047	GS044	RPS15	Inhibitory_neurons	non_mt_driver	eQTL	primary_AD	Inhibitory_neurons	exact	19	0	0.119668275306465	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R048	T2R048	GS044	RPS15	Inhibitory_neurons	non_mt_driver	sQTL	primary_AD	Inhibitory_neurons	bulk_brain_fallback	181	26	1	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R049	T2R049	GS045	RPS15	OPCs	non_mt_driver	eQTL	primary_AD	OPCs	exact	26	0	0.0736881131864511	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R050	T2R050	GS045	RPS15	OPCs	non_mt_driver	sQTL	primary_AD	OPCs	bulk_brain_fallback	181	26	1	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R051	T2R051	GS046	SELENOW	Excitatory_neurons	non_mt_driver	eQTL	primary_AD	Excitatory_neurons	exact	20	17	0.22941352586347	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R052	T2R052	GS046	SELENOW	Excitatory_neurons	non_mt_driver	sQTL	primary_AD	Excitatory_neurons	bulk_brain_fallback	383	23	0.999990448163491	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R053	T2R053	GS047	UQCR10	Excitatory_neurons	mt_driver	eQTL	primary_AD	Excitatory_neurons	bulk_brain_fallback	232	136	0.105411694137622	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R054	T2R054	GS047	UQCR10	Excitatory_neurons	mt_driver	sQTL	primary_AD	Excitatory_neurons	bulk_brain_fallback	209	161	0.95614033898531	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
