schema_version	analysis_id	manifest_row	category_id	contrast_id	broad_cell_type	group_id	sex	apoe_group	source_terminal_status	source_message	donors_ad	donors_nci	up_eligibility_status	up_effective_query_genes	up_terminal_status	up_relaxed_candidates	down_eligibility_status	down_effective_query_genes	down_terminal_status	down_relaxed_candidates	eligible_direction_count	completed_direction_count	failed_direction_count	relaxed_candidate_rows	category_status
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	1	Astrocytes::F_e2	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	Female	e2	validated_complete		7	17	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	2	Astrocytes::F_e33	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	Female	e33	validated_complete		37	45	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	effective_query_empty_after_background	0	skipped_effective_query_empty_after_background	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	3	Astrocytes::F_e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	validated_complete		26	11	effective_query_below_minimum	2	skipped_effective_query_below_minimum	0	eligible	13	completed_significant	2	1	1	0	2	completed_with_candidate
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	4	Astrocytes::M_e2	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	Male	e2	validated_complete		7	6	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	5	Astrocytes::M_e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	validated_complete		28	53	effective_query_empty_after_background	0	skipped_effective_query_empty_after_background	0	eligible	3	completed_no_significant	0	1	1	0	0	completed_no_selected_candidate
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	6	Astrocytes::M_e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	validated_complete		25	10	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	7	Excitatory_neurons::F_e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	validated_complete		8	17	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	8	Excitatory_neurons::F_e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	validated_complete		37	45	effective_query_below_minimum	2	skipped_effective_query_below_minimum	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	9	Excitatory_neurons::F_e4	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	Female	e4	validated_complete		26	11	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	10	Excitatory_neurons::M_e2	Excitatory_neurons::AD_vs_NCI__Male__e2	Excitatory_neurons	M_e2	Male	e2	validated_complete		7	6	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_empty_after_background	0	skipped_effective_query_empty_after_background	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	11	Excitatory_neurons::M_e33	Excitatory_neurons::AD_vs_NCI__Male__e33	Excitatory_neurons	M_e33	Male	e33	validated_complete		28	53	effective_query_below_minimum	2	skipped_effective_query_below_minimum	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	12	Excitatory_neurons::M_e4	Excitatory_neurons::AD_vs_NCI__Male__e4	Excitatory_neurons	M_e4	Male	e4	validated_complete		27	10	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	13	Inhibitory_neurons::F_e2	Inhibitory_neurons::AD_vs_NCI__Female__e2	Inhibitory_neurons	F_e2	Female	e2	validated_complete		8	16	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	14	Inhibitory_neurons::F_e33	Inhibitory_neurons::AD_vs_NCI__Female__e33	Inhibitory_neurons	F_e33	Female	e33	validated_complete		37	45	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	15	Inhibitory_neurons::F_e4	Inhibitory_neurons::AD_vs_NCI__Female__e4	Inhibitory_neurons	F_e4	Female	e4	validated_complete		26	11	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	16	Inhibitory_neurons::M_e2	Inhibitory_neurons::AD_vs_NCI__Male__e2	Inhibitory_neurons	M_e2	Male	e2	validated_complete		7	6	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	17	Inhibitory_neurons::M_e33	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	Male	e33	validated_complete		27	53	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	18	Inhibitory_neurons::M_e4	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	Male	e4	validated_complete		27	10	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	19	Microglia::F_e2	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	Female	e2	validated_complete		7	14	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	20	Microglia::F_e33	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	Female	e33	validated_complete		37	45	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	21	Microglia::F_e4	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	Female	e4	validated_complete		26	11	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	22	Microglia::M_e2	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	Male	e2	validated_complete		7	5	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	23	Microglia::M_e33	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	Male	e33	validated_complete		25	51	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	24	Microglia::M_e4	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	Male	e4	validated_complete		26	9	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	25	OPCs::F_e2	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	Female	e2	validated_complete		8	15	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	26	OPCs::F_e33	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	Female	e33	validated_complete		37	45	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	27	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	validated_complete		24	11	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	eligible	4	completed_significant	10	1	1	0	10	completed_with_candidate
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	28	OPCs::M_e2	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	Male	e2	validated_complete		7	5	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	29	OPCs::M_e33	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	Male	e33	validated_complete		28	53	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	30	OPCs::M_e4	OPCs::AD_vs_NCI__Male__e4	OPCs	M_e4	Male	e4	validated_complete		25	10	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	31	Oligodendrocytes::F_e2	Oligodendrocytes::AD_vs_NCI__Female__e2	Oligodendrocytes	F_e2	Female	e2	validated_complete		8	17	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	32	Oligodendrocytes::F_e33	Oligodendrocytes::AD_vs_NCI__Female__e33	Oligodendrocytes	F_e33	Female	e33	validated_complete		37	45	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	33	Oligodendrocytes::F_e4	Oligodendrocytes::AD_vs_NCI__Female__e4	Oligodendrocytes	F_e4	Female	e4	validated_complete		26	11	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_empty_after_background	0	skipped_effective_query_empty_after_background	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	34	Oligodendrocytes::M_e2	Oligodendrocytes::AD_vs_NCI__Male__e2	Oligodendrocytes	M_e2	Male	e2	validated_complete		7	6	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	35	Oligodendrocytes::M_e33	Oligodendrocytes::AD_vs_NCI__Male__e33	Oligodendrocytes	M_e33	Male	e33	validated_complete		28	53	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	36	Oligodendrocytes::M_e4	Oligodendrocytes::AD_vs_NCI__Male__e4	Oligodendrocytes	M_e4	Male	e4	validated_complete		27	10	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	37	Vasculature_cells::F_e2	Vasculature_cells::AD_vs_NCI__Female__e2	Vasculature_cells	F_e2	Female	e2	not_estimable	fewer_than_5_eligible_donors_per_arm:AD=3,NCI=10	3	10	source_contrast_not_estimable	0	skipped_source_contrast_not_estimable	0	source_contrast_not_estimable	0	skipped_source_contrast_not_estimable	0	0	0	0	0	source_contrast_not_estimable
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	38	Vasculature_cells::F_e33	Vasculature_cells::AD_vs_NCI__Female__e33	Vasculature_cells	F_e33	Female	e33	validated_complete		29	35	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	39	Vasculature_cells::F_e4	Vasculature_cells::AD_vs_NCI__Female__e4	Vasculature_cells	F_e4	Female	e4	validated_complete		19	9	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	40	Vasculature_cells::M_e2	Vasculature_cells::AD_vs_NCI__Male__e2	Vasculature_cells	M_e2	Male	e2	not_estimable	fewer_than_5_eligible_donors_per_arm:AD=4,NCI=3	4	3	source_contrast_not_estimable	0	skipped_source_contrast_not_estimable	0	source_contrast_not_estimable	0	skipped_source_contrast_not_estimable	0	0	0	0	0	source_contrast_not_estimable
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	41	Vasculature_cells::M_e33	Vasculature_cells::AD_vs_NCI__Male__e33	Vasculature_cells	M_e33	Male	e33	validated_complete		20	39	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
phase20_broad_category_manifest_v1	phase20_sex_apoe_kda_broad_v1	42	Vasculature_cells::M_e4	Vasculature_cells::AD_vs_NCI__Male__e4	Vasculature_cells	M_e4	Male	e4	validated_complete		21	6	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction
