schema_version	analysis_id	query_tier	kda_run_id	category_id	contrast_id	broad_cell_type	group_id	sex	apoe_group	signature_direction	current_symbol	best_layer	query_overlap	neighborhood_size	non_neighborhood_size	signature_size	fold_enrichment	log_p_value	raw_p_value	original_run_q	is_signature	is_root_node	global_key_driver	overlap_items
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__Astrocytes__F_e4__AD_down_mito	Astrocytes::F_e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	AD_down_mito	ELL2	2	2	16	7812	13	75.27	-8.10657211770188	0.0003015507841420908	0.0273149928063964	FALSE	FALSE	FALSE	AHCYL1;PNPLA8
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__Astrocytes__F_e4__AD_down_mito	Astrocytes::F_e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	AD_down_mito	SLC44A3	3	2	17	7811	13	70.84	-7.98234617516563	0.0003414374100774065	0.0273149928063964	FALSE	FALSE	TRUE	AHCYL1;PNPLA8
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__OPCs__F_e4__AD_down_mito	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	AD_down_mito	AC092691.1	2	2	48	7769	4	81.43	-8.42273827152674	0.000219811923257772	0.00602284669725417	FALSE	FALSE	TRUE	GLDC;HAP1
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__OPCs__F_e4__AD_down_mito	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	AD_down_mito	CAMK2D	1	2	14	7803	4	279.18	-10.9342665261559	1.783644849291871e-05	0.00244359344349005	FALSE	FALSE	FALSE	GLDC;HAP1
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__OPCs__F_e4__AD_down_mito	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	AD_down_mito	FAM13A	3	2	99	7718	4	39.48	-6.97274784058202	0.0009370744337012026	0.0200257618419793	FALSE	FALSE	TRUE	GLDC;HAP1
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__OPCs__F_e4__AD_down_mito	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	AD_down_mito	FOXN3	3	2	29	7788	4	134.78	-9.44133590677783	7.937430102584871e-05	0.00271856981009705	FALSE	FALSE	TRUE	GLDC;HAP1
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__OPCs__F_e4__AD_down_mito	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	AD_down_mito	GLDC	1	1	6	7811	4	325.71	-5.7869620009555	0.003067286449382457	0.0466909159517262	TRUE	FALSE	FALSE	GLDC
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__OPCs__F_e4__AD_down_mito	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	AD_down_mito	ME3	1	1	2	7815	4	977.12	-6.88480651898092	0.001023214108735601	0.0200257618419793	TRUE	FALSE	TRUE	ME3
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__OPCs__F_e4__AD_down_mito	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	AD_down_mito	NCOA1	3	2	166	7651	4	23.55	-5.94644572794337	0.002615118863667496	0.044783910540196	FALSE	FALSE	TRUE	GLDC;HAP1
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__OPCs__F_e4__AD_down_mito	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	AD_down_mito	RAB3IP	2	2	27	7790	4	144.76	-9.58656093909166	6.864509078523933e-05	0.00271856981009705	FALSE	FALSE	FALSE	GLDC;HAP1
phase20_broad_stock_fkda_returns_v1	phase20_sex_apoe_kda_broad_v1	relaxed	broad__relaxed__OPCs__F_e4__AD_down_mito	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	AD_down_mito	RAPGEF4	2	2	20	7797	4	195.43	-10.1991268293353	3.720278889031844e-05	0.00254839103896183	FALSE	FALSE	FALSE	GLDC;HAP1
