schema_version	analysis_id	manifest_row	category_id	contrast_id	broad_cell_type	group_id	sex	apoe_group	source_terminal_status	source_message	donors_ad	donors_nci	up_eligibility_status	up_effective_query_genes	up_terminal_status	up_relaxed_candidates	down_eligibility_status	down_effective_query_genes	down_terminal_status	down_relaxed_candidates	eligible_direction_count	completed_direction_count	failed_direction_count	relaxed_candidate_rows	category_status	up_top5_genes	up_top5_non_mt_run_q	up_all_candidate_genes	up_all_non_mt_run_q	down_top5_genes	down_top5_non_mt_run_q	down_all_candidate_genes	down_all_non_mt_run_q	descriptive_union_genes	inferential_note
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	15	Inhibitory_neurons::F_e4	Inhibitory_neurons::AD_vs_NCI__Female__e4	Inhibitory_neurons	F_e4	Female	e4	validated_complete		26	11	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	16	Inhibitory_neurons::M_e2	Inhibitory_neurons::AD_vs_NCI__Male__e2	Inhibitory_neurons	M_e2	Male	e2	validated_complete		7	6	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	17	Inhibitory_neurons::M_e33	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	Male	e33	validated_complete		27	53	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	18	Inhibitory_neurons::M_e4	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	Male	e4	validated_complete		27	10	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	19	Microglia::F_e2	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	Female	e2	validated_complete		7	14	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	20	Microglia::F_e33	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	Female	e33	validated_complete		37	45	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	21	Microglia::F_e4	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	Female	e4	validated_complete		26	11	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	22	Microglia::M_e2	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	Male	e2	validated_complete		7	5	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	23	Microglia::M_e33	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	Male	e33	validated_complete		25	51	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	24	Microglia::M_e4	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	Male	e4	validated_complete		26	9	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	25	OPCs::F_e2	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	Female	e2	validated_complete		8	15	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	26	OPCs::F_e33	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	Female	e33	validated_complete		37	45	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	27	OPCs::F_e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	validated_complete		24	11	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	eligible	4	completed_significant	10	1	1	0	10	completed_with_candidate					CAMK2D;RAPGEF4;RAB3IP;FOXN3;AC092691.1	0.0023722476495581886;0.0024739854612061763;0.00263919550910947;0.00263919550910947;0.005846997158656735	CAMK2D;RAPGEF4;RAB3IP;FOXN3;AC092691.1;FAM13A;NCOA1;FGF14;GRID1;DENND1A	0.0023722476495581886;0.0024739854612061763;0.00263919550910947;0.00263919550910947;0.005846997158656735;0.02077181661370999;0.049687258409682425;0.07191070253272794;0.07191070253272794;0.07355856479958355	AC092691.1;CAMK2D;DENND1A;FAM13A;FGF14;FOXN3;GRID1;NCOA1;RAB3IP;RAPGEF4	directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	28	OPCs::M_e2	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	Male	e2	validated_complete		7	5	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	29	OPCs::M_e33	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	Male	e33	validated_complete		28	53	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	30	OPCs::M_e4	OPCs::AD_vs_NCI__Male__e4	OPCs	M_e4	Male	e4	validated_complete		25	10	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	31	Oligodendrocytes::F_e2	Oligodendrocytes::AD_vs_NCI__Female__e2	Oligodendrocytes	F_e2	Female	e2	validated_complete		8	17	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	32	Oligodendrocytes::F_e33	Oligodendrocytes::AD_vs_NCI__Female__e33	Oligodendrocytes	F_e33	Female	e33	validated_complete		37	45	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	33	Oligodendrocytes::F_e4	Oligodendrocytes::AD_vs_NCI__Female__e4	Oligodendrocytes	F_e4	Female	e4	validated_complete		26	11	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_empty_after_background	0	skipped_effective_query_empty_after_background	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	34	Oligodendrocytes::M_e2	Oligodendrocytes::AD_vs_NCI__Male__e2	Oligodendrocytes	M_e2	Male	e2	validated_complete		7	6	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	35	Oligodendrocytes::M_e33	Oligodendrocytes::AD_vs_NCI__Male__e33	Oligodendrocytes	M_e33	Male	e33	validated_complete		28	53	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	36	Oligodendrocytes::M_e4	Oligodendrocytes::AD_vs_NCI__Male__e4	Oligodendrocytes	M_e4	Male	e4	validated_complete		27	10	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	37	Vasculature_cells::F_e2	Vasculature_cells::AD_vs_NCI__Female__e2	Vasculature_cells	F_e2	Female	e2	not_estimable	fewer_than_5_eligible_donors_per_arm:AD=3,NCI=10	3	10	source_contrast_not_estimable	0	skipped_source_contrast_not_estimable	0	source_contrast_not_estimable	0	skipped_source_contrast_not_estimable	0	0	0	0	0	source_contrast_not_estimable										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	38	Vasculature_cells::F_e33	Vasculature_cells::AD_vs_NCI__Female__e33	Vasculature_cells	F_e33	Female	e33	validated_complete		29	35	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	39	Vasculature_cells::F_e4	Vasculature_cells::AD_vs_NCI__Female__e4	Vasculature_cells	F_e4	Female	e4	validated_complete		19	9	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	40	Vasculature_cells::M_e2	Vasculature_cells::AD_vs_NCI__Male__e2	Vasculature_cells	M_e2	Male	e2	not_estimable	fewer_than_5_eligible_donors_per_arm:AD=4,NCI=3	4	3	source_contrast_not_estimable	0	skipped_source_contrast_not_estimable	0	source_contrast_not_estimable	0	skipped_source_contrast_not_estimable	0	0	0	0	0	source_contrast_not_estimable										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	41	Vasculature_cells::M_e33	Vasculature_cells::AD_vs_NCI__Male__e33	Vasculature_cells	M_e33	Male	e33	validated_complete		20	39	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	42	Vasculature_cells::M_e4	Vasculature_cells::AD_vs_NCI__Male__e4	Vasculature_cells	M_e4	Male	e4	validated_complete		21	6	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
