schema_version	funnel_scope	query_tier	stage_order	stage	input_units	passing_units	removed_units	counting_unit
phase20_broad_filter_funnel_v1	directional_query_slots	strict	1	source_contrast_not_estimable	84	4	80	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	strict	2	no_provisional_query	84	66	18	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	strict	3	effective_query_empty_after_background	84	3	81	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	strict	4	effective_query_size_1_2	84	9	75	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	strict	5	effective_query_size_3_9	84	2	82	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	strict	6	effective_query_size_ge10	84	0	84	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	relaxed	1	source_contrast_not_estimable	84	4	80	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	relaxed	2	no_provisional_query	84	61	23	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	relaxed	3	effective_query_empty_after_background	84	4	80	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	relaxed	4	effective_query_size_1_2	84	12	72	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	relaxed	5	effective_query_size_3_9	84	2	82	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	relaxed	6	effective_query_size_ge10	84	1	83	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	exploratory	1	source_contrast_not_estimable	84	4	80	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	exploratory	2	no_provisional_query	84	54	30	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	exploratory	3	effective_query_empty_after_background	84	3	81	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	exploratory	4	effective_query_size_1_2	84	16	68	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	exploratory	5	effective_query_size_3_9	84	4	80	directional_kda_slot
phase20_broad_filter_funnel_v1	directional_query_slots	exploratory	6	effective_query_size_ge10	84	3	81	directional_kda_slot
phase20_broad_filter_funnel_v1	primary_candidate_selection	relaxed	1	all_explicit_candidates	377	377	0	gene_directional_run_test
phase20_broad_filter_funnel_v1	primary_candidate_selection	relaxed	2	non_core_mt_candidates	377	362	15	gene_directional_run_test
phase20_broad_filter_funnel_v1	primary_candidate_selection	relaxed	3	query_overlap_ge2	362	15	347	gene_directional_run_test
phase20_broad_filter_funnel_v1	primary_candidate_selection	relaxed	4	fold_enrichment_gt1	15	15	0	gene_directional_run_test
phase20_broad_filter_funnel_v1	primary_candidate_selection	relaxed	5	non_mt_run_q_le0_10	15	12	3	gene_directional_run_test
phase20_broad_filter_funnel_v1	independent_reference_gate	relaxed	1	non_mt_run_q_le0_05_with_overlap_and_fe	377	9	368	gene_directional_run_test
