schema_version	check_id	severity	observed	expected	passed
phase20_sex_apoe_non_mt_figure_checks_v1	plot_data_nonempty	error	50	>0	TRUE
phase20_sex_apoe_non_mt_figure_checks_v1	all_declared_files_exist	error	6	6	TRUE
phase20_sex_apoe_non_mt_figure_checks_v1	non_mt_scope	error	case3_not_core_mito	case3_not_core_mito	TRUE
