schema_version	checkpoint_group	metric	observed	expected	passed	details
legacy_four_module_reconciliation_v1	global_four_modules	mtdna_oxphos_13_occurrences	732	732	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mtdna_oxphos_13_up	540	540	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mtdna_oxphos_13_down	192	192	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mtdna_oxphos_13_significant_calls	99	99	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	nuclear_oxphos_structural_86_occurrences	1172	1172	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	nuclear_oxphos_structural_86_up	430	430	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	nuclear_oxphos_structural_86_down	742	742	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	nuclear_oxphos_structural_86_significant_calls	33	33	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mitochondrial_translation_155_occurrences	906	906	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mitochondrial_translation_155_up	375	375	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mitochondrial_translation_155_down	531	531	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mitochondrial_translation_155_significant_calls	0	0	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mib_micos_inner_membrane_19_occurrences	103	103	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mib_micos_inner_membrane_19_up	31	31	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mib_micos_inner_membrane_19_down	72	72	TRUE	
legacy_four_module_reconciliation_v1	global_four_modules	mib_micos_inner_membrane_19_significant_calls	0	0	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e2	occurrences	128	128	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e2	up	127	127	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e2	down	1	1	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e2	significant_calls	20	20	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e33	occurrences	217	217	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e33	up	217	217	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e33	down	0	0	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e33	significant_calls	29	29	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e4	occurrences	64	64	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e4	up	26	26	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e4	down	38	38	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_F_e4	significant_calls	10	10	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e2	occurrences	132	132	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e2	up	13	13	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e2	down	119	119	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e2	significant_calls	13	13	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e33	occurrences	81	81	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e33	up	70	70	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e33	down	11	11	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e33	significant_calls	12	12	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e4	occurrences	110	110	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e4	up	87	87	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e4	down	23	23	TRUE	
legacy_four_module_reconciliation_v1	mtdna_by_stratum_M_e4	significant_calls	15	15	TRUE	
legacy_four_module_reconciliation_v1	female_e33	group_mtdna_occurrences	217	217	TRUE	
legacy_four_module_reconciliation_v1	female_e33	group_mtdna_up	217	217	TRUE	
legacy_four_module_reconciliation_v1	female_e33	group_mtdna_down	0	0	TRUE	
legacy_four_module_reconciliation_v1	female_e33	group_significant_calls	29	29	TRUE	
legacy_four_module_reconciliation_v1	female_e33_broad	eligible_calls	14	14	TRUE	
legacy_four_module_reconciliation_v1	female_e33_broad	mtdna_occurrences	123	123	TRUE	
legacy_four_module_reconciliation_v1	female_e33_broad	mtdna_up	123	123	TRUE	
legacy_four_module_reconciliation_v1	female_e33_broad	mtdna_down	0	0	TRUE	
legacy_four_module_reconciliation_v1	female_e33_broad	significant_calls	12	12	TRUE	
legacy_four_module_reconciliation_v1	male_e33	eligible_calls	31	31	TRUE	
legacy_four_module_reconciliation_v1	male_e33	mtdna_occurrences	81	81	TRUE	
legacy_four_module_reconciliation_v1	male_e33	mtdna_up	70	70	TRUE	
legacy_four_module_reconciliation_v1	male_e33	mtdna_down	11	11	TRUE	
legacy_four_module_reconciliation_v1	male_e33	mtdna_significant_calls	12	12	TRUE	
legacy_four_module_reconciliation_v1	male_e33	nuclear_occurrences	68	68	TRUE	
legacy_four_module_reconciliation_v1	male_e33	nuclear_up	8	8	TRUE	
legacy_four_module_reconciliation_v1	male_e33	nuclear_down	60	60	TRUE	
legacy_four_module_reconciliation_v1	male_e33	nuclear_significant_calls	1	1	TRUE	
