signature_group	sex	apoe_group	broad_cell_type	query_mode	pathway_collection	collection_role	pathway_id	pathway_name	hierarchy_depth	level_1	level_2	structurally_available_contrasts	total_contrasts	testable_queries	locally_significant_queries	globally_significant_queries	significant_ad_any_queries	significant_ad_up_queries	significant_ad_down_queries	significant_fine_cell_types	signal_depends_on_one_fine_cell	median_significant_fold_enrichment	minimum_significant_fold_enrichment	maximum_significant_fold_enrichment	overlap_gene_union	overlap_gene_union_count	recurrent_overlap_genes	recurrent_overlap_gene_count	schema_version
F_e2	Female	e2	Astrocytes	AD_any_mito	legacy_four	compatibility_benchmark	mtdna_oxphos_13	mtDNA-encoded OXPHOS	NA	NA	NA	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	legacy_four	compatibility_benchmark	nuclear_oxphos_structural_86	Nuclear structural OXPHOS	NA	NA	NA	3	3	3	1	1	1	0	0	1	TRUE	2.25245653817082	2.25245653817082	2.25245653817082	ATP5MC2,ATP5ME,ATP5MJ,ATP5PF,COX4I1,COX5A,COX5B,COX6B1,COX7C,COXFA4,NDUFA8,NDUFB1,NDUFB4,NDUFB6,NDUFB7,NDUFS3,NDUFS7,NDUFS8,UQCRB,UQCRFS1	20		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	legacy_four	compatibility_benchmark	mitochondrial_translation_155	Mitochondrial translation	NA	NA	NA	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	legacy_four	compatibility_benchmark	mib_micos_inner_membrane_19	MIB/MICOS inner membrane	NA	NA	NA	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Mitophagy	Mitophagy	2	Mitochondrial dynamics and surveillance	Mitophagy	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Autophagy	Autophagy	2	Mitochondrial dynamics and surveillance	Autophagy	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	ABC transporters	ABC transporters	2	Small molecule transport	ABC transporters	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Organelle contact sites	Organelle contact sites	2	Mitochondrial dynamics and surveillance	Organelle contact sites	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Mitochondrial dynamics and surveillance	Mitochondrial dynamics and surveillance	1	Mitochondrial dynamics and surveillance	NA	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Metals and cofactors	Metals and cofactors	2	Metabolism	Metals and cofactors	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Protein homeostasis	Protein homeostasis	2	Protein import, sorting and homeostasis	Protein homeostasis	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Detoxification	Detoxification	2	Metabolism	Detoxification	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Complex I	Complex I	2	OXPHOS	Complex I	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Protein import, sorting and homeostasis	Protein import, sorting and homeostasis	1	Protein import, sorting and homeostasis	NA	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Small molecule transport	Small molecule transport	1	Small molecule transport	NA	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
F_e2	Female	e2	Astrocytes	AD_any_mito	mitocarta_broad_46	primary_expanded	Amino acid metabolism	Amino acid metabolism	2	Metabolism	Amino acid metabolism	3	3	3	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_broad_cell_summary_v1
