schema_version	check_name	passed	observed	expected	details
fine_deg_pathway_checks_v1	phase08_artifact_hashes	TRUE	27	27	
fine_deg_pathway_checks_v1	phase09_paper_deg_reproduced	TRUE	0	0	
fine_deg_pathway_checks_v1	phase08_phase09_deg_counts_match	TRUE	0	0	
fine_deg_pathway_checks_v1	mitocarta_source_reconciles	TRUE	0	0	
fine_deg_pathway_checks_v1	planned_contrasts	TRUE	324	324	
fine_deg_pathway_checks_v1	fine_cell_types	TRUE	54	54	
fine_deg_pathway_checks_v1	sex_apoe_strata	TRUE	6	6	
fine_deg_pathway_checks_v1	estimable_contrasts	TRUE	321	321	
fine_deg_pathway_checks_v1	nonestimable_contrasts	TRUE	3	3	
fine_deg_pathway_checks_v1	phase09_core_rows	TRUE	387504	387504	
fine_deg_pathway_checks_v1	query_manifest_rows	TRUE	972	972	
fine_deg_pathway_checks_v1	program_count_legacy_four	TRUE	4	4	
fine_deg_pathway_checks_v1	program_count_mitocarta_broad_46	TRUE	46	46	
fine_deg_pathway_checks_v1	program_count_mitocarta_complete_149	TRUE	149	149	
fine_deg_pathway_checks_v1	primary_ora_rows	TRUE	193428	193428	
fine_deg_pathway_checks_v1	primary_ora_keys_unique	TRUE	0	0	
fine_deg_pathway_checks_v1	background_keys_unique	TRUE	0	0	
fine_deg_pathway_checks_v1	query_keys_unique	TRUE	0	0	
fine_deg_pathway_checks_v1	primary_query_subset_background	TRUE	TRUE	TRUE	
fine_deg_pathway_checks_v1	up_query_direction	TRUE	0	0	
fine_deg_pathway_checks_v1	down_query_direction	TRUE	0	0	
fine_deg_pathway_checks_v1	collapsed_direction_conflicts	TRUE	0	0	
fine_deg_pathway_checks_v1	contingency_cells_nonnegative	TRUE	TRUE	TRUE	
fine_deg_pathway_checks_v1	contingency_cells_sum_to_background	TRUE	TRUE	TRUE	
fine_deg_pathway_checks_v1	hypergeometric_p_recalculation	TRUE	0e+00	<1e-12	
fine_deg_pathway_checks_v1	zero_overlap_p_equals_one	TRUE	TRUE	TRUE	
fine_deg_pathway_checks_v1	fisher_audit	TRUE	0e+00	<1e-12	
fine_deg_pathway_checks_v1	local_bh_audit	TRUE	0	<1e-12	
fine_deg_pathway_checks_v1	global_bh_audit	TRUE	0	<1e-12	
fine_deg_pathway_checks_v1	toy_ora_cases	TRUE	1.110223e-16	<1e-12	
fine_deg_pathway_checks_v1	kda_effective_calls	TRUE	194	194	
fine_deg_pathway_checks_v1	kda_query_subset_background	TRUE	TRUE	TRUE	
fine_deg_pathway_checks_v1	kda_source_query_mode	TRUE	AD_both_mito	AD_both_mito	
fine_deg_pathway_checks_v1	kda_ora_rows	TRUE	38606	38606	
fine_deg_pathway_checks_v1	legacy_reconciliation	TRUE	58	58	
fine_deg_pathway_checks_v1	redundancy_pairs	TRUE	11026	11026	
