contrast_id	contrast_order	rds_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	structural_status	structurally_available	core_feature_rows	mapped_core_feature_rows	unmapped_core_feature_rows	reference_only_rows	admitted_feature_rows	mapped_unique_background_genes	duplicate_symbol_collapses	background_id	background_size	background_status	schema_version
excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e33	77	excitatory_set3	Exc L6 CT	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	833	833	0	excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e33	833	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e4	78	excitatory_set3	Exc L6 CT	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	872	872	0	excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e4	872	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e2	79	excitatory_set3	Exc L6 THEMIS NFIA	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	954	954	0	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e2	954	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e33	80	excitatory_set3	Exc L6 THEMIS NFIA	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	936	936	0	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e33	936	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e4	81	excitatory_set3	Exc L6 THEMIS NFIA	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	956	956	0	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e4	956	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e2	82	excitatory_set3	Exc L6 THEMIS NFIA	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	948	948	0	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e2	948	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e33	83	excitatory_set3	Exc L6 THEMIS NFIA	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	919	919	0	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e33	919	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e4	84	excitatory_set3	Exc L6 THEMIS NFIA	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	939	939	0	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e4	939	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6b::AD_vs_NCI__Female__e2	85	excitatory_set3	Exc L6b	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	954	954	0	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e2	954	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6b::AD_vs_NCI__Female__e33	86	excitatory_set3	Exc L6b	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	928	928	0	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e33	928	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6b::AD_vs_NCI__Female__e4	87	excitatory_set3	Exc L6b	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	949	949	0	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e4	949	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6b::AD_vs_NCI__Male__e2	88	excitatory_set3	Exc L6b	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	933	933	0	excitatory_set3::Exc L6b::AD_vs_NCI__Male__e2	933	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6b::AD_vs_NCI__Male__e33	89	excitatory_set3	Exc L6b	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	904	904	0	excitatory_set3::Exc L6b::AD_vs_NCI__Male__e33	904	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc L6b::AD_vs_NCI__Male__e4	90	excitatory_set3	Exc L6b	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	938	938	0	excitatory_set3::Exc L6b::AD_vs_NCI__Male__e4	938	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e2	91	excitatory_set3	Exc NRGN	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	372	372	0	excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e2	372	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e33	92	excitatory_set3	Exc NRGN	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	318	318	0	excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e33	318	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e4	93	excitatory_set3	Exc NRGN	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	336	336	0	excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e4	336	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e2	94	excitatory_set3	Exc NRGN	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	361	361	0	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e2	361	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e33	95	excitatory_set3	Exc NRGN	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	299	299	0	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e33	299	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e4	96	excitatory_set3	Exc NRGN	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	469	469	0	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e4	469	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e2	97	excitatory_set3	Exc RELN CHD7	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	723	723	0	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e2	723	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e33	98	excitatory_set3	Exc RELN CHD7	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	545	545	0	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e33	545	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e4	99	excitatory_set3	Exc RELN CHD7	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	676	676	0	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e4	676	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e2	100	excitatory_set3	Exc RELN CHD7	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	557	557	0	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e2	557	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e33	101	excitatory_set3	Exc RELN CHD7	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	339	339	0	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e33	339	available	fine_deg_pathway_background_manifest_v1
excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e4	102	excitatory_set3	Exc RELN CHD7	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	497	497	0	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e4	497	available	fine_deg_pathway_background_manifest_v1
immune::CAMs::AD_vs_NCI__Female__e2	103	immune	CAMs	CAMs	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	244	244	0	immune::CAMs::AD_vs_NCI__Female__e2	244	available	fine_deg_pathway_background_manifest_v1
immune::CAMs::AD_vs_NCI__Female__e33	104	immune	CAMs	CAMs	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	263	263	0	immune::CAMs::AD_vs_NCI__Female__e33	263	available	fine_deg_pathway_background_manifest_v1
immune::CAMs::AD_vs_NCI__Female__e4	105	immune	CAMs	CAMs	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	250	250	0	immune::CAMs::AD_vs_NCI__Female__e4	250	available	fine_deg_pathway_background_manifest_v1
immune::CAMs::AD_vs_NCI__Male__e2	106	immune	CAMs	CAMs	M_e2	Male	e2	not_estimable	FALSE	1196	1195	1	2	0	0	0	immune::CAMs::AD_vs_NCI__Male__e2	0	contrast_not_estimable	fine_deg_pathway_background_manifest_v1
immune::CAMs::AD_vs_NCI__Male__e33	107	immune	CAMs	CAMs	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	236	236	0	immune::CAMs::AD_vs_NCI__Male__e33	236	available	fine_deg_pathway_background_manifest_v1
immune::CAMs::AD_vs_NCI__Male__e4	108	immune	CAMs	CAMs	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	269	269	0	immune::CAMs::AD_vs_NCI__Male__e4	269	available	fine_deg_pathway_background_manifest_v1
immune::Mic MKI67::AD_vs_NCI__Female__e2	109	immune	Mic MKI67	Microglia	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	700	700	0	immune::Mic MKI67::AD_vs_NCI__Female__e2	700	available	fine_deg_pathway_background_manifest_v1
immune::Mic MKI67::AD_vs_NCI__Female__e33	110	immune	Mic MKI67	Microglia	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	636	636	0	immune::Mic MKI67::AD_vs_NCI__Female__e33	636	available	fine_deg_pathway_background_manifest_v1
immune::Mic MKI67::AD_vs_NCI__Female__e4	111	immune	Mic MKI67	Microglia	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	573	573	0	immune::Mic MKI67::AD_vs_NCI__Female__e4	573	available	fine_deg_pathway_background_manifest_v1
immune::Mic MKI67::AD_vs_NCI__Male__e2	112	immune	Mic MKI67	Microglia	M_e2	Male	e2	not_estimable	FALSE	1196	1195	1	2	0	0	0	immune::Mic MKI67::AD_vs_NCI__Male__e2	0	contrast_not_estimable	fine_deg_pathway_background_manifest_v1
immune::Mic MKI67::AD_vs_NCI__Male__e33	113	immune	Mic MKI67	Microglia	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	506	506	0	immune::Mic MKI67::AD_vs_NCI__Male__e33	506	available	fine_deg_pathway_background_manifest_v1
immune::Mic MKI67::AD_vs_NCI__Male__e4	114	immune	Mic MKI67	Microglia	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	622	622	0	immune::Mic MKI67::AD_vs_NCI__Male__e4	622	available	fine_deg_pathway_background_manifest_v1
immune::Mic P2RY12::AD_vs_NCI__Female__e2	115	immune	Mic P2RY12	Microglia	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	286	286	0	immune::Mic P2RY12::AD_vs_NCI__Female__e2	286	available	fine_deg_pathway_background_manifest_v1
immune::Mic P2RY12::AD_vs_NCI__Female__e33	116	immune	Mic P2RY12	Microglia	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	327	327	0	immune::Mic P2RY12::AD_vs_NCI__Female__e33	327	available	fine_deg_pathway_background_manifest_v1
immune::Mic P2RY12::AD_vs_NCI__Female__e4	117	immune	Mic P2RY12	Microglia	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	349	349	0	immune::Mic P2RY12::AD_vs_NCI__Female__e4	349	available	fine_deg_pathway_background_manifest_v1
immune::Mic P2RY12::AD_vs_NCI__Male__e2	118	immune	Mic P2RY12	Microglia	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	255	255	0	immune::Mic P2RY12::AD_vs_NCI__Male__e2	255	available	fine_deg_pathway_background_manifest_v1
immune::Mic P2RY12::AD_vs_NCI__Male__e33	119	immune	Mic P2RY12	Microglia	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	291	291	0	immune::Mic P2RY12::AD_vs_NCI__Male__e33	291	available	fine_deg_pathway_background_manifest_v1
immune::Mic P2RY12::AD_vs_NCI__Male__e4	120	immune	Mic P2RY12	Microglia	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	316	316	0	immune::Mic P2RY12::AD_vs_NCI__Male__e4	316	available	fine_deg_pathway_background_manifest_v1
immune::Mic TPT1::AD_vs_NCI__Female__e2	121	immune	Mic TPT1	Microglia	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	416	416	0	immune::Mic TPT1::AD_vs_NCI__Female__e2	416	available	fine_deg_pathway_background_manifest_v1
immune::Mic TPT1::AD_vs_NCI__Female__e33	122	immune	Mic TPT1	Microglia	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	395	395	0	immune::Mic TPT1::AD_vs_NCI__Female__e33	395	available	fine_deg_pathway_background_manifest_v1
immune::Mic TPT1::AD_vs_NCI__Female__e4	123	immune	Mic TPT1	Microglia	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	418	418	0	immune::Mic TPT1::AD_vs_NCI__Female__e4	418	available	fine_deg_pathway_background_manifest_v1
immune::Mic TPT1::AD_vs_NCI__Male__e2	124	immune	Mic TPT1	Microglia	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	312	312	0	immune::Mic TPT1::AD_vs_NCI__Male__e2	312	available	fine_deg_pathway_background_manifest_v1
immune::Mic TPT1::AD_vs_NCI__Male__e33	125	immune	Mic TPT1	Microglia	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	362	362	0	immune::Mic TPT1::AD_vs_NCI__Male__e33	362	available	fine_deg_pathway_background_manifest_v1
immune::Mic TPT1::AD_vs_NCI__Male__e4	126	immune	Mic TPT1	Microglia	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	420	420	0	immune::Mic TPT1::AD_vs_NCI__Male__e4	420	available	fine_deg_pathway_background_manifest_v1
immune::T cells::AD_vs_NCI__Female__e2	127	immune	T cells	T_cells	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	292	292	0	immune::T cells::AD_vs_NCI__Female__e2	292	available	fine_deg_pathway_background_manifest_v1
immune::T cells::AD_vs_NCI__Female__e33	128	immune	T cells	T_cells	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	291	291	0	immune::T cells::AD_vs_NCI__Female__e33	291	available	fine_deg_pathway_background_manifest_v1
immune::T cells::AD_vs_NCI__Female__e4	129	immune	T cells	T_cells	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	273	273	0	immune::T cells::AD_vs_NCI__Female__e4	273	available	fine_deg_pathway_background_manifest_v1
immune::T cells::AD_vs_NCI__Male__e2	130	immune	T cells	T_cells	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	329	329	0	immune::T cells::AD_vs_NCI__Male__e2	329	available	fine_deg_pathway_background_manifest_v1
immune::T cells::AD_vs_NCI__Male__e33	131	immune	T cells	T_cells	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	227	227	0	immune::T cells::AD_vs_NCI__Male__e33	227	available	fine_deg_pathway_background_manifest_v1
immune::T cells::AD_vs_NCI__Male__e4	132	immune	T cells	T_cells	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	258	258	0	immune::T cells::AD_vs_NCI__Male__e4	258	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Female__e2	133	inhibitory	Inh ALCAM TRPM3	Inhibitory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	824	824	0	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Female__e2	824	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Female__e33	134	inhibitory	Inh ALCAM TRPM3	Inhibitory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	845	845	0	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Female__e33	845	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Female__e4	135	inhibitory	Inh ALCAM TRPM3	Inhibitory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	806	806	0	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Female__e4	806	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Male__e2	136	inhibitory	Inh ALCAM TRPM3	Inhibitory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	798	798	0	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Male__e2	798	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Male__e33	137	inhibitory	Inh ALCAM TRPM3	Inhibitory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	802	802	0	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Male__e33	802	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Male__e4	138	inhibitory	Inh ALCAM TRPM3	Inhibitory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	786	786	0	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Male__e4	786	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Female__e2	139	inhibitory	Inh CUX2 MSR1	Inhibitory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	584	584	0	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Female__e2	584	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Female__e33	140	inhibitory	Inh CUX2 MSR1	Inhibitory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	540	540	0	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Female__e33	540	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Female__e4	141	inhibitory	Inh CUX2 MSR1	Inhibitory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	548	548	0	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Female__e4	548	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Male__e2	142	inhibitory	Inh CUX2 MSR1	Inhibitory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	633	633	0	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Male__e2	633	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Male__e33	143	inhibitory	Inh CUX2 MSR1	Inhibitory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	588	588	0	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Male__e33	588	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Male__e4	144	inhibitory	Inh CUX2 MSR1	Inhibitory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	483	483	0	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Male__e4	483	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Female__e2	145	inhibitory	Inh ENOX2 SPHKAP	Inhibitory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	738	738	0	inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Female__e2	738	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Female__e33	146	inhibitory	Inh ENOX2 SPHKAP	Inhibitory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	662	662	0	inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Female__e33	662	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Female__e4	147	inhibitory	Inh ENOX2 SPHKAP	Inhibitory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	656	656	0	inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Female__e4	656	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Male__e2	148	inhibitory	Inh ENOX2 SPHKAP	Inhibitory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	811	811	0	inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Male__e2	811	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Male__e33	149	inhibitory	Inh ENOX2 SPHKAP	Inhibitory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	666	666	0	inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Male__e33	666	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Male__e4	150	inhibitory	Inh ENOX2 SPHKAP	Inhibitory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	641	641	0	inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Male__e4	641	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Female__e2	151	inhibitory	Inh FBN2 EPB41L4A	Inhibitory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	874	874	0	inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Female__e2	874	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Female__e33	152	inhibitory	Inh FBN2 EPB41L4A	Inhibitory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	847	847	0	inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Female__e33	847	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Female__e4	153	inhibitory	Inh FBN2 EPB41L4A	Inhibitory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	841	841	0	inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Female__e4	841	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Male__e2	154	inhibitory	Inh FBN2 EPB41L4A	Inhibitory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	889	889	0	inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Male__e2	889	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Male__e33	155	inhibitory	Inh FBN2 EPB41L4A	Inhibitory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	821	821	0	inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Male__e33	821	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Male__e4	156	inhibitory	Inh FBN2 EPB41L4A	Inhibitory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	836	836	0	inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Male__e4	836	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Female__e2	157	inhibitory	Inh GPC5 RIT2	Inhibitory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	868	868	0	inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Female__e2	868	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Female__e33	158	inhibitory	Inh GPC5 RIT2	Inhibitory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	829	829	0	inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Female__e33	829	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Female__e4	159	inhibitory	Inh GPC5 RIT2	Inhibitory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	863	863	0	inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Female__e4	863	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Male__e2	160	inhibitory	Inh GPC5 RIT2	Inhibitory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	894	894	0	inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Male__e2	894	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Male__e33	161	inhibitory	Inh GPC5 RIT2	Inhibitory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	805	805	0	inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Male__e33	805	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Male__e4	162	inhibitory	Inh GPC5 RIT2	Inhibitory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	833	833	0	inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Male__e4	833	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh L1 PAX6 CA4::AD_vs_NCI__Female__e2	163	inhibitory	Inh L1 PAX6 CA4	Inhibitory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	725	725	0	inhibitory::Inh L1 PAX6 CA4::AD_vs_NCI__Female__e2	725	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh L1 PAX6 CA4::AD_vs_NCI__Female__e33	164	inhibitory	Inh L1 PAX6 CA4	Inhibitory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	709	709	0	inhibitory::Inh L1 PAX6 CA4::AD_vs_NCI__Female__e33	709	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh L1 PAX6 CA4::AD_vs_NCI__Female__e4	165	inhibitory	Inh L1 PAX6 CA4	Inhibitory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	659	659	0	inhibitory::Inh L1 PAX6 CA4::AD_vs_NCI__Female__e4	659	available	fine_deg_pathway_background_manifest_v1
inhibitory::Inh L1 PAX6 CA4::AD_vs_NCI__Male__e2	166	inhibitory	Inh L1 PAX6 CA4	Inhibitory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	676	676	0	inhibitory::Inh L1 PAX6 CA4::AD_vs_NCI__Male__e2	676	available	fine_deg_pathway_background_manifest_v1
