contrast_id	rds_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	query_mode	pathway_collection	collection_role	structural_status	structurally_available	background_size	query_size	pathway_count	testable_pathways	locally_significant_pathways	globally_significant_pathways	minimum_local_fdr_bh	top_pathway	schema_version
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	656	10	4	4	0	0	0.626306150165102	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	656	10	46	39	0	0	0.336880332354014	Mitophagy	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	656	10	149	90	0	0	0.777416151586185	Mitophagy	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	656	7	4	4	0	0	1	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	656	7	46	39	0	0	0.16310842154493	Mitophagy	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	656	7	149	90	0	0	0.376404049719069	Mitophagy	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	656	3	4	4	0	0	0.198161550562911	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	656	3	46	39	0	0	0.886330706529637	ABC transporters	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	656	3	149	90	0	0	1	ABC transporters	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	676	58	4	4	0	0	0.241008079009809	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	676	58	46	39	0	0	0.972131638840012	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	676	58	149	91	0	0	1	mtDNA repair	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	676	33	4	4	0	0	0.0535816571841555	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	676	33	46	39	0	0	1	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	676	33	149	91	0	0	0.947080962601443	Pyruvate metabolism	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	676	25	4	4	0	0	1	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	676	25	46	39	0	0	1	mtDNA maintenance	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	676	25	149	91	0	0	1	Lysine metabolism	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	658	89	4	4	1	1	0.000555799756334325	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	658	89	46	40	1	1	0.0370552223791955	SLC25A family	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	658	89	149	91	0	0	0.0843006309126698	SLC25A family	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	658	36	4	4	0	0	1	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	658	36	46	40	0	0	0.392471827686593	SLC25A family	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	658	36	149	91	0	0	0.795869595452807	SLC25A family	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	658	53	4	4	1	1	1.53579190038745e-05	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	658	53	46	40	0	0	0.247691750501003	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	658	53	149	91	0	0	0.563498732389781	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	491	18	4	4	0	0	1	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	491	18	46	36	0	0	1	Lipid metabolism	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	491	18	149	76	0	0	1	Cardiolipin synthesis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	491	11	4	4	0	0	1	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	491	11	46	36	0	0	0.656704920348007	Detoxification	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	491	11	149	76	0	0	0.570064864914541	Cardiolipin synthesis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	491	7	4	4	0	0	1	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	491	7	46	36	0	0	1	Amino acid metabolism	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	491	7	149	76	0	0	1	Preprotein cleavage	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	656	32	4	4	1	1	0.00486147158684027	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	656	32	46	39	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	656	32	149	91	0	0	1	NAD biosynthesis and metabolism	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	656	20	4	4	1	1	0.000727928343410832	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	656	20	46	39	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	656	20	149	91	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
