contrast_id	schema_version	manifest_row	rds_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	contrast_kind	numerator	denominator	cells_ad_expected	cells_nci_expected	donors_ad_expected	donors_nci_expected	analysis_population	modeling_status	modeling_reason	terminal_status	genes_returned_phase08	paper_degs_phase08	phase08_status_message	broad_cell_type	signature_group	fine_cell_type	structural_status	structurally_available	contrast_order	background_size	background_status	mito_deg_any_count	mito_deg_down_count	mito_deg_up_count	phase09_contrast_paper_degs
astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	11	astrocytes	Ast DPP10	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	1859	5177	27	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6567	185	NA	Astrocytes	M_e33	Ast DPP10	estimable_validated	TRUE	11	486	available	10	4	6	185
astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	12	astrocytes	Ast DPP10	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	1565	979	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6836	976	NA	Astrocytes	M_e4	Ast DPP10	estimable_validated	TRUE	12	497	available	63	31	32	976
astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	13	astrocytes	Ast GRM3	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	957	2720	8	17	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	7462	1049	NA	Astrocytes	F_e2	Ast GRM3	estimable_validated	TRUE	13	596	available	98	28	70	1049
astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	14	astrocytes	Ast GRM3	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	9577	10462	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	7335	155	NA	Astrocytes	F_e33	Ast GRM3	estimable_validated	TRUE	14	588	available	7	1	6	155
astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	15	astrocytes	Ast GRM3	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	5204	1797	26	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	8349	719	NA	Astrocytes	F_e4	Ast GRM3	estimable_validated	TRUE	15	669	available	45	30	15	719
astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	16	astrocytes	Ast GRM3	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	1411	1186	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6983	2550	NA	Astrocytes	M_e2	Ast GRM3	estimable_validated	TRUE	16	543	available	215	109	106	2550
astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	17	astrocytes	Ast GRM3	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	5946	14440	29	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6791	199	NA	Astrocytes	M_e33	Ast GRM3	estimable_validated	TRUE	17	532	available	10	4	6	199
astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	18	astrocytes	Ast GRM3	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	4914	2144	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6759	492	NA	Astrocytes	M_e4	Ast GRM3	estimable_validated	TRUE	18	510	available	24	6	18	492
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	3671	12562	8	17	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10468	846	NA	Excitatory_neurons	F_e2	Exc L2-3 CBLN2 LINC02306	estimable_validated	TRUE	19	812	available	59	17	42	846
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	2	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	26574	34425	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10586	262	NA	Excitatory_neurons	F_e33	Exc L2-3 CBLN2 LINC02306	estimable_validated	TRUE	20	816	available	17	5	12	262
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	3	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	15950	14571	26	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10680	3062	NA	Excitatory_neurons	F_e4	Exc L2-3 CBLN2 LINC02306	estimable_validated	TRUE	21	821	available	281	243	38	3062
