contrast_id	schema_version	manifest_row	rds_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	contrast_kind	numerator	denominator	cells_ad_expected	cells_nci_expected	donors_ad_expected	donors_nci_expected	analysis_population	modeling_status	modeling_reason	terminal_status	genes_returned_phase08	paper_degs_phase08	phase08_status_message	broad_cell_type	signature_group	fine_cell_type	structural_status	structurally_available	contrast_order	background_size	background_status	mito_deg_any_count	mito_deg_down_count	mito_deg_up_count	phase09_contrast_paper_degs
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	18	excitatory_set2	Exc L4-5 RORB GABRG1	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	4614	2201	26	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10463	402	NA	Excitatory_neurons	M_e4	Exc L4-5 RORB GABRG1	estimable_validated	TRUE	42	827	available	21	13	8	402
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	19	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	1430	4990	8	17	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11874	936	NA	Excitatory_neurons	F_e2	Exc L4-5 RORB IL1RAPL2	estimable_validated	TRUE	43	923	available	124	6	118	936
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	20	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	12683	13885	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11857	320	NA	Excitatory_neurons	F_e33	Exc L4-5 RORB IL1RAPL2	estimable_validated	TRUE	44	917	available	19	6	13	320
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	21	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	6768	4054	26	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11934	1179	NA	Excitatory_neurons	F_e4	Exc L4-5 RORB IL1RAPL2	estimable_validated	TRUE	45	912	available	123	122	1	1179
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	22	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	1690	1874	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11811	1938	NA	Excitatory_neurons	M_e2	Exc L4-5 RORB IL1RAPL2	estimable_validated	TRUE	46	915	available	175	129	46	1938
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	23	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	7405	17997	27	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11548	120	NA	Excitatory_neurons	M_e33	Exc L4-5 RORB IL1RAPL2	estimable_validated	TRUE	47	892	available	5	2	3	120
excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	24	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	6930	2820	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11595	596	NA	Excitatory_neurons	M_e4	Exc L4-5 RORB IL1RAPL2	estimable_validated	TRUE	48	896	available	34	10	24	596
excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	1	excitatory_set3	Exc L5 ET	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	26	140	6	16	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	14178	0	NA	Excitatory_neurons	F_e2	Exc L5 ET	estimable_validated	TRUE	49	991	available	0	0	0	0
excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	2	excitatory_set3	Exc L5 ET	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	322	364	35	41	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	13173	90	NA	Excitatory_neurons	F_e33	Exc L5 ET	estimable_validated	TRUE	50	973	available	12	1	11	90
excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	3	excitatory_set3	Exc L5 ET	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	173	119	24	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	13661	22	NA	Excitatory_neurons	F_e4	Exc L5 ET	estimable_validated	TRUE	51	988	available	1	1	0	22
excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	4	excitatory_set3	Exc L5 ET	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	51	43	7	5	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	13660	128	NA	Excitatory_neurons	M_e2	Exc L5 ET	estimable_validated	TRUE	52	978	available	7	3	4	128
excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	5	excitatory_set3	Exc L5 ET	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	280	511	24	50	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	13054	2659	NA	Excitatory_neurons	M_e33	Exc L5 ET	estimable_validated	TRUE	53	972	available	199	98	101	2659
excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	6	excitatory_set3	Exc L5 ET	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	203	75	25	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	13646	71	NA	Excitatory_neurons	M_e4	Exc L5 ET	estimable_validated	TRUE	54	981	available	4	2	2	71
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	7	excitatory_set3	Exc L5-6 RORB LINC02196	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	266	899	8	16	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12026	431	NA	Excitatory_neurons	F_e2	Exc L5-6 RORB LINC02196	estimable_validated	TRUE	55	928	available	72	6	66	431
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	8	excitatory_set3	Exc L5-6 RORB LINC02196	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	2433	2664	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11858	331	NA	Excitatory_neurons	F_e33	Exc L5-6 RORB LINC02196	estimable_validated	TRUE	56	913	available	28	5	23	331
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	9	excitatory_set3	Exc L5-6 RORB LINC02196	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	1237	683	26	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12189	574	NA	Excitatory_neurons	F_e4	Exc L5-6 RORB LINC02196	estimable_validated	TRUE	57	934	available	41	35	6	574
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	10	excitatory_set3	Exc L5-6 RORB LINC02196	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	363	318	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11684	522	NA	Excitatory_neurons	M_e2	Exc L5-6 RORB LINC02196	estimable_validated	TRUE	58	900	available	46	43	3	522
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	11	excitatory_set3	Exc L5-6 RORB LINC02196	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	1537	3343	27	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11510	277	NA	Excitatory_neurons	M_e33	Exc L5-6 RORB LINC02196	estimable_validated	TRUE	59	886	available	20	4	16	277
excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	12	excitatory_set3	Exc L5-6 RORB LINC02196	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	1275	493	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11606	681	NA	Excitatory_neurons	M_e4	Exc L5-6 RORB LINC02196	estimable_validated	TRUE	60	886	available	55	25	30	681
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	13	excitatory_set3	Exc L5/6 IT Car3	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	174	699	8	16	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12591	571	NA	Excitatory_neurons	F_e2	Exc L5/6 IT Car3	estimable_validated	TRUE	61	959	available	111	1	110	571
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	14	excitatory_set3	Exc L5/6 IT Car3	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	1964	2051	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12291	535	NA	Excitatory_neurons	F_e33	Exc L5/6 IT Car3	estimable_validated	TRUE	62	940	available	38	17	21	535
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	15	excitatory_set3	Exc L5/6 IT Car3	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	1113	561	25	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12579	1272	NA	Excitatory_neurons	F_e4	Exc L5/6 IT Car3	estimable_validated	TRUE	63	954	available	111	107	4	1272
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	16	excitatory_set3	Exc L5/6 IT Car3	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	297	298	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12412	1509	NA	Excitatory_neurons	M_e2	Exc L5/6 IT Car3	estimable_validated	TRUE	64	944	available	118	40	78	1509
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	17	excitatory_set3	Exc L5/6 IT Car3	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	1386	2592	27	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11783	872	NA	Excitatory_neurons	M_e33	Exc L5/6 IT Car3	estimable_validated	TRUE	65	907	available	39	23	16	872
excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	18	excitatory_set3	Exc L5/6 IT Car3	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	1124	427	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12279	285	NA	Excitatory_neurons	M_e4	Exc L5/6 IT Car3	estimable_validated	TRUE	66	935	available	21	8	13	285
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	19	excitatory_set3	Exc L5/6 NP	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	201	637	8	17	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11426	188	NA	Excitatory_neurons	F_e2	Exc L5/6 NP	estimable_validated	TRUE	67	892	available	24	2	22	188
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	20	excitatory_set3	Exc L5/6 NP	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	1752	2067	36	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11017	386	NA	Excitatory_neurons	F_e33	Exc L5/6 NP	estimable_validated	TRUE	68	855	available	49	7	42	386
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	21	excitatory_set3	Exc L5/6 NP	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	967	561	24	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11458	245	NA	Excitatory_neurons	F_e4	Exc L5/6 NP	estimable_validated	TRUE	69	884	available	8	4	4	245
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	22	excitatory_set3	Exc L5/6 NP	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	295	285	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11068	672	NA	Excitatory_neurons	M_e2	Exc L5/6 NP	estimable_validated	TRUE	70	864	available	59	41	18	672
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	23	excitatory_set3	Exc L5/6 NP	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	975	2667	27	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10941	271	NA	Excitatory_neurons	M_e33	Exc L5/6 NP	estimable_validated	TRUE	71	855	available	18	3	15	271
excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	24	excitatory_set3	Exc L5/6 NP	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	920	413	26	9	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10832	252	NA	Excitatory_neurons	M_e4	Exc L5/6 NP	estimable_validated	TRUE	72	845	available	13	9	4	252
excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	25	excitatory_set3	Exc L6 CT	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	298	712	8	16	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10952	207	NA	Excitatory_neurons	F_e2	Exc L6 CT	estimable_validated	TRUE	73	861	available	12	1	11	207
excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	26	excitatory_set3	Exc L6 CT	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	2273	3016	36	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11011	657	NA	Excitatory_neurons	F_e33	Exc L6 CT	estimable_validated	TRUE	74	861	available	64	10	54	657
excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	27	excitatory_set3	Exc L6 CT	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	1402	835	25	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11372	453	NA	Excitatory_neurons	F_e4	Exc L6 CT	estimable_validated	TRUE	75	886	available	29	26	3	453
excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	28	excitatory_set3	Exc L6 CT	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	390	337	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11040	904	NA	Excitatory_neurons	M_e2	Exc L6 CT	estimable_validated	TRUE	76	857	available	88	46	42	904
excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	29	excitatory_set3	Exc L6 CT	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	1546	3559	27	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	10709	468	NA	Excitatory_neurons	M_e33	Exc L6 CT	estimable_validated	TRUE	77	833	available	38	6	32	468
excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	30	excitatory_set3	Exc L6 CT	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	1116	523	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11173	313	NA	Excitatory_neurons	M_e4	Exc L6 CT	estimable_validated	TRUE	78	872	available	26	12	14	313
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	31	excitatory_set3	Exc L6 THEMIS NFIA	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	839	2594	8	16	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12451	1023	NA	Excitatory_neurons	F_e2	Exc L6 THEMIS NFIA	estimable_validated	TRUE	79	954	available	139	8	131	1023
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	32	excitatory_set3	Exc L6 THEMIS NFIA	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	7459	7539	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12341	423	NA	Excitatory_neurons	F_e33	Exc L6 THEMIS NFIA	estimable_validated	TRUE	80	936	available	26	6	20	423
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	33	excitatory_set3	Exc L6 THEMIS NFIA	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	4415	1837	25	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12778	759	NA	Excitatory_neurons	F_e4	Exc L6 THEMIS NFIA	estimable_validated	TRUE	81	956	available	35	32	3	759
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	34	excitatory_set3	Exc L6 THEMIS NFIA	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	1323	1024	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12446	2189	NA	Excitatory_neurons	M_e2	Exc L6 THEMIS NFIA	estimable_validated	TRUE	82	948	available	152	15	137	2189
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	35	excitatory_set3	Exc L6 THEMIS NFIA	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	4552	9666	27	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12109	220	NA	Excitatory_neurons	M_e33	Exc L6 THEMIS NFIA	estimable_validated	TRUE	83	919	available	3	1	2	220
excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	36	excitatory_set3	Exc L6 THEMIS NFIA	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	3580	1566	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12342	721	NA	Excitatory_neurons	M_e4	Exc L6 THEMIS NFIA	estimable_validated	TRUE	84	939	available	39	9	30	721
excitatory_set3::Exc L6b::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	37	excitatory_set3	Exc L6b	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	247	749	8	16	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12691	355	NA	Excitatory_neurons	F_e2	Exc L6b	estimable_validated	TRUE	85	954	available	18	7	11	355
excitatory_set3::Exc L6b::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	38	excitatory_set3	Exc L6b	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	2695	3137	36	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12197	791	NA	Excitatory_neurons	F_e33	Exc L6b	estimable_validated	TRUE	86	928	available	56	12	44	791
excitatory_set3::Exc L6b::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	39	excitatory_set3	Exc L6b	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	1520	846	25	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12798	938	NA	Excitatory_neurons	F_e4	Exc L6b	estimable_validated	TRUE	87	949	available	58	56	2	938
excitatory_set3::Exc L6b::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	40	excitatory_set3	Exc L6b	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	363	383	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12439	2176	NA	Excitatory_neurons	M_e2	Exc L6b	estimable_validated	TRUE	88	933	available	183	43	140	2176
excitatory_set3::Exc L6b::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	41	excitatory_set3	Exc L6b	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	2241	3581	28	53	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	11765	900	NA	Excitatory_neurons	M_e33	Exc L6b	estimable_validated	TRUE	89	904	available	39	12	27	900
excitatory_set3::Exc L6b::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	42	excitatory_set3	Exc L6b	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	1260	480	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	12447	741	NA	Excitatory_neurons	M_e4	Exc L6b	estimable_validated	TRUE	90	938	available	37	22	15	741
excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	43	excitatory_set3	Exc NRGN	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	332	782	8	17	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	4830	5	NA	Excitatory_neurons	F_e2	Exc NRGN	estimable_validated	TRUE	91	372	available	1	1	0	5
excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	44	excitatory_set3	Exc NRGN	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	2965	4875	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	4461	331	NA	Excitatory_neurons	F_e33	Exc NRGN	estimable_validated	TRUE	92	318	available	14	9	5	331
excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	45	excitatory_set3	Exc NRGN	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	1585	1156	26	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	4552	59	NA	Excitatory_neurons	F_e4	Exc NRGN	estimable_validated	TRUE	93	336	available	6	5	1	59
excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	46	excitatory_set3	Exc NRGN	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	545	1905	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	5155	3349	NA	Excitatory_neurons	M_e2	Exc NRGN	estimable_validated	TRUE	94	361	available	181	74	107	3349
excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	47	excitatory_set3	Exc NRGN	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	4383	6868	28	52	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	4637	2789	NA	Excitatory_neurons	M_e33	Exc NRGN	estimable_validated	TRUE	95	299	available	204	158	46	2789
excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	48	excitatory_set3	Exc NRGN	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	4828	461	27	10	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6308	1971	NA	Excitatory_neurons	M_e4	Exc NRGN	estimable_validated	TRUE	96	469	available	115	82	33	1971
