signature_group	sex	apoe_group	query_mode	pathway_collection	collection_role	pathway_id	pathway_name	hierarchy_depth	level_1	level_2	structurally_available_contrasts	total_contrasts	testable_queries	locally_significant_queries	globally_significant_queries	significant_ad_any_queries	significant_ad_up_queries	significant_ad_down_queries	significant_fine_cell_types	signal_depends_on_one_fine_cell	median_significant_fold_enrichment	minimum_significant_fold_enrichment	maximum_significant_fold_enrichment	overlap_gene_union	overlap_gene_union_count	recurrent_overlap_genes	recurrent_overlap_gene_count	schema_version
F_e2	Female	e2	AD_any_mito	legacy_four	compatibility_benchmark	mtdna_oxphos_13	mtDNA-encoded OXPHOS	NA	NA	NA	54	54	29	20	20	20	0	0	20	FALSE	27.0166666666667	5.99342105263158	58.1666666666667	MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5	12	MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5	12	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	legacy_four	compatibility_benchmark	nuclear_oxphos_structural_86	Nuclear structural OXPHOS	NA	NA	NA	54	54	29	9	9	9	0	0	9	FALSE	4.09934548854605	2.25245653817082	6.16425120772947	ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MG,ATP5MJ,ATP5MK,ATP5PD,ATP5PF,COX4I1,COX5A,COX5B,COX6B1,COX6C,COX7A2,COX7A2L,COX7B,COX7C,COXFA4,CYC1,NDUFA1,NDUFA12,NDUFA2,NDUFA3,NDUFA6,NDUFA8,NDUFAB1,NDUFB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB6,NDUFB7,NDUFB9,NDUFC1,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,UQCR10,UQCR11,UQCRB,UQCRFS1,UQCRH,UQCRQ	53	ATP5F1D,ATP5F1E,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MJ,ATP5MK,ATP5PD,ATP5PF,COX4I1,COX5A,COX5B,COX6B1,COX6C,COX7A2,COX7B,COX7C,COXFA4,CYC1,NDUFA1,NDUFA2,NDUFA3,NDUFA6,NDUFA8,NDUFAB1,NDUFB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB7,NDUFB9,NDUFC1,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,UQCR10,UQCR11,UQCRB,UQCRFS1,UQCRH,UQCRQ	46	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	legacy_four	compatibility_benchmark	mitochondrial_translation_155	Mitochondrial translation	NA	NA	NA	54	54	29	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	legacy_four	compatibility_benchmark	mib_micos_inner_membrane_19	MIB/MICOS inner membrane	NA	NA	NA	54	54	29	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Mitophagy	Mitophagy	2	Mitochondrial dynamics and surveillance	Mitophagy	54	54	29	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Autophagy	Autophagy	2	Mitochondrial dynamics and surveillance	Autophagy	54	54	29	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	ABC transporters	ABC transporters	2	Small molecule transport	ABC transporters	54	54	26	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Organelle contact sites	Organelle contact sites	2	Mitochondrial dynamics and surveillance	Organelle contact sites	54	54	29	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Mitochondrial dynamics and surveillance	Mitochondrial dynamics and surveillance	1	Mitochondrial dynamics and surveillance	NA	54	54	29	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Metals and cofactors	Metals and cofactors	2	Metabolism	Metals and cofactors	54	54	28	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Protein homeostasis	Protein homeostasis	2	Protein import, sorting and homeostasis	Protein homeostasis	54	54	28	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Detoxification	Detoxification	2	Metabolism	Detoxification	54	54	27	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Complex I	Complex I	2	OXPHOS	Complex I	54	54	28	16	13	16	0	0	16	FALSE	4.75970192869667	2.48003629764065	15.0681818181818	DMAC1,FOXRED1,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,NDUFA1,NDUFA12,NDUFA2,NDUFA3,NDUFA5,NDUFA6,NDUFA8,NDUFAB1,NDUFAF3,NDUFAF8,NDUFB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB7,NDUFB9,NDUFC1,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,TMEM126A,TMEM126B	35	MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,NDUFA1,NDUFA2,NDUFA3,NDUFA6,NDUFA8,NDUFAB1,NDUFAF3,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB7,NDUFB9,NDUFC1,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,TMEM126A	27	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Protein import, sorting and homeostasis	Protein import, sorting and homeostasis	1	Protein import, sorting and homeostasis	NA	54	54	28	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Small molecule transport	Small molecule transport	1	Small molecule transport	NA	54	54	29	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Amino acid metabolism	Amino acid metabolism	2	Metabolism	Amino acid metabolism	54	54	28	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	OXPHOS subunits	OXPHOS subunits	2	OXPHOS	OXPHOS subunits	54	54	28	18	18	18	0	0	18	FALSE	6.03213783403657	2.88584905660377	9.8955223880597	ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5IF1,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MG,ATP5PD,ATP5PF,COX4I1,COX5A,COX5B,COX6B1,COX6C,COX7A2,COX7A2L,COX7B,COX7C,CYC1,CYCS,HCCS,MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,NDUFA1,NDUFA12,NDUFA2,NDUFA3,NDUFA5,NDUFA6,NDUFA8,NDUFAB1,NDUFB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB7,NDUFB9,NDUFC1,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,UQCR10,UQCR11,UQCRB,UQCRFS1,UQCRH,UQCRQ	66	ATP5F1D,ATP5F1E,ATP5IF1,ATP5MC1,ATP5MC2,ATP5MC3,ATP5PD,ATP5PF,COX4I1,COX5A,COX5B,COX6B1,COX6C,COX7A2,COX7B,COX7C,CYC1,CYCS,MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,NDUFA1,NDUFA2,NDUFA3,NDUFA6,NDUFA8,NDUFAB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB7,NDUFB9,NDUFC1,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,UQCR10,UQCR11,UQCRB,UQCRFS1,UQCRH,UQCRQ	55	fine_deg_pathway_sex_apoe_summary_v1
F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	Metabolism	Metabolism	1	Metabolism	NA	54	54	28	0	0	0	0	0	0	FALSE	NA	NA	NA		0		0	fine_deg_pathway_sex_apoe_summary_v1
