schema_version	figure_id	directory	plot_data_rows	validation_status
phase20_broad_non_mt_figure_manifest_v1	driver_recurrence	results/figures/analysis/phase_20_sex_apoe_kda_broad/driver_recurrence	12	validated_complete
phase20_broad_non_mt_figure_manifest_v1	top5_candidates	results/figures/analysis/phase_20_sex_apoe_kda_broad/top5_candidates	7	validated_complete
