schema_version	route_id	candidate_id	modality	gwas_regional_variants	qtl_released_summary_rows	harmonized_variants	harmonization_state	terminal_state	reason
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_CUIMC1_2_MIT__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0028	GS044	snuc-eQTL	20114	14	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_CUIMC1__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0016	GS044	snuc-eQTL	20114	4	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_MIT__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0022	GS044	snuc-eQTL	20114	1	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	GS044	eQTL	20114	1	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_10__NGFGXQTL0008	GS044	eQTL	20114	10	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_22__NGFGXQTL0009	GS044	eQTL	20114	3	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_36__NGFGXQTL0010	GS044	eQTL	20114	14	0	not_run_incomplete_regional_statistics_or_model	model_or_ld_incompatible	source_significant_RPS15_QTL_and_small_chr19_all_association_members_registered_but_no_direct_individual_file_download_endpoint_or_complete_fitted_model_and_source_matched_LD
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_44__NGFGXQTL0011	GS044	eQTL	20114	0	0	not_run_incomplete_regional_statistics_or_model	measurement_unresolved	RPS15_absent_from_significant_and_finemapping_summary_files;absence_does_not_prove_not_measured
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__eQTL__Anterior_caudate__NGFGXQTL0032	GS044	eQTL	20114	3	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__eQTL__Dorsolateral_prefrontal_cortex__NGFGXQTL0033	GS044	eQTL	20114	3	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__eQTL__Posterior_cingulate_cortex__NGFGXQTL0035	GS044	eQTL	20114	3	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__sQTL__Anterior_caudate__NGFGXQTL0039	GS044	sQTL	20114	11	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__sQTL__Dorsolateral_prefrontal_cortex__NGFGXQTL0040	GS044	sQTL	20114	423	0	not_run_incomplete_regional_statistics_or_model	model_or_ld_incompatible	source_significant_RPS15_QTL_and_small_chr19_all_association_members_registered_but_no_direct_individual_file_download_endpoint_or_complete_fitted_model_and_source_matched_LD
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__sQTL__Posterior_cingulate_cortex__NGFGXQTL0041	GS044	sQTL	20114	33	0	not_run_incomplete_regional_statistics_or_model	model_or_ld_incompatible	source_significant_RPS15_QTL_and_small_chr19_all_association_members_registered_but_no_direct_individual_file_download_endpoint_or_complete_fitted_model_and_source_matched_LD
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__pQTL__Parietal_cortex__NGFGXQTL0003	GS044	pQTL	20114	0	0	not_run_incomplete_regional_statistics_or_model	measurement_unresolved	RPS15_absent_from_significant_and_finemapping_summary_files;absence_does_not_prove_not_measured
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__pQTL__Parahippocampal_gyrus__NGFGXQTL0013	GS044	pQTL	20114	13	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__pQTL__Dorsolateral_prefrontal_cortex__NGFGXQTL0038	GS044	pQTL	20114	3	0	not_run_incomplete_regional_statistics_or_model	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MiGA__eQTL__Microglia_Medial_frontal_gyrus__NGFGXQTL0004	GS044	eQTL	20114	22	0	not_run_incomplete_regional_statistics_or_model	context_not_eligible	cell_or_tissue_context_not_eligible_for_frozen_candidate_hierarchy
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MiGA__eQTL__Microglia_Subventricular_zone__NGFGXQTL0006	GS044	eQTL	20114	26	0	not_run_incomplete_regional_statistics_or_model	context_not_eligible	cell_or_tissue_context_not_eligible_for_frozen_candidate_hierarchy
