schema_version	candidate_id	gene	phase18_context	method	model_id	model_context	statistic	p_value	multiple_testing_pass	evidence_grade	terminal_state	reason
phase19_opc_rps15_public_recovery_v1	GS044	RPS15	Inhibitory_neurons	TWAS_PWAS_SMR	NA	NA	NA	NA	FALSE	none	prediction_model_not_available	no_prevalidated_registered_RPS15_prediction_model_with_matching_AD_GWAS_and_context_was_available_locally
phase19_opc_rps15_public_recovery_v1	GS045	RPS15	OPCs	TWAS_PWAS_SMR	NA	NA	NA	NA	FALSE	none	prediction_model_not_available	no_prevalidated_registered_RPS15_prediction_model_with_matching_AD_GWAS_and_context_was_available_locally
