schema_version	path	bytes	sha256	validation_state
phase19_opc_rps15_public_recovery_v1	opc_rps15_acquisition_decisions.tsv	35731	b85029fab84c82773db6c73e334acf102c7ee253f5daf2f23d7d20441021e1f6	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_analysis_manifest.tsv	1441	03f478ab5f103aa624dab1dcb2a5896e65d7c9d7fba4e7d4a3e1cbc5e83725d2	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_assessability.tsv	31642	0bc71d84cafc7a1ddc781017b4d7341bf1e9d2142e01dd4b692a53843cdb7610	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_checks.tsv	2052	9dfbb3c98ffc7bd734278aeb497e6ff358aece9f2ff770ca5054cc7901a038fb	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_colocalization.tsv.gz	113	fb34880effe1edcc49e8caf51f165cfb1b55474341042abf0ddd99d52c5285c2	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_colocalization_qc.tsv	19925	6a2f6ead28f5cbe463a714bd7399649472e2a96ca7eaf3e2019326df5a33c2f5	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_dataset_registry.tsv	5965	d8531ec319e4142cd8d26b9fcb84d9baea77574495cf12edee0636a695c6357d	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_evidence_summary.tsv	1908	d48c0bd20e1ebb21d56b70fd8fd03f4f1d59759878e0a430625baf6d52e59218	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_frozen_scope.tsv	790	e3702278291115c9addee16d04829905ac36ce003f6a2078f2a30f45368ce11b	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_gwas_finemapping.tsv.gz	288	62236d52c18d0093a284a91ac15cc076597693baa13f4e97a483e60cd4396478	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_input_inventory.tsv	4984	92d328ec9524f41b66b6ed81d05d47cfa54c80cc625d825ad9131636753420e5	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_ld_qc.tsv	23295	58c131cc45fa1867c529f5ce650837965798bdc2dc73800a2ce2c171eec931cb	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_prior_sensitivity.tsv.gz	90	2868ec408e418fdeb49603fe7ac11abf7312aa7a78caa44dcaf91e03e1a1dd5b	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_qtl_audit.tsv	222588	8bf5adb9a079fb27ab85af5774381933add10400786819f04f7477807ea80fd2	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_qtl_finemapping.tsv.gz	20711	f3cb7508fac4cc0fe59c02cf48a7c23b5e3a42a6410f4f4670b7013cec66b2d6	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_request_manifest.tsv	1828	dd1be0309c2b6442a1de3dddf7cb49857195076d66f0e2552dd3fc9d7b47096c	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_route_manifest.tsv	97082	fc0ffbaf11871290fd444b2906c6a852b6b716a9b896f6f440d28c67f0176335	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_sample_overlap_audit.tsv	1340	03adcc8aa6662cc18937e00a0777f2c8dd3fc04487bb90bb6d2a69a01188ce56	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_source_checks.tsv	1521	7327b8ce12678029cecdc8a8085d089b2d2e92e989d349d3a85e7e2630744178	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_twas_pwas_smr.tsv	626	fc30a85021951c07512f9d36027be1c102b8d4a46d23440c539cfe12fdf05f5c	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_variant_harmonization.tsv.gz	114	5f6bdafec98907da19eca0ea7a4b58eb5accd3586b3bb7ea6e5a8b76d9ea6f19	validated
phase19_opc_rps15_public_recovery_v1	opc_rps15_variant_harmonization_summary.tsv	21108	ab6aee050fd3e7f9c2a4680fe3c934ec17520ab6f7aec3d4922db6c501d5fd3c	validated
