schema_version	check_id	severity	observed	expected	passed
phase20_broad_non_mt_figure_checks_v1	source_status_validated	error	validated_complete	validated_complete	TRUE
phase20_broad_non_mt_figure_checks_v1	source_failed_checks_zero	error	0	0	TRUE
phase20_broad_non_mt_figure_checks_v1	source_direct_no_acat_contract	error	direct_broad_kda_no_acat|none	direct_broad_kda_no_acat|none	TRUE
phase20_broad_non_mt_figure_checks_v1	source_registered_hashes_match	error	4	4	TRUE
phase20_broad_non_mt_figure_checks_v1	candidate_rows	error	12	12	TRUE
phase20_broad_non_mt_figure_checks_v1	candidate_units_unique	error	12	12	TRUE
phase20_broad_non_mt_figure_checks_v1	candidate_symbols_unique	error	12	12	TRUE
phase20_broad_non_mt_figure_checks_v1	genes_recurring_across_runs	error	0	0	TRUE
phase20_broad_non_mt_figure_checks_v1	completed_primary_runs	error	3	3	TRUE
phase20_broad_non_mt_figure_checks_v1	candidate_positive_completed_runs	error	2	2	TRUE
phase20_broad_non_mt_figure_checks_v1	completed_zero_candidate_runs	error	1	1	TRUE
phase20_broad_non_mt_figure_checks_v1	candidate_gate_failures	error	0	0	TRUE
phase20_broad_non_mt_figure_checks_v1	core_mito_candidate_rows	error	0	0	TRUE
phase20_broad_non_mt_figure_checks_v1	strict_candidate_rows	error	9	9	TRUE
phase20_broad_non_mt_figure_checks_v1	relaxed_only_candidate_rows	error	3	3	TRUE
phase20_broad_non_mt_figure_checks_v1	strict_tier_q_mismatches	error	0	0	TRUE
phase20_broad_non_mt_figure_checks_v1	plot_source_key_parity	error	12	12	TRUE
phase20_broad_non_mt_figure_checks_v1	plot_aggregation_fields	error	0	0	TRUE
phase20_broad_non_mt_figure_checks_v1	core_artifacts_exist	error	6	6	TRUE
phase20_broad_non_mt_figure_checks_v1	core_artifacts_nonempty	error	6	6	TRUE
phase20_broad_non_mt_figure_checks_v1	png_dimensions	error	2400x2100	2400x2100	TRUE
phase20_broad_non_mt_figure_checks_v1	png_resolution_dpi	error	300.0x300.0	300x300 (±1)	TRUE
phase20_broad_non_mt_figure_checks_v1	pdf_signature	error	%PDF	%PDF	TRUE
phase20_broad_non_mt_figure_checks_v1	svg_root	error	<svg	<svg	TRUE
