schema_version	signature_group	sex	apoe_group	broad_cell_type	structural_contrast_count	source_deg_valid_count	cell_floor_pass_count	query_floor_pass_count	included_kda_call_count	calls_with_returned_drivers	returned_call_row_count	key_driver_count	singleton_key_driver_count	recurrent_key_driver_count	minimum_simple_aggregation_score	category_status
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e2	Female	e2	Astrocytes	3	3	3	3	3	3	12	11	10	1	1.83617654724178e-06	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e2	Female	e2	CAMs	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e2	Female	e2	Excitatory_neurons	14	14	14	12	12	12	261	77	23	54	1.4886742527595053e-21	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e2	Female	e2	Inhibitory_neurons	25	25	25	11	11	11	107	33	22	11	2.30543016117228e-19	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e2	Female	e2	Microglia	3	3	3	1	1	1	1	1	1	0	0.0392546596568663	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e2	Female	e2	OPCs	1	1	1	1	1	0	0	0	0	0	NA	eligible_calls_no_key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e2	Female	e2	Oligodendrocytes	1	1	1	1	1	0	0	0	0	0	NA	eligible_calls_no_key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e2	Female	e2	T_cells	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e2	Female	e2	Vasculature_cells	5	5	5	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e33	Female	e33	Astrocytes	3	3	3	3	3	2	5	5	5	0	0.000178691895589258	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e33	Female	e33	CAMs	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e33	Female	e33	Excitatory_neurons	14	14	14	14	14	12	139	42	25	17	7.263549307960742e-24	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e33	Female	e33	Inhibitory_neurons	25	25	25	17	17	16	184	60	44	16	7.317469936514885e-22	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e33	Female	e33	Microglia	3	3	3	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e33	Female	e33	OPCs	1	1	1	1	1	1	9	9	9	0	6.56224695123107e-08	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e33	Female	e33	Oligodendrocytes	1	1	1	1	1	1	2	2	2	0	0.0025239640611822	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e33	Female	e33	T_cells	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e33	Female	e33	Vasculature_cells	5	5	5	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e4	Female	e4	Astrocytes	3	3	3	3	3	3	11	11	11	0	2.53367960642371e-06	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e4	Female	e4	CAMs	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e4	Female	e4	Excitatory_neurons	14	14	14	13	13	8	128	67	34	33	1.7456827547776657e-08	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e4	Female	e4	Inhibitory_neurons	25	25	25	12	12	10	107	51	28	23	8.465504973749371e-10	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e4	Female	e4	Microglia	3	3	3	2	2	2	3	2	1	1	2.073173457364649e-08	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e4	Female	e4	OPCs	1	1	1	1	1	1	5	5	5	0	0.004084299736538	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e4	Female	e4	Oligodendrocytes	1	1	1	1	1	1	23	23	23	0	0.0241902151702447	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e4	Female	e4	T_cells	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	F_e4	Female	e4	Vasculature_cells	5	5	5	2	2	2	13	9	5	4	1.4847340815060391e-08	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e2	Male	e2	Astrocytes	3	3	3	3	3	1	16	16	16	0	1.37005165932892e-09	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e2	Male	e2	CAMs	1	0	0	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e2	Male	e2	Excitatory_neurons	14	14	14	14	14	12	338	100	24	76	1.0533829594438223e-17	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e2	Male	e2	Inhibitory_neurons	25	25	25	11	11	10	78	45	30	15	7.476150813078406e-07	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e2	Male	e2	Microglia	3	2	2	1	1	1	3	3	3	0	7.09070685594272e-15	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e2	Male	e2	OPCs	1	1	1	1	1	1	14	14	14	0	6.14526541173182e-10	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e2	Male	e2	Oligodendrocytes	1	1	1	1	1	1	8	8	8	0	7.80602503287872e-16	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e2	Male	e2	T_cells	1	1	1	0	0	0	0	0	0	0	NA	no_eligible_kda_calls
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e2	Male	e2	Vasculature_cells	5	4	4	2	2	2	10	6	2	4	7.656844675097639e-18	key_drivers_returned
phase20_sexapoe_kda_simple_aggr_combo_v1_category_summary	M_e33	Male	e33	Astrocytes	3	3	3	3	3	3	20	17	14	3	7.02211931371742e-05	key_drivers_returned
