schema_version	check	passed	observed	expected
figure_checks_v1	phase14_validation_complete	TRUE	validated_complete	validated_complete
figure_checks_v1	all_planned_figures_have_manifest_row	TRUE	10	10
figure_checks_v1	all_figures_terminal	TRUE	validated_complete	validated_complete_or_not_estimable
figure_checks_v1	all_figure_files_exist	TRUE	10	10
figure_checks_v1	all_figure_files_nonempty	TRUE	10	10
figure_checks_v1	all_figure_checksums_recorded	TRUE	10	10
figure_checks_v1	inferential_figures_display_donor_counts	TRUE	5	5
figure_checks_v1	no_nucleus_used_as_inferential_sample_size	TRUE	donor;donor_or_result_row;simulated_donor	donor_or_simulated_donor
figure_checks_v1	execution_labels_match_scope	TRUE	minerva_production;final	minerva_production;final
figure_checks_v1	upstream_artifacts_unchanged	TRUE	unchanged	unchanged
