schema_version	rds_id	artifact	path	bytes	sha256	records	validation_status
normalization_manifest_v1	inhibitory	Inhibitory_neurons.normalized.rds	results/minerva_production/05_normalized/Inhibitory_neurons.normalized.rds	5600632382	177bcb29bf4c778b1ee5d75ef51cef6d068cfee4e7790fcaeae6ea098d1e0309	329699	validated_complete
normalization_manifest_v1	inhibitory	Inhibitory_neurons.normalization_formula_samples.tsv	results/minerva_production/05_normalized/Inhibitory_neurons.normalization_formula_samples.tsv	128807	1810804cf0a807c443e6c5ef96cb67113ba4dd2c33f419264e43312809978368	1000	validated_complete
normalization_manifest_v1	inhibitory	Inhibitory_neurons.normalization_validation.tsv	results/minerva_production/05_normalized/Inhibitory_neurons.normalization_validation.tsv	2113	3accb50af4d0facaa06824d49bafe20f2f234083eb4033bddfc875e70c3a7e68	20	validated_complete
