schema_version	manifest_row	contrast_id	rds_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	contrast_kind	numerator	denominator	cells_ad_expected	cells_nci_expected	donors_ad_expected	donors_nci_expected	analysis_population	modeling_status	modeling_reason
yu_mast_contrast_manifest_v2	1	immune::CAMs::AD_vs_NCI__Female__e2	immune	CAMs	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	23	85	6	12	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	2	immune::CAMs::AD_vs_NCI__Female__e33	immune	CAMs	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	185	255	29	38	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	3	immune::CAMs::AD_vs_NCI__Female__e4	immune	CAMs	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	139	65	24	11	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	4	immune::CAMs::AD_vs_NCI__Male__e2	immune	CAMs	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	45	1	5	1	yu_all_cohort_included_nuclei	not_estimable	seurat_min_cells_group_not_met:min_cells_group=3,arms=NCI(1)
yu_mast_contrast_manifest_v2	5	immune::CAMs::AD_vs_NCI__Male__e33	immune	CAMs	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	119	397	24	50	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	6	immune::CAMs::AD_vs_NCI__Male__e4	immune	CAMs	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	137	65	22	9	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	7	immune::Mic MKI67::AD_vs_NCI__Female__e2	immune	Mic MKI67	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	16	8	5	3	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	8	immune::Mic MKI67::AD_vs_NCI__Female__e33	immune	Mic MKI67	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	62	120	13	23	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	9	immune::Mic MKI67::AD_vs_NCI__Female__e4	immune	Mic MKI67	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	54	45	8	8	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	10	immune::Mic MKI67::AD_vs_NCI__Male__e2	immune	Mic MKI67	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	2	9	2	3	yu_all_cohort_included_nuclei	not_estimable	seurat_min_cells_group_not_met:min_cells_group=3,arms=AD(2)
yu_mast_contrast_manifest_v2	11	immune::Mic MKI67::AD_vs_NCI__Male__e33	immune	Mic MKI67	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	52	120	12	20	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	12	immune::Mic MKI67::AD_vs_NCI__Male__e4	immune	Mic MKI67	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	29	7	9	4	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	13	immune::Mic P2RY12::AD_vs_NCI__Female__e2	immune	Mic P2RY12	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	1012	2370	8	17	yu_all_cohort_included_nuclei	estimable	
