schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	analysis_population	manifest_modeling_status	terminal_status	genes_returned	paper_degs	cells_ad	cells_nci	donors_ad	donors_nci	message
yu_mast_contrast_status_v2	excitatory_set3	18	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e4	Exc L5/6 IT Car3	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	12279	285	1124	427	27	10	
yu_mast_contrast_status_v2	excitatory_set3	19	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e2	Exc L5/6 NP	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	11426	188	201	637	8	17	
yu_mast_contrast_status_v2	excitatory_set3	20	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e33	Exc L5/6 NP	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	11017	386	1752	2067	36	45	
yu_mast_contrast_status_v2	excitatory_set3	21	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e4	Exc L5/6 NP	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	11458	245	967	561	24	11	
yu_mast_contrast_status_v2	excitatory_set3	22	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e2	Exc L5/6 NP	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	11068	672	295	285	7	6	
yu_mast_contrast_status_v2	excitatory_set3	23	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e33	Exc L5/6 NP	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	10941	271	975	2667	27	53	
yu_mast_contrast_status_v2	excitatory_set3	24	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e4	Exc L5/6 NP	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	10832	252	920	413	26	9	
yu_mast_contrast_status_v2	excitatory_set3	25	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e2	Exc L6 CT	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	10952	207	298	712	8	16	
yu_mast_contrast_status_v2	excitatory_set3	26	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e33	Exc L6 CT	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	11011	657	2273	3016	36	45	
yu_mast_contrast_status_v2	excitatory_set3	27	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e4	Exc L6 CT	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	11372	453	1402	835	25	11	
